i	N	T		Max_v_i_differ	Max_tau_i_differ	r_arr		v_i_n		tau_i
0	9527.0	[3020.65825]	0.39301		0.46425			[8.1944]	8.10969		7.71214
1	9302.0	[2922.41178]	0.40392		0.47881			[8.1944]	8.33434		8.00155
2	9609.0	[3020.15562]	0.39634		0.46509			[8.1944]	8.21588		7.86091
3	9638.0	[2993.40836]	0.39875		0.46383			[8.1944]	8.25206		7.85889
4	9154.0	[2844.8891]	0.40809		0.4765			[8.1944]	8.34754		7.97285
5	9245.0	[2906.30335]	0.39591		0.46548			[8.1944]	8.16115		7.76905
6	9224.0	[2857.10223]	0.41944		0.50033			[8.1944]	8.56554		8.26344
7	9133.0	[2852.43979]	0.40688		0.48092			[8.1944]	8.38787		8.05253
8	8979.0	[2762.44576]	0.42642		0.51142			[8.1944]	8.69144		8.43719
9	9044.0	[2795.5624]	0.41806		0.49561			[8.1944]	8.56183		8.2801
10	9367.0	[2934.03278]	0.40732		0.48484			[8.1944]	8.35796		8.02227
