l    time_i    C(l)    Tau_i     Delta_n
1    0.0    2    0.443868    1
2    0.443868    1    0.338659    1
3    0.782527    0    0.336162    0.300496
4    1.118689    1    0.645375    0.365846
5    1.764064    0    0.692074    0.228078
6    2.456138    1    0.522309    0.129285
7    2.978447    0    0.434563    0.083369
8    3.41301    1    0.507733    0.085194
9    3.920743    0    0.51843    0.073214
10    4.439173    1    0.419369    0.053739
11    4.858542    0    0.772014    0.081199
12    5.630556    1    0.702837    0.069687
13    6.333393    0    0.393339    0.033055
14    6.726732    1    0.30543    0.02537
15    7.032162    0    0.371955    0.027758
16    7.404117    1    0.746857    0.053227
17    8.150974    0    0.572915    0.037323
18    8.723889    1    0.479549    0.029111
19    9.203438    0    0.477044    0.027372
20    9.680482    1    0.361447    0.019896
21    10.041929    0    0.611427    0.031283
22    10.653356    1    0.727752    0.035788
23    11.381108    0    0.433307    0.019984
24    11.814415    1    0.67465    0.029243
25    12.489065    2    4.230208    0.139296
26    16.719273    1    0.571053    0.032358
27    17.290326    2    4.231591    0.084683
28    21.521917    1    0.376547    0.016468
29    21.898464    0    0.662444    0.01049
30    22.560908    1    0.41128    0.013068
31    22.972188    0    0.677742    0.010273
32    23.64993    1    0.688623    0.020512
33    24.338553    2    3.343546    0.044284
34    27.682099    1    0.716891    0.024071
35    28.39899    0    0.615954    0.007207
36    29.014944    1    0.316171    0.008107
37    29.331115    0    0.700519    0.007918
38    30.031634    1    0.367189    0.009059
39    30.398823    0    0.652452    0.007136
40    31.051275    1    0.60968    0.014372
41    31.660955    0    0.547297    0.005867
42    32.208252    1    0.760656    0.016993
43    32.968908    0    0.412866    0.004387
44    33.381774    1    0.406541    0.008699
45    33.788315    0    0.352205    0.003695
46    34.14052    1    0.430048    0.008923
47    34.570568    0    0.774451    0.007942
48    35.345019    1    0.442177    0.00883
49    35.787196    2    1.627091    0.015764
50    37.414287    1    0.319832    0.008022
51    37.734119    0    0.584541    0.005374
52    38.31866    1    0.311336    0.005846
53    38.629996    0    0.704267    0.006305
54    39.334263    1    0.702439    0.012711
55    40.036702    0    0.535426    0.004716
56    40.572128    1    0.640652    0.011124
57    41.21278    0    0.635039    0.005504
58    41.847819    1    0.595721    0.00995
59    42.44354    0    0.737865    0.006257
60    43.181405    1    0.337438    0.00546
61    43.518843    0    0.756075    0.006231
62    44.274918    1    0.630207    0.009878
63    44.905125    0    0.329333    0.002677
64    45.234458    1    0.32106    0.004907
65    45.555518    0    0.636563    0.005092
66    46.192081    1    0.644241    0.009567
67    46.836322    0    0.594685    0.004678
68    47.431007    1    0.592577    0.008512
69    48.023584    0    0.70354    0.005432
70    48.727124    1    0.551606    0.007679
71    49.27873    0    0.78444    0.005921
72    50.06317    1    0.477216    0.006452
73    50.540386    0    0.470512    0.003486
74    51.010898    1    0.376981    0.004987
75    51.387879    0    0.445839    0.00326
76    51.833718    1    0.479993    0.006218
77    52.313711    0    0.607808    0.00438
78    52.921519    1    0.33201    0.004209
79    53.253529    0    0.729054    0.005145
80    53.982583    1    0.424742    0.005274
81    54.407325    0    0.484528    0.00336
82    54.891853    1    0.740209    0.008956
83    55.632062    0    0.519819    0.003569
84    56.151881    1    0.452218    0.005331
85    56.604099    0    0.298755    0.002032
86    56.902854    1    0.742178    0.008545
87    57.645032    2    4.142345    0.026337
88    61.787377    1    0.320289    0.004963
89    62.107666    0    0.724441    0.004263
90    62.832107    1    0.529876    0.005717
91    63.361983    0    0.579549    0.003361
92    63.941532    1    0.615514    0.006492
93    64.557046    0    0.679733    0.003891
94    65.236779    1    0.565002    0.00582
95    65.801781    0    0.608689    0.003437
96    66.41047    1    0.574331    0.005786
97    66.984801    0    0.376478    0.002107
98    67.361279    1    0.328981    0.003261
99    67.69026    0    0.338084    0.001878
100    68.028344    1    0.437584    0.004278
101    68.465928    0    0.534307    0.002942
102    69.000235    1    0.34282    0.003301
103    69.343055    0    0.65455    0.003554
104    69.997605    1    0.528813    0.005005
105    70.526418    0    0.410861    0.002208
106    70.937279    1    0.58165    0.005404
107    71.518929    0    0.303962    0.001626
108    71.822891    1    0.388386    0.003552
109    72.211277    0    0.467157    0.00248
110    72.678434    1    0.768056    0.006893
111    73.44649    2    3.860865    0.019465
112    77.307355    3    1.379388    0.01693
113    78.686743    2    0.58375    0.007322
114    79.270493    3    1.559269    0.018312
115    80.829762    2    0.539964    0.006552
116    81.369726    1    0.649437    0.007375
117    82.019163    0    0.436826    0.002154
118    82.455989    1    0.366187    0.003052
119    82.822176    0    0.431596    0.00211
120    83.253772    1    0.687919    0.005646
121    83.941691    0    0.461257    0.002239
122    84.402948    1    0.391981    0.003166
123    84.794929    0    0.727382    0.003489
124    85.522311    1    0.314128    0.002505
125    85.836439    0    0.489715    0.00232
126    86.326154    1    0.850843    0.006674
127    87.176997    0    0.774805    0.003633
128    87.951802    1    0.342049    0.002634
129    88.293851    0    0.306636    0.001423
130    88.600487    1    0.343436    0.00262
131    88.943923    2    3.501233    0.0156
132    92.445156    1    0.536915    0.005385
133    92.982071    0    0.43029    0.001841
134    93.412361    1    0.413036    0.003044
