l    time_i    C(l)    Tau_i     Delta_n
1    0.0    1    0.64321    1
2    0.64321    0    0.581193    1
3    1.224403    1    0.520203    0.141538
4    1.744606    0    0.442437    0.134906
5    2.187043    1    0.435792    0.077767
6    2.622835    0    0.773031    0.138797
7    3.395866    1    0.666264    0.086778
8    4.06213    0    0.715729    0.083545
9    4.777859    1    0.434018    0.043789
10    5.211877    2    1.551945    0.118842
11    6.763822    1    0.300398    0.042524
12    7.06422    2    1.844143    0.08791
13    8.908363    1    0.436848    0.045169
14    9.345211    0    0.607191    0.022436
15    9.952402    1    0.815098    0.055167
16    10.7675    0    0.398603    0.014096
17    11.166103    1    0.703559    0.040617
18    11.869662    0    0.602442    0.020166
19    12.472104    1    0.597155    0.030239
20    13.069259    0    0.7258    0.022353
21    13.795059    1    0.648831    0.02924
22    14.44389    0    0.539704    0.015465
23    14.983594    1    0.582602    0.023779
24    15.566196    0    0.4174    0.011381
25    15.983596    1    0.724584    0.026961
26    16.70818    0    0.321196    0.008476
27    17.029376    1    0.314391    0.010919
28    17.343767    0    0.518136    0.013084
29    17.861903    1    0.834    0.026913
30    18.695903    2    1.134463    0.02649
31    19.830366    1    0.628033    0.029556
32    20.458399    0    0.299788    0.006554
33    20.758187    1    0.809927    0.023225
34    21.568114    0    0.389497    0.008302
35    21.957611    1    0.340172    0.00919
36    22.297783    0    0.376836    0.007778
37    22.674619    1    0.385786    0.010038
38    23.060405    2    1.28885    0.024837
39    24.349255    1    0.612972    0.023179
40    24.962227    0    0.496252    0.008929
41    25.458479    1    0.34635    0.008437
42    25.804829    0    0.638674    0.011026
43    26.443503    1    0.413335    0.009685
44    26.856838    0    0.324848    0.005425
45    27.181686    1    0.631976    0.014182
46    27.813662    0    0.520909    0.008477
47    28.334571    1    0.79355    0.016813
48    29.128121    0    0.474961    0.007502
49    29.603082    1    0.508989    0.010257
50    30.112071    0    0.741643    0.011278
51    30.853714    1    0.563735    0.010878
52    31.417449    0    0.347955    0.005122
53    31.765404    1    0.591662    0.010967
54    32.357066    0    0.430015    0.006195
