i	N	T		Max_v_i_differ	Max_tau_i_differ	r_arr		v_i_n		tau_i
0	29554.0	[19841.8908]	0.19845		0.23745			[5.]	4.92054		4.93919
1	29604.0	[19934.07849]	0.19972		0.24339			[5.]	5.0906		5.09982
2	29252.0	[19569.13136]	0.20753		0.24808			[5.]	5.22157		5.20148
3	28820.0	[19422.57959]	0.21283		0.25802			[5.]	5.3199		5.31906
4	29916.0	[20106.44879]	0.19422		0.23454			[5.]	5.01149		5.0121
5	28995.0	[19608.04974]	0.20559		0.25048			[5.]	5.24788		5.26037
6	29164.0	[19596.52438]	0.21557		0.26246			[5.]	5.42729		5.43482
7	29643.0	[19965.77042]	0.20065		0.2393			[5.]	4.8501		4.879
8	30308.0	[20353.78978]	0.19826		0.23947			[5.]	5.09132		5.09728
9	29220.0	[19708.84305]	0.19268		0.23522			[5.]	5.00652		5.01117
10	28982.0	[19544.29951]	0.20292		0.24744			[5.]	4.83744		4.82091
