l    time_i    C(l)    Tau_i     Delta_n
168    23.648817    8    0.139667    0.005806
169    23.788484    7    0.145596    0.00534
170    23.93408    6    0.173645    0.007081
171    24.107725    5    0.074582    0.003042
172    24.182307    4    0.260388    0.010571
173    24.442695    3    0.116539    0.004622
174    24.559234    2    0.076249    0.003043
175    24.635483    1    0.26755    0.010606
176    24.903033    0    0.06013    0.002387
177    24.963163    1    0.069758    0.002787
178    25.032921    0    0.265477    0.010372
179    25.298398    1    0.11112    0.004362
180    25.409518    0    0.279668    0.010648
181    25.689186    1    0.102067    0.00393
182    25.791253    2    0.745066    0.027166
183    26.536319    1    0.104939    0.003853
184    26.641258    0    0.245161    0.008576
185    26.886419    1    0.061974    0.002275
186    26.948393    0    0.128327    0.004418
187    27.07672    1    0.197965    0.007165
188    27.274685    2    0.292813    0.00986
189    27.567498    1    0.145585    0.005122
190    27.713083    0    0.229617    0.00755
191    27.9427    1    0.108455    0.003792
192    28.051155    0    0.113728    0.003681
193    28.164883    1    0.151633    0.005231
194    28.316516    0    0.178817    0.005701
195    28.495333    1    0.24679    0.008344
196    28.742123    0    0.120209    0.003764
197    28.862332    1    0.098783    0.003287
198    28.961115    0    0.205704    0.006349
199    29.166819    1    0.067128    0.002206
200    29.233947    0    0.084409    0.002574
201    29.318356    1    0.281261    0.009108
202    29.599617    2    0.343148    0.010229
203    29.942765    1    0.076462    0.002476
204    30.019227    0    0.078587    0.002305
205    30.097814    1    0.05229    0.001648
206    30.150104    2    0.836264    0.023764
207    30.986368    3    0.449609    0.013882
208    31.435977    2    0.067096    0.002097
209    31.503073    1    0.260042    0.007833
210    31.763115    2    0.324912    0.008711
211    32.088027    1    0.19864    0.005842
212    32.286667    2    0.284638    0.007449
213    32.571305    1    0.071348    0.002064
214    32.642653    2    0.35824    0.009177
215    33.000893    3    0.169492    0.004817
216    33.170385    2    0.19827    0.005842
217    33.368655    1    0.208849    0.005836
218    33.577504    0    0.068785    0.001715
219    33.646289    1    0.088167    0.002494
220    33.734456    0    0.060975    0.001511
221    33.795431    1    0.167687    0.004698
222    33.963118    2    0.736627    0.017768
223    34.699745    1    0.099913    0.002683
224    34.799658    0    0.080404    0.00189
225    34.880062    1    0.167089    0.004521
226    35.047151    0    0.125308    0.002917
227    35.172459    1    0.268756    0.007158
228    35.441215    0    0.158141    0.003631
229    35.599356    1    0.281724    0.007358
230    35.88108    0    0.090012    0.002039
231    35.971092    1    0.05813    0.0015
232    36.029222    0    0.056418    0.001271
233    36.08564    1    0.09096    0.002335
234    36.1766    0    0.121431    0.002718
235    36.298031    1    0.118544    0.003015
236    36.416575    0    0.056868    0.001264
237    36.473443    1    0.243521    0.006125
238    36.716964    0    0.10937    0.002407
239    36.826334    1    0.062657    0.001559
240    36.888991    0    0.052972    0.001159
241    36.941963    1    0.121608    0.003006
242    37.063571    0    0.172074    0.003733
243    37.235645    1    0.074475    0.001824
244    37.31012    0    0.087962    0.001892
245    37.398082    1    0.125705    0.003055
246    37.523787    0    0.187565    0.003995
247    37.711352    1    0.122336    0.002941
248    37.833688    0    0.120394    0.002538
249    37.954082    1    0.145106    0.003453
250    38.099188    0    0.288277    0.005993
251    38.387465    1    0.046225    0.001087
252    38.43369    0    0.286349    0.00586
253    38.720039    1    0.17483    0.004062
254    38.894869    0    0.058517    0.001183
255    38.953386    1    0.081533    0.001879
256    39.034919    0    0.049198    0.00099
257    39.084117    1    0.070374    0.001614
258    39.154491    0    0.070854    0.00142
259    39.225345    1    0.062814    0.001433
260    39.288159    0    0.065527    0.001307
261    39.353686    1    0.269568    0.006091
262    39.623254    2    0.19894    0.003923
263    39.822194    1    0.041233    0.000973
264    39.863427    2    0.246999    0.004813
265    40.110426    1    0.274412    0.006387
266    40.384838    0    0.12977    0.002492
267    40.514608    1    0.257003    0.005621
268    40.771611    0    0.213017    0.004039
269    40.984628    1    0.078264    0.00169
270    41.062892    2    0.908461    0.016743
271    41.971353    3    0.141327    0.003142
272    42.11268    2    0.138644    0.003222
273    42.251324    1    0.282501    0.006197
274    42.533825    0    0.147331    0.002624
275    42.681156    1    0.07729    0.001607
276    42.758446    0    0.159096    0.002809
277    42.917542    1    0.25947    0.005337
278    43.177012    0    0.244602    0.004262
279    43.421614    1    0.266611    0.005391
280    43.688225    0    0.231229    0.003968
281    43.919454    1    0.173601    0.003459
282    44.093055    0    0.084918    0.001443
283    44.177973    1    0.252964    0.004985
284    44.430937    0    0.121589    0.002049
285    44.552526    1    0.071847    0.001402
286    44.624373    0    0.194728    0.003254
287    44.819101    1    0.164645    0.003184
288    44.983746    0    0.148485    0.002457
289    45.132231    1    0.056289    0.00108
290    45.18852    0    0.151461    0.002488
291    45.339981    1    0.230007    0.004374
292    45.569988    2    0.412972    0.006677
293    45.98296    3    0.410272    0.008246
294    46.393232    2    0.076918    0.001623
295    46.47015    1    0.089068    0.001768
296    46.559218    0    0.190594    0.003017
297    46.749812    1    0.070642    0.001306
298    46.820454    0    0.091647    0.001441
299    46.912101    1    0.115214    0.002119
300    47.027315    0    0.254488    0.003965
301    47.281803    1    0.134646    0.002451
302    47.416449    2    0.242917    0.003738
303    47.659366    1    0.060101    0.001164
304    47.719467    0    0.049434    0.000756
305    47.768901    1    0.056456    0.001018
306    47.825357    2    0.544118    0.008207
307    48.369475    1    0.27628    0.005249
308    48.645755    0    0.278645    0.004117
309    48.9244    1    0.120096    0.002116
310    49.044496    0    0.058289    0.000854
311    49.102785    1    0.069684    0.001221
312    49.172469    0    0.130989    0.001911
313    49.303458    1    0.310421    0.005388
314    49.613879    2    0.327876    0.00472
315    49.941755    1    0.121493    0.002235
316    50.063248    0    0.075955    0.001083
317    50.139203    1    0.19327    0.003292
318    50.332473    0    0.115758    0.001641
319    50.448231    1    0.102086    0.001725
320    50.550317    0    0.257242    0.003614
321    50.807559    1    0.049206    0.000826
322    50.856765    2    0.408121    0.005656
323    51.264886    1    0.186057    0.00333
324    51.450943    0    0.053281    0.00073
325    51.504224    1    0.056075    0.000929
326    51.560299    0    0.176825    0.002412
327    51.737124    1    0.101112    0.001665
328    51.838236    0    0.101718    0.001378
329    51.939954    1    0.059425    0.000974
330    51.999379    0    0.047751    0.000644
331    52.04713    1    0.251281    0.004093
332    52.298411    0    0.16115    0.002161
333    52.459561    1    0.265167    0.004265
334    52.724728    0    0.244544    0.003244
335    52.969272    1    0.069592    0.001108
336    53.038864    0    0.232432    0.003054
337    53.271296    1    0.134831    0.002131
338    53.406127    0    0.10846    0.001414
339    53.514587    1    0.171113    0.002685
340    53.6857    0    0.073304    0.000951
341    53.759004    1    0.045913    0.000717
342    53.804917    0    0.186407    0.002405
343    53.991324    1    0.055968    0.00087
344    54.047292    2    0.698012    0.008854
345    54.745304    1    0.041283    0.000695
346    54.786587    2    0.271739    0.003385
347    55.058326    1    0.174467    0.002913
348    55.232793    0    0.096262    0.001189
349    55.329055    1    0.202263    0.003069
350    55.531318    0    0.053592    0.000659
351    55.58491    1    0.110891    0.001672
352    55.695801    0    0.28699    0.003503
353    55.982791    1    0.174193    0.002602
354    56.156984    0    0.048703    0.00059
355    56.205687    1    0.220152    0.003263
356    56.425839    0    0.294705    0.003541
357    56.720544    1    0.231291    0.003387
358    56.951835    2    0.464159    0.005491
359    57.415994    1    0.171708    0.00275
360    57.587702    0    0.106006    0.00124
361    57.693708    1    0.095052    0.00137
362    57.78876    0    0.136542    0.001589
363    57.925302    1    0.210153    0.003007
364    58.135455    0    0.127485    0.001474
365    58.26294    1    0.065744    0.000935
366    58.328684    0    0.213276    0.002451
367    58.54196    1    0.197102    0.002781
368    58.739062    0    0.118697    0.001353
369    58.857759    1    0.18996    0.002659
370    59.047719    0    0.203495    0.002304
371    59.251214    1    0.220985    0.003063
372    59.472199    0    0.172121    0.001933
373    59.64432    1    0.159471    0.002191
374    59.803791    2    0.390205    0.004336
375    60.193996    1    0.219735    0.003357
376    60.413731    2    0.545782    0.00596
377    60.959513    1    0.242526    0.003647
378    61.202039    0    0.144501    0.001557
379    61.34654    1    0.128336    0.001721
380    61.474876    0    0.110708    0.001187
381    61.585584    1    0.179319    0.002388
382    61.764903    2    0.659287    0.00697
383    62.42419    1    0.112951    0.001659
384    62.537141    2    0.495618    0.005139
385    63.032759    3    0.12181    0.00177
386    63.154569    2    0.050698    0.000789
387    63.205267    1    0.055489    0.000803
388    63.260756    0    0.298008    0.003046
389    63.558764    1    0.173092    0.002241
390    63.731856    2    0.528904    0.005331
391    64.26076    3    0.338964    0.004807
392    64.599724    2    0.062245    0.000947
393    64.661969    1    0.073204    0.001031
394    64.735173    0    0.294568    0.002922
395    65.029741    1    0.266338    0.003372
396    65.296079    0    0.152942    0.001504
397    65.449021    1    0.117638    0.001478
398    65.566659    0    0.28748    0.002805
399    65.854139    1    0.145052    0.001809
400    65.999191    0    0.048572    0.000471
401    66.047763    1    0.128551    0.001596
