i	N	T		Max_v_i_differ	Max_tau_i_differ	r_arr		v_i_n		tau_i
0	20678.0	[15049.75417]	0.36758		0.42671			[2.17049]	2.00705		2.3105
1	21243.0	[15345.29794]	0.3661		0.41949			[2.17049]	2.06797		2.40442
2	21246.0	[15383.1134]	0.36766		0.42459			[2.17049]	2.00404		2.31921
3	20953.0	[15217.34338]	0.3625		0.41406			[2.17049]	2.1166		2.47278
4	20442.0	[14691.12759]	0.38185		0.44185			[2.17049]	1.81478		2.10375
5	21025.0	[15182.57491]	0.36733		0.41998			[2.17049]	2.03605		2.38761
6	20640.0	[14929.09605]	0.36912		0.4248			[2.17049]	2.0098		2.33728
7	21903.0	[15889.34057]	0.35561		0.4064			[2.17049]	2.16659		2.51032
8	20730.0	[15053.36978]	0.36895		0.42689			[2.17049]	2.00588		2.31405
9	20447.0	[14737.04833]	0.37731		0.44034			[2.17049]	1.84917		2.11952
10	20440.0	[14724.075]	0.37885		0.43968			[2.17049]	1.8468		2.12919
