l    time_i    C(l)    Tau_i     Delta_n
1    0.0    10    0.139993    1
2    0.139993    9    0.101035    1
3    0.241028    10    0.220206    0.20013
4    0.461234    9    0.277909    0.293626
5    0.739143    10    0.13968    0.081485
6    0.878823    9    0.203043    0.106752
7    1.081866    10    0.298481    0.116323
8    1.380347    9    0.246389    0.087602
9    1.626736    10    0.185829    0.052207
10    1.812565    9    0.083013    0.023778
11    1.895578    10    0.235456    0.053122
12    2.131034    9    0.089116    0.022972
13    2.22015    10    0.284906    0.051253
14    2.505056    9    0.083826    0.019447
15    2.588882    10    0.130009    0.020027
16    2.718891    9    0.08735    0.018713
17    2.806241    10    0.117318    0.016755
18    2.923559    9    0.185794    0.035806
19    3.109353    10    0.124566    0.016816
20    3.233919    9    0.238455    0.039846
21    3.472374    10    0.190351    0.023886
22    3.662725    9    0.112831    0.016863
23    3.775556    10    0.110121    0.012826
24    3.885677    9    0.087969    0.012403
25    3.973646    10    0.277376    0.029504
26    4.251022    9    0.149388    0.0196
27    4.40041    10    0.215892    0.020683
28    4.616302    9    0.139515    0.016969
29    4.755817    10    0.242086    0.021242
30    4.997903    9    0.28463    0.031396
31    5.282533    10    0.251804    0.020415
32    5.534337    9    0.095355    0.009684
33    5.629692    8    0.829406    0.056239
34    6.459098    9    0.192373    0.028922
35    6.651471    10    0.122699    0.007238
36    6.77417    9    0.181547    0.016601
37    6.955717    10    0.084595    0.004905
38    7.040312    9    0.086513    0.007575
39    7.126825    10    0.214473    0.011995
40    7.341298    9    0.18708    0.015596
41    7.528378    10    0.188939    0.010123
42    7.717317    9    0.109382    0.008686
43    7.826699    8    1.720779    0.074208
44    9.547478    9    0.143462    0.014506
45    9.69094    10    0.230353    0.008064
46    9.921293    9    0.196224    0.013471
47    10.117517    10    0.117852    0.004054
48    10.235369    9    0.237728    0.015544
49    10.473097    10    0.218697    0.007421
50    10.691794    9    0.17859    0.011107
51    10.870384    10    0.174571    0.005785
52    11.044955    9    0.280415    0.016594
53    11.32537    10    0.092416    0.003043
54    11.417786    9    0.261551    0.0147
55    11.679337    10    0.113174    0.003715
56    11.792511    9    0.19975    0.010746
57    11.992261    8    1.419131    0.04165
58    13.411392    9    0.151749    0.010908
59    13.563141    10    0.251734    0.006546
60    13.814875    9    0.146018    0.00714
61    13.960893    10    0.179201    0.004556
62    14.140094    9    0.165532    0.007864
63    14.305626    8    0.694619    0.016779
64    15.000245    9    0.166194    0.010602
65    15.166439    10    0.191805    0.004405
66    15.358244    9    0.251123    0.011169
67    15.609367    10    0.202781    0.004601
68    15.812148    9    0.081471    0.003522
69    15.893619    10    0.177113    0.00394
70    16.070732    9    0.266053    0.011189
71    16.336785    10    0.223913    0.004923
72    16.560698    9    0.216266    0.00877
73    16.776964    10    0.113087    0.002461
74    16.890051    9    0.27826    0.010919
75    17.168311    8    0.761146    0.015932
76    17.929457    7    0.961339    0.049034
77    18.890796    6    0.530421    0.027311
78    19.421217    5    0.334348    0.016924
79    19.755565    6    0.12441    0.006258
80    19.879975    5    0.449826    0.021755
81    20.329801    4    0.31554    0.01519
82    20.645341    5    0.142993    0.006879
83    20.788334    6    0.322892    0.014971
84    21.111226    5    0.501469    0.022341
85    21.612695    4    0.314038    0.013817
86    21.926733    5    0.267189    0.011961
87    22.193922    4    0.228578    0.0097
88    22.4225    5    0.148952    0.006479
89    22.571452    4    0.519645    0.021202
90    23.091097    3    0.265811    0.011105
91    23.356908    4    0.538767    0.022547
92    23.895675    5    0.230722    0.009233
93    24.126397    6    0.291293    0.011027
94    24.41769    7    0.244507    0.009392
95    24.662197    8    0.249721    0.009809
96    24.911918    9    0.161972    0.006041
97    25.07389    10    0.083475    0.001798
98    25.157365    9    0.138184    0.004206
99    25.295549    10    0.164462    0.003505
100    25.460011    9    0.187435    0.005607
