l    time_i    C(l)    Tau_i     Delta_n
1    0.0    7    0.152102    1
2    0.152102    6    0.605336    1
3    0.757438    7    0.33    0.242526
4    1.087438    6    0.713381    0.175624
5    1.800819    7    0.100116    0.038567
6    1.900935    8    0.142303    0.021331
7    2.043238    9    0.165925    0.075108
8    2.209163    10    0.266926    0.107801
9    2.476089    9    0.236196    0.087084
10    2.712285    10    0.136448    0.043184
11    2.848733    9    0.122228    0.037729
12    2.970961    10    0.172808    0.047505
13    3.143769    9    0.127453    0.03452
14    3.271222    10    0.164175    0.039371
15    3.435397    9    0.095409    0.0232
16    3.530806    10    0.086121    0.018818
17    3.616927    9    0.177405    0.039241
18    3.794332    10    0.233325    0.045312
19    4.027657    9    0.212633    0.0407
20    4.24029    10    0.086202    0.014945
21    4.326492    9    0.182294    0.031354
22    4.508786    10    0.204642    0.032381
23    4.713428    9    0.158964    0.024641
24    4.872392    10    0.211268    0.030038
25    5.08366    9    0.092375    0.013239
26    5.176035    10    0.158423    0.020736
27    5.334458    9    0.189884    0.025319
28    5.524342    10    0.256689    0.030575
29    5.781031    9    0.249715    0.029984
30    6.030746    10    0.267074    0.028505
31    6.29782    9    0.107358    0.011852
32    6.405178    10    0.166395    0.01645
33    6.571573    9    0.137721    0.01443
34    6.709294    10    0.090508    0.008528
35    6.799802    9    0.110542    0.011081
36    6.910344    10    0.222784    0.019928
37    7.133128    9    0.219858    0.020678
38    7.352986    10    0.216588    0.018014
39    7.569574    9    0.199751    0.01749
40    7.769325    10    0.260835    0.020188
41    8.03016    9    0.166701    0.013703
42    8.196861    10    0.108012    0.007927
43    8.304873    9    0.09594    0.007589
44    8.400813    10    0.265382    0.01856
45    8.666195    9    0.106564    0.008107
46    8.772759    8    1.783881    0.100128
47    10.55664    9    0.180566    0.016552
48    10.737206    10    0.262499    0.011954
49    10.999705    9    0.220024    0.014281
50    11.219729    10    0.251762    0.010952
51    11.471491    9    0.166859    0.010327
52    11.63835    8    1.881862    0.068954
53    13.520212    9    0.126104    0.009004
54    13.646316    10    0.172643    0.005393
55    13.818959    9    0.225937    0.012157
56    14.044896    10    0.161227    0.004944
57    14.206123    9    0.215629    0.011161
58    14.421752    10    0.232344    0.006963
59    14.654096    9    0.227269    0.011294
60    14.881365    10    0.103501    0.003045
61    14.984866    9    0.238762    0.01145
62    15.223628    10    0.160632    0.004663
63    15.38426    9    0.230748    0.010663
64    15.615008    10    0.106365    0.003046
65    15.721373    9    0.168563    0.007562
66    15.889936    8    1.394254    0.036544
67    17.28419    9    0.253265    0.014046
68    17.537455    10    0.196463    0.004707
69    17.733918    9    0.233892    0.00958
70    17.96781    8    1.697036    0.036914
71    19.664846    9    0.175489    0.008518
72    19.840335    10    0.229154    0.004524
73    20.069489    9    0.186834    0.006963
74    20.256323    10    0.17722    0.003446
75    20.433543    9    0.101114    0.003695
76    20.534657    10    0.161132    0.003089
77    20.695789    9    0.128237    0.00461
78    20.824026    10    0.299924    0.005644
79    21.12395    9    0.264943    0.009259
80    21.388893    10    0.299237    0.00551
81    21.68813    9    0.195345    0.006623
82    21.883475    10    0.247574    0.004467
83    22.131049    9    0.12706    0.004214
84    22.258109    8    1.630499    0.027184
85    23.888608    9    0.202401    0.008085
86    24.091009    10    0.252502    0.003904
87    24.343511    9    0.087954    0.002725
88    24.431465    10    0.118924    0.001815
89    24.550389    9    0.159653    0.00488
90    24.710042    10    0.09671    0.001469
91    24.806752    9    0.119119    0.003591
92    24.925871    8    0.733597    0.010821
93    25.659468    9    0.146917    0.005448
94    25.806385    10    0.089114    0.001277
95    25.895499    9    0.249923    0.007238
96    26.145422    10    0.117996    0.001689
97    26.263418    9    0.279114    0.007898
98    26.542532    8    1.767801    0.023784
99    28.310333    9    0.132134    0.00444
100    28.442467    8    1.649233    0.019736
101    30.0917    9    0.146463    0.004621
102    30.238163    10    0.241391    0.002721
103    30.479554    9    0.105695    0.002683
104    30.585249    10    0.141115    0.001576
105    30.726364    9    0.088941    0.002236
106    30.815305    10    0.102336    0.001137
107    30.917641    9    0.237505    0.005895
108    31.155146    10    0.127685    0.001418
109    31.282831    9    0.097973    0.002399
110    31.380804    10    0.199828    0.002201
111    31.580632    9    0.296811    0.007145
112    31.877443    10    0.202037    0.002216
113    32.07948    9    0.225804    0.005324
114    32.305284    10    0.122805    0.001341
115    32.428089    9    0.117744    0.00274
116    32.545833    10    0.196972    0.002137
117    32.742805    9    0.137435    0.003161
118    32.88024    10    0.099564    0.001074
119    32.979804    9    0.093174    0.002123
120    33.072978    10    0.192252    0.00206
121    33.26523    9    0.284667    0.006389
122    33.549897    10    0.13864    0.001481
123    33.688537    9    0.187708    0.004143
124    33.876245    10    0.246627    0.002616
125    34.122872    9    0.105362    0.002294
126    34.228234    10    0.214839    0.002253
127    34.443073    9    0.112932    0.002433
128    34.556005    10    0.129067    0.001344
129    34.685072    9    0.113148    0.002417
130    34.79822    10    0.141978    0.001471
131    34.940198    9    0.12988    0.002748
132    35.070078    10    0.120854    0.001246
133    35.190932    9    0.161275    0.003376
134    35.352207    10    0.104391    0.001073
135    35.456598    9    0.219163    0.004529
136    35.675761    10    0.14728    0.00151
137    35.823041    9    0.086937    0.001777
138    35.909978    10    0.154221    0.001571
139    36.064199    9    0.200259    0.004049
140    36.264458    10    0.171939    0.001742
141    36.436397    9    0.095607    0.001912
142    36.532004    10    0.153444    0.001544
143    36.685448    9    0.116335    0.002307
144    36.801783    10    0.207206    0.002069
145    37.008989    9    0.116303    0.002284
146    37.125292    10    0.182828    0.001811
147    37.30812    9    0.191886    0.003726
148    37.500006    10    0.2308    0.002269
149    37.730806    9    0.086137    0.001654
150    37.816943    10    0.256326    0.002492
151    38.073269    9    0.289227    0.005475
152    38.362496    10    0.169964    0.001643
153    38.53246    9    0.113126    0.002113
154    38.645586    10    0.2224    0.002132
155    38.867986    9    0.167282    0.003092
156    39.035268    10    0.116736    0.001113
157    39.152004    9    0.138817    0.002541
158    39.290821    10    0.156475    0.001485
159    39.447296    9    0.151111    0.002739
160    39.598407    10    0.129841    0.001227
161    39.728248    9    0.232964    0.004174
162    39.961212    8    1.311167    0.011996
163    41.272379    9    0.223019    0.005175
164    41.495398    10    0.173591    0.001538
165    41.668989    9    0.219681    0.003795
166    41.88867    10    0.096952    0.000856
167    41.985622    9    0.286451    0.004882
168    42.272073    10    0.138884    0.001226
169    42.410957    9    0.233304    0.00392
170    42.644261    10    0.256657    0.002252
171    42.900918    9    0.202455    0.003355
172    43.103373    10    0.293407    0.002549
173    43.39678    9    0.155377    0.002543
174    43.552157    10    0.230128    0.001981
175    43.782285    9    0.100279    0.001626
176    43.882564    8    1.401567    0.011645
177    45.284131    9    0.195469    0.004132
178    45.4796    10    0.287181    0.002305
179    45.766781    9    0.182577    0.002869
180    45.949358    10    0.106342    0.000848
181    46.0557    9    0.283747    0.004409
182    46.339447    10    0.090829    0.000725
183    46.430276    9    0.120137    0.001848
184    46.550413    10    0.106829    0.000851
185    46.657242    9    0.139262    0.002128
186    46.796504    10    0.0993    0.000788
187    46.895804    9    0.100413    0.001525
188    46.996217    10    0.2478    0.001957
189    47.244017    9    0.188273    0.002832
190    47.43229    10    0.099925    0.000786
191    47.532215    9    0.126241    0.001883
192    47.658456    10    0.170207    0.001333
193    47.828663    9    0.139236    0.002062
194    47.967899    8    1.463792    0.011103
195    49.431691    9    0.156688    0.003035
196    49.588379    10    0.201519    0.001481
197    49.789898    9    0.266971    0.003835
198    50.056869    10    0.103436    0.000758
199    50.160305    9    0.114246    0.001626
200    50.274551    10    0.218828    0.001597
201    50.493379    9    0.0967    0.001367
202    50.590079    10    0.264807    0.001916
203    50.854886    9    0.219722    0.003078
204    51.074608    10    0.170716    0.001229
205    51.245324    9    0.135697    0.001884
206    51.381021    10    0.100718    0.000723
207    51.481739    9    0.227474    0.003132
208    51.709213    10    0.165859    0.001187
209    51.875072    9    0.14417    0.001967
210    52.019242    10    0.104607    0.000746
211    52.123849    9    0.208016    0.002816
212    52.331865    10    0.206611    0.001469
213    52.538476    9    0.108351    0.001455
214    52.646827    10    0.194754    0.001377
215    52.841581    9    0.125818    0.001677
216    52.967399    10    0.136034    0.000957
217    53.103433    9    0.250524    0.003312
218    53.353957    10    0.19053    0.001336
219    53.544487    9    0.174365    0.002282
220    53.718852    10    0.190293    0.001328
221    53.909145    9    0.108523    0.001411
222    54.017668    10    0.219131    0.00152
223    54.236799    9    0.128122    0.001654
224    54.364921    8    1.261459    0.008531
225    55.62638    9    0.271071    0.004666
226    55.897451    8    1.622349    0.010456
227    57.5198    7    0.596311    0.009837
228    58.116111    8    0.092154    0.001543
229    58.208265    7    0.563663    0.009101
230    58.771928    8    0.116901    0.001933
231    58.888829    9    0.17898    0.002848
232    59.067809    10    0.160318    0.00102
233    59.228127    9    0.207095    0.002525
234    59.435222    10    0.161916    0.001027
235    59.597138    9    0.227731    0.002752
236    59.824869    10    0.298623    0.001885
237    60.123492    9    0.198223    0.002371
238    60.321715    10    0.086071    0.000541
239    60.407786    9    0.264918    0.003142
240    60.672704    10    0.294383    0.001844
241    60.967087    9    0.105536    0.001241
242    61.072623    10    0.126083    0.000785
243    61.198706    9    0.256057    0.002988
244    61.454763    10    0.267227    0.001657
245    61.72199    9    0.211088    0.002439
246    61.933078    8    2.079929    0.012456
247    64.013007    9    0.18634    0.002734
248    64.199347    10    0.235395    0.001361
249    64.434742    9    0.153779    0.001724
250    64.588521    10    0.142819    0.000823
251    64.73134    9    0.113681    0.001268
252    64.845021    10    0.130766    0.000751
253    64.975787    9    0.199572    0.002212
254    65.175359    8    0.692629    0.003936
255    65.867988    9    0.139885    0.001993
256    66.007873    10    0.196308    0.001103
257    66.204181    9    0.265317    0.002892
258    66.469498    10    0.24092    0.001348
259    66.710418    9    0.207367    0.002239
260    66.917785    10    0.235138    0.001308
261    67.152923    9    0.09675    0.001037
262    67.249673    10    0.123098    0.000682
263    67.372771    9    0.210285    0.002243
264    67.583056    10    0.205317    0.001135
265    67.788373    9    0.085054    0.000901
266    67.873427    10    0.186895    0.001028
267    68.060322    9    0.161419    0.001702
268    68.221741    10    0.263395    0.001441
269    68.485136    9    0.181207    0.001896
270    68.666343    10    0.082942    0.000452
271    68.749285    9    0.116418    0.001212
272    68.865703    8    1.557284    0.008303
273    70.422987    9    0.14197    0.001897
274    70.564957    10    0.170265    0.000886
275    70.735222    9    0.240653    0.002453
276    70.975875    10    0.140485    0.00073
277    71.11636    9    0.123585    0.001251
278    71.239945    10    0.096766    0.000502
279    71.336711    9    0.087728    0.000885
280    71.424439    8    1.016639    0.005198
281    72.441078    7    0.681635    0.008783
282    73.122713    8    0.19609    0.002614
283    73.318803    7    0.945714    0.01189
284    74.264517    8    0.163207    0.002137
285    74.427724    9    0.100444    0.001243
286    74.528168    10    0.227693    0.001167
287    74.755861    9    0.13572    0.001327
288    74.891581    10    0.121921    0.000623
289    75.013502    9    0.287719    0.002794
290    75.301221    10    0.16716    0.000852
291    75.468381    9    0.117818    0.001136
292    75.586199    10    0.287516    0.001458
293    75.873715    9    0.119702    0.001148
294    75.993417    10    0.142972    0.000722
295    76.136389    9    0.100135    0.000957
296    76.236524    10    0.201633    0.001014
297    76.438157    9    0.227636    0.002162
298    76.665793    10    0.222045    0.001112
299    76.887838    9    0.144478    0.001363
300    77.032316    10    0.149788    0.000747
301    77.182104    9    0.202653    0.001901
302    77.384757    10    0.170477    0.000849
303    77.555234    9    0.284886    0.002652
304    77.84012    10    0.189522    0.000941
305    78.029642    9    0.227512    0.002101
306    78.257154    8    1.253815    0.006123
307    79.510969    7    0.824928    0.009505
308    80.335897    8    0.098527    0.001194
309    80.434424    9    0.093679    0.001065
310    80.528103    10    0.196506    0.000949
311    80.724609    9    0.129876    0.001171
312    80.854485    10    0.192767    0.000927
313    81.047252    9    0.166577    0.001494
314    81.213829    10    0.083758    0.000402
315    81.297587    9    0.128018    0.001144
316    81.425605    8    2.084313    0.009756
317    83.509918    7    0.439654    0.004809
318    83.949572    8    0.248613    0.002878
319    84.198185    9    0.169214    0.001832
320    84.367399    8    1.920225    0.008621
321    86.287624    9    0.203978    0.002155
322    86.491602    10    0.224529    0.000985
323    86.716131    9    0.146836    0.001256
324    86.862967    8    0.911175    0.003948
325    87.774142    9    0.153734    0.001596
326    87.927876    10    0.185113    0.000794
327    88.112989    9    0.248828    0.002099
328    88.361817    10    0.209453    0.000895
329    88.57127    9    0.08636    0.000725
330    88.65763    10    0.091274    0.000389
331    88.748904    9    0.14876    0.001244
332    88.897664    10    0.171333    0.000728
333    89.068997    9    0.210447    0.00175
334    89.279444    10    0.17102    0.000726
335    89.450464    9    0.107012    0.000886
336    89.557476    10    0.270764    0.001144
337    89.82824    9    0.139374    0.001148
338    89.967614    10    0.133744    0.000563
339    90.101358    9    0.087758    0.00072
340    90.189116    10    0.294829    0.001237
341    90.483945    9    0.181006    0.001479
342    90.664951    10    0.116587    0.000488
343    90.781538    9    0.099528    0.00081
344    90.881066    10    0.214924    0.000896
345    91.09599    9    0.106354    0.000862
346    91.202344    10    0.210684    0.000874
347    91.413028    9    0.288449    0.002325
348    91.701477    10    0.158504    0.000657
349    91.859981    9    0.205889    0.001648
350    92.06587    10    0.195244    0.000807
351    92.261114    9    0.082663    0.000659
352    92.343777    10    0.179911    0.000741
353    92.523688    9    0.092276    0.000733
354    92.615964    10    0.184587    0.000757
355    92.800551    9    0.258425    0.002043
356    93.058976    10    0.141015    0.000578
357    93.199991    9    0.123493    0.000972
358    93.323484    10    0.111476    0.000456
359    93.43496    9    0.092408    0.000725
360    93.527368    8    0.743268    0.003013
361    94.270636    7    0.455547    0.004412
362    94.726183    6    0.2615    0.002684
363    94.987683    7    0.112533    0.001176
364    95.100216    8    0.303318    0.003091
365    95.403534    7    1.0722    0.010153
366    96.475734    8    0.152213    0.001527
367    96.627947    7    0.393299    0.003663
368    97.021246    8    0.240262    0.002392
369    97.261508    7    0.388558    0.003581
370    97.650066    8    0.138344    0.001367
371    97.78841    9    0.183472    0.001679
372    97.971882    10    0.123517    0.000507
373    98.095399    9    0.11017    0.000836
374    98.205569    10    0.117573    0.000481
375    98.323142    9    0.225272    0.001702
376    98.548414    10    0.227213    0.000929
377    98.775627    9    0.114918    0.000864
378    98.890545    10    0.300169    0.001221
379    99.190714    9    0.193545    0.001448
380    99.384259    8    0.616829    0.002488
381    100.001088    9    0.142992    0.001281
382    100.14408    10    0.104391    0.000418
383    100.248471    9    0.180475    0.001338
384    100.428946    8    1.324044    0.005237
385    101.75299    9    0.175883    0.001549
386    101.928873    8    1.14295    0.004416
387    103.071823    9    0.239273    0.002077
388    103.311096    10    0.123658    0.000472
389    103.434754    9    0.22233    0.001609
390    103.657084    10    0.105881    0.000404
391    103.762965    9    0.097123    0.0007
392    103.860088    10    0.11883    0.000453
393    103.978918    9    0.092016    0.000662
394    104.070934    10    0.289989    0.001101
395    104.360923    9    0.226313    0.00162
396    104.587236    10    0.118113    0.000447
397    104.705349    9    0.160811    0.001146
398    104.86616    10    0.090531    0.000342
399    104.956691    9    0.116722    0.000829
400    105.073413    8    1.822953    0.006776
401    106.896366    9    0.296939    0.002489
402    107.193305    10    0.18665    0.000681
403    107.379955    9    0.296923    0.002071
404    107.676878    10    0.290701    0.001058
405    107.967579    9    0.241487    0.001673
406    108.209066    10    0.163945    0.000595
407    108.373011    9    0.18975    0.001308
408    108.562761    8    1.717299    0.006136
409    110.28006    9    0.274906    0.002235
410    110.554966    10    0.107629    0.000379
411    110.662595    9    0.148116    0.001005
412    110.810711    10    0.155742    0.000547
413    110.966453    9    0.087061    0.000589
414    111.053514    10    0.134227    0.00047
415    111.187741    9    0.147582    0.000995
416    111.335323    10    0.220716    0.000772
417    111.556039    9    0.181261    0.001218
418    111.7373    10    0.151357    0.000528
419    111.888657    9    0.266714    0.001783
420    112.155371    10    0.151378    0.000527
421    112.306749    9    0.151366    0.001006
422    112.458115    10    0.173894    0.000605
423    112.632009    9    0.098652    0.000654
424    112.730661    10    0.174612    0.000605
425    112.905273    9    0.125322    0.000829
426    113.030595    10    0.151941    0.000525
427    113.182536    9    0.181545    0.001196
428    113.364081    10    0.300582    0.001037
429    113.664663    9    0.191922    0.001258
430    113.856585    10    0.253813    0.000872
431    114.110398    9    0.229718    0.001497
432    114.340116    10    0.113335    0.000389
433    114.453451    9    0.248538    0.001612
434    114.701989    10    0.19499    0.000668
435    114.896979    9    0.250808    0.001618
436    115.147787    10    0.169224    0.000578
437    115.317011    9    0.089277    0.000574
438    115.406288    10    0.201012    0.000685
439    115.6073    9    0.282636    0.001809
440    115.889936    8    0.994183    0.003356
441    116.884119    9    0.23684    0.001824
442    117.120959    10    0.121645    0.000408
443    117.242604    9    0.091789    0.000581
444    117.334393    8    1.149988    0.00381
445    118.484381    7    0.319316    0.002423
446    118.803697    6    0.26292    0.002144
447    119.066617    5    0.679783    0.005644
448    119.7464    4    0.291399    0.002428
449    120.037799    5    0.180982    0.001505
450    120.218781    6    0.109599    0.000909
451    120.32838    7    0.21811    0.001789
452    120.54649    8    0.179572    0.001442
453    120.726062    9    0.176584    0.001316
454    120.902646    10    0.098783    0.000328
455    121.001429    9    0.176012    0.00109
456    121.177441    10    0.210024    0.000695
457    121.387465    9    0.168553    0.001039
458    121.556018    8    0.757993    0.002489
459    122.314011    7    0.58057    0.004255
460    122.894581    8    0.206423    0.001623
461    123.101004    9    0.106453    0.000775
462    123.207457    8    1.167379    0.003787
463    124.374836    9    0.104571    0.000753
464    124.479407    10    0.12556    0.000403
465    124.604967    9    0.167581    0.001014
466    124.772548    10    0.118184    0.000379
467    124.890732    9    0.24183    0.001456
468    125.132562    10    0.156077    0.0005
