i	N	T		Max_v_i_differ	Max_tau_i_differ	r_arr		v_i_n		tau_i
0	16090.0	[5067.68812]	0.39589		0.46496			[8.1944]	8.19263		7.81598
1	16120.0	[5006.36963]	0.40754		0.481			[8.1944]	8.3805		8.0456
2	16486.0	[5181.04503]	0.39588		0.45841			[8.1944]	8.1808		7.76359
3	16058.0	[5051.48622]	0.39893		0.47291			[8.1944]	8.25243		7.89521
4	15814.0	[4952.24727]	0.40111		0.47223			[8.1944]	8.29372		7.94903
5	15081.0	[4663.08093]	0.41574		0.49284			[8.1944]	8.56235		8.26129
6	15296.0	[4799.64312]	0.40991		0.48609			[8.1944]	8.42348		8.09269
7	16256.0	[5110.69955]	0.39889		0.468			[8.1944]	8.21563		7.83516
8	15194.0	[4772.66373]	0.41044		0.48826			[8.1944]	8.4729		8.15453
9	15913.0	[4988.96202]	0.39902		0.4694			[8.1944]	8.20331		7.81883
10	15554.0	[4895.28066]	0.40745		0.48303			[8.1944]	8.32264		7.962
