l    time_i    C(l)    Tau_i     Delta_n
1    0.0    8    0.24941    1
2    0.24941    9    0.45368    1
3    0.70309    10    0.34197    0.32723
4    1.04506    9    0.49835    0.32289
5    1.54341    10    0.19781    0.08843
6    1.74122    9    0.44838    0.14617
7    2.1896    10    0.24122    0.07477
8    2.43082    9    0.30135    0.06734
9    2.73217    10    0.37237    0.08566
10    3.10454    9    0.39195    0.06703
11    3.49649    10    0.4856    0.08172
12    3.98209    9    0.43084    0.05742
13    4.41293    10    0.382    0.05008
14    4.79493    9    0.25213    0.02838
15    5.04706    10    0.38182    0.04216
16    5.42888    9    0.27901    0.02796
17    5.70789    10    0.35896    0.03426
18    6.06685    9    0.49773    0.0433
19    6.56458    8    1.85763    0.12778
20    8.42221    9    0.32793    0.03546
21    8.75014    10    0.40868    0.02107
22    9.15882    9    0.42111    0.02908
23    9.57993    10    0.24875    0.01203
24    9.82868    9    0.43487    0.02719
25    10.26355    10    0.23815    0.01102
26    10.5017    9    0.27022    0.01564
27    10.77192    10    0.50952    0.02204
28    11.28144    9    0.46537    0.02478
29    11.74681    10    0.42185    0.01689
30    12.16866    9    0.29384    0.01449
31    12.4625    10    0.22628    0.00861
32    12.68878    9    0.5249    0.02412
33    13.21368    8    1.60046    0.05348
34    14.81414    9    0.26294    0.01652
35    15.07708    10    0.34861    0.0102
36    15.42569    9    0.39226    0.01594
37    15.81795    10    0.47816    0.01335
38    16.29611    9    0.26811    0.01032
39    16.56422    10    0.30319    0.0081
40    16.86741    9    0.30273    0.01118
41    17.17014    10    0.41737    0.01073
42    17.58751    9    0.28464    0.01007
43    17.87215    10    0.18911    0.00472
44    18.06126    9    0.37805    0.01283
45    18.43931    10    0.43117    0.01044
46    18.87048    9    0.38963    0.01258
47    19.26011    8    2.55966    0.05372
48    21.81977    9    0.33306    0.01432
49    22.15283    8    1.74659    0.03019
50    23.89942    9    0.3906    0.01516
51    24.29002    10    0.31021    0.00495
52    24.60023    9    0.21123    0.00591
53    24.81146    10    0.18948    0.00298
54    25.00094    9    0.38554    0.01048
55    25.38648    8    1.52513    0.02264
56    26.91161    7    1.37997    0.04558
57    28.29158    8    0.22458    0.0078
58    28.51616    7    1.35581    0.04038
59    29.87197    8    0.31274    0.01019
60    30.18471    9    0.29488    0.00824
61    30.47959    10    0.20836    0.00306
62    30.68795    9    0.42365    0.01002
63    31.1116    10    0.21613    0.00313
64    31.32773    9    0.22377    0.00516
65    31.5515    10    0.32692    0.00467
66    31.87842    9    0.3311    0.00745
67    32.20952    10    0.22163    0.00311
68    32.43115    9    0.32692    0.00718
69    32.75807    8    2.98301    0.03825
70    35.74108    9    0.20486    0.00493
71    35.94594    10    0.34038    0.00397
72    36.28632    9    0.35047    0.00708
73    36.63679    10    0.29903    0.00344
74    36.93582    9    0.34162    0.00674
75    37.27744    10    0.29415    0.00335
76    37.57159    9    0.40751    0.00784
77    37.9791    10    0.47898    0.00535
78    38.45808    9    0.45616    0.00852
79    38.91424    8    2.19543    0.02302
80    41.10967    9    0.28152    0.00597
81    41.39119    10    0.33373    0.00329
82    41.72492    9    0.42608    0.00745
83    42.151    10    0.35561    0.00347
84    42.50661    9    0.46525    0.00792
85    42.97186    10    0.22125    0.00214
86    43.19311    9    0.41214    0.00686
87    43.60525    8    2.35212    0.02154
88    45.95737    9    0.43696    0.00834
89    46.39433    10    0.24907    0.00216
90    46.6434    9    0.34061    0.00534
91    46.98401    10    0.38988    0.00335
92    47.37389    9    0.38252    0.00588
93    47.75641    10    0.31148    0.00265
94    48.06789    9    0.40158    0.00604
95    48.46947    10    0.47023    0.00395
96    48.9397    9    0.50196    0.00737
97    49.44166    10    0.32448    0.00269
98    49.76614    9    0.44045    0.00632
99    50.20659    10    0.32715    0.00269
100    50.53374    9    0.38478    0.00541
101    50.91852    10    0.22052    0.0018
102    51.13904    9    0.46642    0.00643
103    51.60546    10    0.30472    0.00247
104    51.91018    9    0.39988    0.00541
105    52.31006    10    0.3424    0.00275
106    52.65246    9    0.37697    0.005
107    53.02943    10    0.40107    0.00318
108    53.4305    9    0.23494    0.00307
109    53.66544    10    0.48121    0.00376
110    54.14665    9    0.35941    0.00462
111    54.50606    10    0.19256    0.00149
112    54.69862    9    0.2322    0.00295
113    54.93082    10    0.28691    0.00221
114    55.21773    9    0.41378    0.00517
115    55.63151    10    0.3339    0.00254
116    55.96541    9    0.43935    0.0054
117    56.40476    10    0.50296    0.00379
118    56.90772    9    0.38124    0.00459
119    57.28896    8    2.67002    0.01908
120    59.95898    7    1.23197    0.01821
121    61.19095    6    0.89453    0.01422
122    62.08548    7    0.34874    0.00559
123    62.43422    8    0.54978    0.00849
124    62.984    9    0.38778    0.00545
125    63.37178    10    0.46024    0.00318
126    63.83202    9    0.27208    0.00305
127    64.1041    10    0.34875    0.00238
128    64.45285    9    0.47469    0.00524
129    64.92754    10    0.32445    0.0022
130    65.25199    9    0.46999    0.00509
131    65.72198    10    0.30985    0.00208
