i	N	T		Max_v_i_differ	Max_tau_i_differ	r_arr		v_i_n		tau_i
0	25850.0	[11119.48351]	0.19265		0.23464			[5.]	4.96085		4.96207
1	25119.0	[10761.32388]	0.22582		0.27301			[5.]	5.57629		5.58137
2	24942.0	[10718.17555]	0.20939		0.25215			[5.]	5.26282		5.25757
3	24259.0	[10476.45099]	0.21823		0.2645			[5.]	4.50705		4.50818
4	25978.0	[11145.62387]	0.19893		0.23723			[5.]	5.06867		5.04297
5	25118.0	[10765.18789]	0.19806		0.23751			[5.]	5.04889		5.03606
6	25520.0	[10959.2305]	0.19456		0.23476			[5.]	5.05647		5.04499
7	24899.0	[10738.49195]	0.20146		0.24512			[5.]	4.87994		4.86464
8	25326.0	[10941.73032]	0.20843		0.2554			[5.]	5.25653		5.26874
9	25428.0	[10928.87748]	0.20391		0.24921			[5.]	4.7906		4.77306
10	23462.0	[10068.33778]	0.23355		0.28038			[5.]	5.6882		5.67789
