l    time_i    C(l)    Tau_i     Delta_n
1    0.0    8    1.535669    1
2    1.535669    7    1.300062    1
3    2.835731    6    0.613893    0.177959
4    3.449624    5    0.541309    0.135635
5    3.990933    4    0.503177    0.111964
6    4.49411    5    0.392085    0.080243
7    4.886195    4    0.507292    0.084371
8    5.393487    5    0.488842    0.077062
9    5.882329    6    0.819808    0.101309
10    6.702137    5    0.7421    0.091636
11    7.444237    6    0.396835    0.038167
12    7.841072    7    0.517344    0.051764
13    8.358416    8    0.315628    0.033715
14    8.674044    7    1.30562    0.111219
15    9.979664    8    0.478401    0.041483
16    10.458065    7    1.526904    0.095659
17    11.984969    6    0.758295    0.052515
18    12.743264    7    0.306106    0.020143
19    13.04937    8    0.297247    0.018574
20    13.346617    9    0.623226    0.030799
21    13.969843    10    0.380785    0.023618
22    14.350628    9    0.446946    0.030204
23    14.797574    8    2.730834    0.135618
24    17.528408    9    0.435273    0.017657
25    17.963681    8    2.322183    0.084858
26    20.285864    9    0.538732    0.01925
27    20.824596    8    1.221936    0.036876
28    22.046532    9    0.546159    0.017891
29    22.592691    10    0.651568    0.017868
30    23.244259    9    0.397118    0.016475
31    23.641377    10    0.441738    0.011481
32    24.083115    9    0.537724    0.021075
33    24.620839    10    0.362139    0.009029
34    24.982978    9    0.438275    0.016287
35    25.421253    8    2.923719    0.064005
36    28.344972    9    0.494626    0.013354
37    28.839598    10    0.786039    0.014967
38    29.625637    9    0.334327    0.010474
39    29.959964    10    0.519847    0.009452
40    30.479811    9    0.677977    0.020221
41    31.157788    10    0.787313    0.013669
42    31.945101    9    0.470519    0.013228
43    32.41562    10    0.342529    0.005727
44    32.758149    9    0.461152    0.012483
45    33.219301    8    2.723121    0.041539
46    35.942422    7    0.717038    0.015875
47    36.65946    6    0.780369    0.019442
48    37.439829    7    0.574381    0.01426
49    38.01421    8    0.755825    0.017832
50    38.770035    9    0.371963    0.007667
51    39.141998    10    0.747287    0.010249
52    39.889285    9    0.644679    0.014404
53    40.533964    8    2.236488    0.028454
54    42.770452    9    0.282487    0.005356
55    43.052939    10    0.312759    0.003742
56    43.365698    9    0.638802    0.013041
57    44.0045    10    0.651274    0.007615
58    44.655774    9    0.7084    0.01385
59    45.364174    10    0.567031    0.006446
60    45.931205    9    0.381468    0.007205
61    46.312673    10    0.483674    0.005372
62    46.796347    9    0.426528    0.007848
63    47.222875    10    0.548229    0.005953
64    47.771104    9    0.33103    0.005937
65    48.102134    10    0.518892    0.005508
66    48.621026    9    0.628637    0.010954
67    49.249663    10    0.698927    0.007232
68    49.94859    9    0.559162    0.009403
69    50.507752    10    0.530292    0.005351
70    51.038044    9    0.463239    0.00757
71    51.501283    10    0.574601    0.005673
72    52.075884    9    0.824257    0.013025
73    52.900141    8    1.851088    0.017449
74    54.751229    9    0.416134    0.006421
75    55.167363    10    0.314428    0.002847
76    55.481791    9    0.444868    0.006611
77    55.926659    10    0.710603    0.006318
78    56.637262    9    0.467811    0.006772
79    57.105073    10    0.361327    0.003152
80    57.4664    9    0.648318    0.00916
81    58.114718    8    2.524157    0.020971
82    60.638875    7    1.134077    0.015768
83    61.772952    8    0.37607    0.005659
84    62.149022    9    0.385036    0.005197
85    62.534058    8    1.274073    0.009954
86    63.808131    7    1.447918    0.018684
87    65.256049    8    0.420274    0.00597
88    65.676323    9    0.704157    0.008746
89    66.38048    10    0.445056    0.003385
90    66.825536    9    0.382552    0.004761
91    67.208088    10    0.649754    0.004862
92    67.857842    9    0.424227    0.005177
93    68.282069    10    0.585885    0.004305
94    68.867954    9    0.339731    0.004073
95    69.207685    10    0.316213    0.002293
96    69.523898    9    0.630215    0.007423
97    70.154113    10    0.372069    0.002672
98    70.526182    9    0.44697    0.005163
99    70.973152    8    1.609076    0.011235
100    72.582228    9    0.319834    0.003648
101    72.902062    10    0.774025    0.00523
102    73.676087    9    0.524063    0.005802
103    74.20015    10    0.488786    0.003247
104    74.688936    9    0.306082    0.003334
105    74.995018    10    0.584025    0.003825
106    75.579043    9    0.313519    0.003367
