l    time_i    C(l)    Tau_i     Delta_n
1    0.0    4    0.354226    1
2    0.354226    5    0.61232    1
3    0.966546    6    0.343194    0.166001
4    1.30974    5    0.585066    0.308774
5    1.894806    4    0.712932    0.172764
6    2.607738    3    0.4878    0.12058
7    3.095538    4    0.32006    0.093705
8    3.415598    3    0.316529    0.057495
9    3.732127    4    0.407008    0.089899
10    4.139135    5    0.528629    0.07449
11    4.667764    4    0.442048    0.060371
12    5.109812    5    0.52578    0.057779
13    5.635592    6    0.477245    0.05241
14    6.112837    7    0.260066    0.036902
15    6.372903    8    0.326776    0.048775
16    6.699679    9    0.211011    0.030534
17    6.91069    10    0.314313    0.043504
18    7.225003    9    0.19633    0.026455
19    7.421333    10    0.181371    0.022845
20    7.602704    9    0.285227    0.035226
21    7.887931    8    3.024552    0.259747
22    10.912483    9    0.172699    0.015278
23    11.085182    10    0.237219    0.014298
24    11.322401    9    0.159438    0.013296
25    11.481839    10    0.156712    0.009059
26    11.638551    9    0.261974    0.020801
27    11.900525    8    2.850767    0.129692
28    14.751292    7    1.329278    0.080513
29    16.08057    8    0.359076    0.021398
30    16.439646    9    0.443823    0.023548
31    16.883469    10    0.305509    0.010652
32    17.188978    9    0.356096    0.01923
33    17.545074    10    0.222982    0.007493
34    17.768056    9    0.221485    0.01144
35    17.989541    10    0.16462    0.005391
36    18.154161    9    0.280524    0.013976
37    18.434685    8    2.673584    0.075418
38    21.108269    9    0.319001    0.013367
39    21.42727    10    0.354162    0.008572
40    21.781432    9    0.205326    0.008584
41    21.986758    10    0.236493    0.005566
42    22.223251    9    0.383813    0.015475
43    22.607064    10    0.319374    0.007323
44    22.926438    9    0.254959    0.009871
45    23.181397    10    0.398011    0.00884
46    23.579408    9    0.294823    0.010985
47    23.874231    10    0.298301    0.006427
48    24.172532    9    0.254838    0.009181
49    24.42737    10    0.234691    0.004944
50    24.662061    9    0.347023    0.0121
51    25.009084    10    0.183923    0.003806
52    25.193007    9    0.161185    0.005474
53    25.354192    10    0.28659    0.005818
54    25.640782    9    0.295376    0.009762
55    25.936158    10    0.276045    0.005478
56    26.212203    9    0.192971    0.006205
57    26.405174    10    0.318194    0.006172
58    26.723368    9    0.354804    0.011067
59    27.078172    10    0.34227    0.006473
60    27.420442    9    0.188283    0.005699
61    27.608725    10    0.280243    0.005179
62    27.888968    9    0.221521    0.006554
63    28.110489    10    0.296396    0.005364
64    28.406885    9    0.418126    0.011996
65    28.825011    10    0.326964    0.005785
66    29.151975    9    0.386685    0.010696
67    29.53866    10    0.176373    0.003066
68    29.715033    9    0.427313    0.011448
69    30.142346    10    0.165565    0.002843
70    30.307911    9    0.15861    0.00415
71    30.466521    10    0.274194    0.004638
72    30.740715    9    0.224593    0.005765
73    30.965308    10    0.224953    0.003742
74    31.190261    9    0.178195    0.004491
75    31.368456    10    0.35174    0.005743
76    31.720196    9    0.291368    0.007177
77    32.011564    10    0.339983    0.005428
78    32.351547    9    0.170634    0.004112
79    32.522181    10    0.229399    0.003598
80    32.75158    9    0.386614    0.009112
81    33.138194    10    0.316397    0.004879
82    33.454591    9    0.225545    0.005184
83    33.680136    10    0.181266    0.002753
84    33.861402    9    0.170946    0.003868
85    34.032348    10    0.261996    0.003926
86    34.294344    9    0.323427    0.007175
87    34.617771    10    0.42079    0.006179
88    35.038561    9    0.308481    0.006666
89    35.347042    8    2.254324    0.030735
90    37.601366    9    0.445798    0.010945
91    38.047164    10    0.364068    0.004625
92    38.411232    9    0.19108    0.003844
93    38.602312    10    0.34691    0.004328
94    38.949222    9    0.402901    0.007931
95    39.352123    10    0.257968    0.003171
96    39.610091    9    0.27045    0.00521
97    39.880541    10    0.382452    0.004628
98    40.262993    9    0.406728    0.007653
99    40.669721    10    0.231147    0.002756
100    40.900868    9    0.387928    0.007131
101    41.288796    8    2.56728    0.028676
102    43.856076    9    0.372862    0.007869
103    44.228938    10    0.303165    0.00317
104    44.532103    9    0.40374    0.006917
105    44.935843    10    0.188802    0.001956
106    45.124645    9    0.309087    0.005197
107    45.433732    10    0.290904    0.002985
108    45.724636    9    0.272126    0.004498
109    45.996762    10    0.299831    0.003039
110    46.296593    9    0.284016    0.004618
111    46.580609    10    0.165392    0.001661
112    46.746001    9    0.390875    0.00625
113    47.136876    10    0.41518    0.004123
114    47.552056    9    0.287561    0.004506
115    47.839617    10    0.250585    0.002455
116    48.090202    9    0.287401    0.004434
117    48.377603    10    0.417912    0.004042
118    48.795515    9    0.26343    0.003996
119    49.058945    8    2.933311    0.026562
120    51.992256    9    0.29081    0.005209
121    52.283066    10    0.360396    0.003062
122    52.643462    9    0.249853    0.00358
123    52.893315    10    0.229267    0.001929
124    53.122582    9    0.31611    0.004468
125    53.438692    10    0.303849    0.002534
126    53.742541    9    0.284838    0.003966
127    54.027379    10    0.198898    0.001645
128    54.226277    9    0.166343    0.002292
129    54.39262    10    0.211051    0.001734
130    54.603671    9    0.242716    0.00331
131    54.846387    10    0.317112    0.002583
132    55.163499    9    0.380138    0.005107
133    55.543637    10    0.245366    0.001982
134    55.789003    9    0.189487    0.002512
135    55.97849    10    0.295377    0.002364
136    56.273867    9    0.293053    0.003839
137    56.56692    10    0.324852    0.002575
138    56.891772    9    0.292845    0.003783
139    57.184617    10    0.414167    0.003245
140    57.598784    9    0.333212    0.004238
141    57.931996    10    0.311087    0.00241
142    58.243083    9    0.262534    0.003294
143    58.505617    10    0.278412    0.002137
144    58.784029    9    0.25031    0.003103
145    59.034339    10    0.301457    0.002294
146    59.335796    9    0.268846    0.003294
147    59.604642    10    0.300487    0.002265
148    59.905129    9    0.220673    0.002673
149    60.125802    10    0.285731    0.002135
150    60.411533    9    0.182953    0.002195
151    60.594486    8    2.297858    0.016474
152    62.892344    9    0.364553    0.005434
153    63.256897    10    0.264842    0.001825
154    63.521739    9    0.371759    0.004291
155    63.893498    10    0.324415    0.002219
156    64.217913    9    0.422122    0.004796
157    64.640035    10    0.383338    0.002598
158    65.023373    9    0.33796    0.003781
159    65.361333    10    0.353546    0.002372
160    65.714879    9    0.215472    0.002383
161    65.930351    10    0.257385    0.001713
162    66.187736    9    0.204336    0.002239
163    66.392072    8    1.368891    0.008897
164    67.760963    9    0.357651    0.004944
165    68.118614    10    0.164437    0.001046
166    68.283051    9    0.199119    0.002132
167    68.48217    10    0.317717    0.002009
168    68.799887    9    0.347697    0.003682
169    69.147584    10    0.419072    0.002626
170    69.566656    9    0.171616    0.001796
171    69.738272    10    0.217282    0.00135
172    69.955554    9    0.171169    0.001779
173    70.126723    10    0.409773    0.002526
174    70.536496    9    0.183186    0.001889
175    70.719682    10    0.324639    0.001982
176    71.044321    9    0.257337    0.002629
177    71.301658    10    0.266333    0.001615
178    71.567991    9    0.419049    0.00423
179    71.98704    10    0.187608    0.001132
180    72.174648    9    0.187609    0.001875
181    72.362257    10    0.2747    0.001648
182    72.636957    9    0.269826    0.002673
183    72.906783    10    0.270245    0.00161
184    73.177028    9    0.410244    0.004018
185    73.587272    10    0.171015    0.001015
186    73.758287    9    0.250401    0.002427
187    74.008688    8    1.431193    0.008321
188    75.439881    9    0.18428    0.002298
189    75.624161    10    0.426335    0.00242
190    76.050496    9    0.250993    0.002377
191    76.301489    10    0.228039    0.001284
192    76.529528    9    0.161288    0.001516
193    76.690816    10    0.237555    0.001331
194    76.928371    9    0.227663    0.002126
195    77.156034    10    0.401419    0.002233
196    77.557453    9    0.245064    0.002267
197    77.802517    10    0.363895    0.002006
198    78.166412    9    0.283798    0.002601
199    78.45021    8    1.568138    0.008447
200    80.018348    7    1.333655    0.015474
201    81.352003    8    0.405991    0.004924
202    81.757994    9    0.18117    0.002053
203    81.939164    10    0.231775    0.00123
204    82.170939    9    0.186817    0.001654
205    82.357756    10    0.165554    0.000875
206    82.52331    9    0.207453    0.001825
207    82.730763    8    1.460884    0.007578
208    84.191647    9    0.278958    0.003067
209    84.470605    10    0.358355    0.001821
210    84.82896    9    0.214346    0.001847
211    85.043306    10    0.266189    0.001344
212    85.309495    9    0.277144    0.00237
213    85.586639    10    0.261247    0.001312
214    85.847886    9    0.290704    0.002465
215    86.13859    10    0.237019    0.001185
216    86.375609    9    0.259072    0.002179
217    86.634681    10    0.387564    0.001925
218    87.022245    9    0.173425    0.001447
219    87.19567    8    1.922275    0.009308
220    89.117945    9    0.216541    0.002253
221    89.334486    10    0.29764    0.001407
222    89.632126    9    0.331096    0.0027
223    89.963222    10    0.260026    0.001223
224    90.223248    9    0.157842    0.001278
225    90.38109    10    0.255218    0.001194
226    90.636308    9    0.254916    0.00205
227    90.891224    10    0.235728    0.001098
228    91.126952    9    0.157058    0.001256
229    91.28401    10    0.343067    0.001589
230    91.627077    9    0.195928    0.001557
231    91.823005    10    0.241599    0.001113
232    92.064604    9    0.273975    0.002163
233    92.338579    10    0.159215    0.000731
234    92.497794    9    0.426397    0.003336
235    92.924191    8    1.516778    0.006851
236    94.440969    9    0.20585    0.002025
237    94.646819    10    0.254486    0.001129
238    94.901305    9    0.261388    0.002004
239    95.162693    10    0.229583    0.001015
240    95.392276    9    0.16009    0.00122
241    95.552366    10    0.330883    0.001454
242    95.883249    9    0.400608    0.003029
243    96.283857    10    0.309625    0.001354
244    96.593482    9    0.289631    0.002169
245    96.883113    10    0.188242    0.00082
246    97.071355    9    0.313293    0.00233
247    97.384648    10    0.194503    0.000845
248    97.579151    9    0.229029    0.001691
249    97.80818    10    0.269036    0.001164
250    98.077216    9    0.286864    0.002104
251    98.36408    10    0.343547    0.001479
252    98.707627    9    0.253069    0.001842
253    98.960696    10    0.193606    0.000829
254    99.154302    9    0.369309    0.002668
255    99.523611    10    0.291804    0.001246
256    99.815415    9    0.361432    0.002588
257    100.176847    10    0.172887    0.000735
258    100.349734    9    0.178905    0.001272
259    100.528639    10    0.22361    0.000948
260    100.752249    9    0.287397    0.002032
261    101.039646    10    0.187038    0.000791
262    101.226684    9    0.318098    0.002233
263    101.544782    10    0.35419    0.001491
264    101.898972    9    0.247195    0.001723
265    102.146167    10    0.339767    0.001422
266    102.485934    9    0.321434    0.002223
267    102.807368    10    0.345302    0.001436
268    103.15267    9    0.207148    0.001423
269    103.359818    10    0.187297    0.000776
270    103.547115    9    0.346525    0.002364
271    103.89364    10    0.394639    0.001627
272    104.288279    9    0.363176    0.002455
273    104.651455    10    0.233448    0.000958
274    104.884903    9    0.416772    0.002793
275    105.301675    10    0.23013    0.000941
276    105.531805    9    0.278732    0.001853
277    105.810537    10    0.187573    0.000764
278    105.99811    9    0.335809    0.002217
279    106.333919    10    0.286364    0.001164
280    106.620283    9    0.369271    0.002419
281    106.989554    10    0.168576    0.000682
282    107.15813    9    0.277002    0.001802
283    107.435132    10    0.174041    0.000704
284    107.609173    9    0.21714    0.001405
285    107.826313    10    0.202894    0.000818
286    108.029207    9    0.298036    0.001917
287    108.327243    10    0.284884    0.001143
288    108.612127    9    0.219998    0.001406
289    108.832125    8    1.151129    0.004563
290    109.983254    9    0.253864    0.002162
291    110.237118    10    0.226219    0.000886
292    110.463337    9    0.363939    0.002295
293    110.827276    10    0.314231    0.001226
294    111.141507    9    0.247199    0.001547
295    111.388706    10    0.20453    0.000795
296    111.593236    9    0.301068    0.001874
297    111.894304    10    0.31173    0.001207
298    112.206034    9    0.39134    0.002417
299    112.597374    10    0.383826    0.001479
300    112.9812    9    0.400356    0.00245
301    113.381556    10    0.171299    0.000657
302    113.552855    9    0.347126    0.002109
303    113.899981    10    0.198773    0.000761
304    114.098754    9    0.313948    0.001895
305    114.412702    10    0.204586    0.000781
306    114.617288    9    0.341068    0.002044
307    114.958356    10    0.316266    0.001203
308    115.274622    9    0.240881    0.001434
309    115.515503    10    0.159655    0.000606
310    115.675158    9    0.264079    0.001565
311    115.939237    10    0.284422    0.001075
312    116.223659    9    0.367493    0.002162
313    116.591152    10    0.400316    0.001505
314    116.991468    9    0.362428    0.002116
315    117.353896    10    0.35836    0.00134
316    117.712256    9    0.298747    0.001731
317    118.011003    10    0.24086    0.000897
318    118.251863    9    0.369735    0.002128
319    118.621598    10    0.335675    0.001245
320    118.957273    9    0.266817    0.001525
321    119.22409    10    0.183831    0.000679
322    119.407921    9    0.263926    0.0015
323    119.671847    10    0.355474    0.001307
324    120.027321    9    0.207916    0.001175
325    120.235237    10    0.363648    0.00133
326    120.598885    9    0.290988    0.001636
327    120.889873    8    1.796903    0.006463
328    122.686776    9    0.171037    0.001313
329    122.857813    10    0.172082    0.000609
330    123.029895    9    0.297931    0.001652
331    123.327826    10    0.315133    0.001112
332    123.642959    9    0.229616    0.001266
333    123.872575    10    0.42693    0.001498
334    124.299505    9    0.303983    0.001666
335    124.603488    8    1.882388    0.006491
336    126.485876    9    0.174699    0.001302
337    126.660575    10    0.427275    0.001448
338    127.08785    9    0.410747    0.002214
339    127.498597    10    0.215857    0.000728
340    127.714454    9    0.216282    0.001159
341    127.930736    10    0.186367    0.000627
342    128.117103    9    0.300453    0.001602
343    128.417556    10    0.365425    0.001225
344    128.782981    9    0.175807    0.000933
345    128.958788    10    0.43441    0.001449
346    129.393198    9    0.251104    0.001325
347    129.644302    10    0.166027    0.000552
348    129.810329    9    0.32484    0.001706
349    130.135169    10    0.173502    0.000575
350    130.308671    9    0.269211    0.001407
351    130.577882    10    0.223164    0.000738
352    130.801046    9    0.233383    0.001213
353    131.034429    10    0.347961    0.001146
354    131.38239    9    0.197548    0.001023
355    131.579938    10    0.282931    0.000928
356    131.862869    9    0.186625    0.000961
357    132.049494    10    0.290975    0.000951
358    132.340469    9    0.335807    0.001722
359    132.676276    10    0.264123    0.000859
360    132.940399    9    0.189087    0.000965
361    133.129486    10    0.189876    0.000616
362    133.319362    9    0.166924    0.000849
363    133.486286    10    0.25658    0.00083
364    133.742866    9    0.426131    0.002155
365    134.168997    10    0.279079    0.000901
366    134.448076    9    0.221371    0.001112
367    134.669447    10    0.394818    0.001268
368    135.064265    9    0.349458    0.001746
369    135.413723    8    3.044267    0.009543
370    138.45799    9    0.1711    0.001169
371    138.62909    10    0.164598    0.000504
372    138.793688    9    0.405287    0.001988
373    139.198975    8    1.891436    0.005716
374    141.090411    9    0.307032    0.002056
375    141.397443    10    0.290756    0.000866
376    141.688199    9    0.382451    0.001848
377    142.07065    10    0.429916    0.001275
378    142.500566    9    0.345405    0.001658
379    142.845971    10    0.186539    0.000552
380    143.03251    9    0.195132    0.000933
381    143.227642    10    0.346174    0.001019
382    143.573816    9    0.328179    0.001561
383    143.901995    10    0.394838    0.001158
384    144.296833    9    0.251004    0.001187
385    144.547837    10    0.184342    0.000539
386    144.732179    9    0.264994    0.001248
387    144.997173    10    0.177321    0.000517
388    145.174494    9    0.171333    0.000804
389    145.345827    10    0.232738    0.000678
390    145.578565    9    0.35175    0.001643
391    145.930315    10    0.296439    0.000861
392    146.226754    9    0.223194    0.001038
393    146.449948    10    0.385386    0.001115
394    146.835334    9    0.370195    0.001711
395    147.205529    10    0.416134    0.001197
396    147.621663    9    0.226716    0.001042
397    147.848379    10    0.416213    0.001191
398    148.264592    9    0.223321    0.001022
399    148.487913    10    0.222852    0.000636
400    148.710765    9    0.291225    0.001327
401    149.00199    10    0.281381    0.000801
402    149.283371    9    0.246711    0.001119
403    149.530082    10    0.266541    0.000756
404    149.796623    9    0.28257    0.001276
405    150.079193    8    1.240953    0.003487
406    151.320146    9    0.228852    0.001432
407    151.548998    10    0.191034    0.000532
408    151.740032    9    0.312965    0.0014
409    152.052997    10    0.172595    0.00048
410    152.225592    9    0.424067    0.001886
411    152.649659    10    0.373784    0.001036
412    153.023443    9    0.168651    0.000747
413    153.192094    10    0.23212    0.000642
414    153.424214    9    0.369795    0.001629
415    153.794009    10    0.274301    0.000756
416    154.06831    9    0.375661    0.001646
417    154.443971    10    0.28515    0.000784
418    154.729121    9    0.308449    0.001344
419    155.03757    10    0.35538    0.000974
420    155.39295    9    0.198467    0.000861
421    155.591417    10    0.218408    0.000597
422    155.809825    9    0.216309    0.000935
423    156.026134    10    0.283568    0.000773
424    156.309702    9    0.173282    0.000746
425    156.482984    10    0.24544    0.000666
426    156.728424    9    0.400523    0.001718
427    157.128947    10    0.160214    0.000434
428    157.289161    9    0.400901    0.001709
429    157.690062    10    0.242245    0.000655
430    157.932307    9    0.174328    0.000741
