l    time_i    C(l)    Tau_i     Delta_n
1    0.0    1    0.734252    1
2    0.734252    0    0.557471    1
3    1.291723    1    0.365156    0.095114
4    1.656879    0    0.317127    0.106599
5    1.974006    1    0.699662    0.115942
6    2.673668    0    0.484001    0.103139
7    3.157669    1    0.427797    0.051336
8    3.585466    0    0.651813    0.09554
9    4.237279    1    0.375258    0.0386
10    4.612537    0    0.394916    0.044492
11    5.007453    1    0.770911    0.064085
12    5.778364    0    0.320096    0.030639
13    6.09846    1    0.572811    0.038373
14    6.671271    0    0.347657    0.029297
15    7.018928    1    0.398817    0.02354
16    7.417745    0    0.651557    0.047293
17    8.069302    1    0.514158    0.027649
18    8.58346    2    1.677542    0.092545
19    10.261002    3    0.928285    0.082962
20    11.189287    2    0.609314    0.051643
21    11.798601    3    0.634686    0.047031
22    12.433287    4    0.366114    0.027202
23    12.799401    5    0.648879    0.04825
24    13.44828    6    0.495743    0.035552
25    13.944023    5    0.850832    0.057509
26    14.794855    4    0.770814    0.047861
27    15.565669    5    0.62498    0.036992
28    16.190649    4    0.388359    0.021592
29    16.579008    5    0.501967    0.027129
30    17.080975    6    0.658308    0.033514
31    17.739283    5    0.669525    0.034626
32    18.408808    6    0.380107    0.017688
33    18.788915    5    0.818603    0.038371
34    19.607518    4    0.368151    0.015899
35    19.975669    3    0.404623    0.018089
36    20.380292    4    0.657207    0.029745
37    21.037499    5    0.530182    0.022034
38    21.567681    6    0.512302    0.019908
39    22.079983    5    0.916601    0.035636
40    22.996584    6    0.454116    0.016355
41    23.4507    7    0.456688    0.01645
42    23.907388    8    0.522597    0.021392
43    24.429985    9    0.482593    0.019371
44    24.912578    10    0.329201    0.013042
45    25.241779    9    0.454936    0.017704
46    25.696715    8    1.998408    0.071233
47    27.695123    7    1.421929    0.047984
48    29.117052    8    0.369393    0.012303
49    29.486445    9    0.218615    0.006884
50    29.70506    10    0.405744    0.012419
51    30.110804    9    0.226892    0.007366
52    30.337696    10    0.433784    0.012826
53    30.77148    9    0.484154    0.015147
54    31.255634    10    0.477776    0.01353
55    31.73341    9    0.489924    0.014645
56    32.223334    10    0.227399    0.006215
57    32.450733    9    0.5278    0.015188
58    32.978533    10    0.310451    0.008231
59    33.288984    9    0.394769    0.010952
60    33.683753    10    0.212403    0.005489
61    33.896156    9    0.270969    0.007327
62    34.167125    10    0.43651    0.010992
63    34.603635    9    0.231006    0.006086
64    34.834641    10    0.21639    0.005317
65    35.051031    9    0.293631    0.007577
66    35.344662    10    0.400286    0.009599
67    35.744948    9    0.467289    0.011686
68    36.212237    8    2.111316    0.046803
69    38.323553    9    0.317758    0.007768
70    38.641311    10    0.48382    0.009947
71    39.125131    9    0.377697    0.008622
72    39.502828    10    0.345322    0.006901
73    39.84815    9    0.22203    0.004954
74    40.07018    10    0.466906    0.009107
75    40.537086    9    0.349686    0.007616
76    40.886772    10    0.377132    0.00716
77    41.263904    9    0.411131    0.00872
78    41.675035    8    2.842093    0.049699
79    44.517128    7    0.743474    0.015526
80    45.260602    6    0.535895    0.011471
81    45.796497    5    0.424221    0.008434
82    46.220718    4    0.549135    0.010718
83    46.769853    3    0.308637    0.006176
84    47.07849    4    0.496312    0.01007
85    47.574802    3    0.51275    0.009986
86    48.087552    4    0.566735    0.011133
87    48.654287    5    0.338059    0.0064
88    48.992346    6    0.272621    0.005017
89    49.264967    7    0.357613    0.006601
90    49.62258    6    0.706137    0.013627
91    50.328717    5    0.370906    0.006662
92    50.699623    6    0.411604    0.007282
93    51.111227    5    0.502517    0.00881
94    51.613744    6    0.505922    0.008718
95    52.119666    5    0.913341    0.015449
96    53.033007    4    0.416512    0.006945
97    53.449519    3    0.567275    0.009742
98    54.016794    4    0.340349    0.005948
99    54.357143    5    0.750565    0.012508
100    55.107708    4    0.778214    0.012363
101    55.885922    5    0.621796    0.009983
102    56.507718    6    0.599875    0.00921
103    57.107593    7    0.400492    0.006198
104    57.508085    6    1.059024    0.017411
105    58.567109    7    0.445553    0.006689
106    59.012662    6    1.131854    0.0178
107    60.144516    7    0.456675    0.006643
108    60.601191    6    0.427921    0.006511
109    61.029112    5    0.572738    0.008143
110    61.60185    4    0.541715    0.007647
111    62.143565    3    0.33214    0.004819
112    62.475705    4    0.388318    0.005877
113    62.864023    5    0.29248    0.004178
114    63.156503    6    0.246518    0.003389
115    63.403021    7    0.419424    0.005727
116    63.822445    6    0.871051    0.012462
117    64.693496    7    0.500951    0.006666
118    65.194447    8    0.350922    0.004892
119    65.545369    9    0.453831    0.006542
120    65.9992    10    0.321524    0.003961
121    66.320724    9    0.408452    0.005641
122    66.729176    8    1.797328    0.021356
123    68.526504    9    0.225207    0.003102
124    68.751711    8    1.131111    0.012844
125    69.882822    9    0.272074    0.003664
126    70.154896    10    0.246428    0.002736
127    70.401324    9    0.311339    0.004052
128    70.712663    10    0.473214    0.005183
129    71.185877    9    0.465533    0.005956
130    71.65141    10    0.217605    0.00235
131    71.869015    9    0.489902    0.006169
132    72.358917    10    0.328498    0.003504
133    72.687415    9    0.424937    0.005262
134    73.112352    8    2.258442    0.023165
135    75.370794    9    0.383443    0.004784
136    75.754237    10    0.275513    0.002722
137    76.02975    9    0.239904    0.002844
138    76.269654    10    0.393385    0.003845
139    76.663039    9    0.368079    0.004309
140    77.031118    10    0.385306    0.003716
141    77.416424    9    0.391598    0.004519
142    77.808022    10    0.484896    0.004609
143    78.292918    9    0.25879    0.002946
144    78.551708    10    0.51917    0.004862
145    79.070878    9    0.339958    0.003817
146    79.410836    10    0.354624    0.003275
147    79.76546    9    0.332332    0.003686
148    80.097792    10    0.353118    0.003224
149    80.45091    9    0.282947    0.003103
150    80.733857    8    2.404265    0.021176
151    83.138122    9    0.478493    0.005412
152    83.616615    8    1.843547    0.015375
153    85.460162    9    0.359116    0.003939
154    85.819278    10    0.301193    0.002443
155    86.120471    9    0.214892    0.002214
156    86.335363    10    0.377149    0.003031
157    86.712512    9    0.338297    0.00345
158    87.050809    10    0.362972    0.002886
159    87.413781    9    0.393985    0.00397
160    87.807766    10    0.419821    0.003301
161    88.227587    9    0.28375    0.002826
