l    time_i    C(l)    Tau_i     Delta_n
1    0.0    9    0.308145    1
2    0.308145    10    0.56783    1
3    0.875975    9    0.437534    0.333103
4    1.313509    10    0.727429    0.202339
5    2.040938    9    0.465103    0.145805
6    2.506041    10    0.645994    0.099018
7    3.152035    9    0.807704    0.145567
8    3.959739    10    0.344829    0.040835
9    4.304568    9    0.555284    0.06886
10    4.859852    8    2.354814    0.172857
11    7.214666    7    1.568461    0.170949
12    8.783127    8    0.323969    0.035573
13    9.107096    7    0.599276    0.049018
14    9.706372    8    0.733998    0.067957
15    10.44037    9    0.711802    0.04869
16    11.152172    8    1.417773    0.065853
17    12.569945    9    0.470427    0.026926
18    13.040372    10    0.601348    0.0236
19    13.64172    9    0.846941    0.048747
20    14.488661    10    0.435671    0.015773
21    14.924332    9    0.654122    0.033232
22    15.578454    10    0.484304    0.016418
23    16.062758    9    0.486003    0.022481
24    16.548761    10    0.455878    0.014529
25    17.004639    9    0.459598    0.019735
26    17.464237    10    0.742235    0.022009
27    18.206472    9    0.420813    0.016744
28    18.627285    8    2.999231    0.073329
29    21.626516    7    0.933898    0.034394
30    22.560414    8    0.638723    0.026241
31    23.199137    9    0.531562    0.017966
32    23.730699    10    0.551674    0.011444
33    24.282373    9    0.823988    0.025882
34    25.106361    10    0.306758    0.006143
35    25.413119    9    0.489633    0.014472
36    25.902752    10    0.298862    0.005842
37    26.201614    9    0.72794    0.02038
38    26.929554    10    0.643712    0.012132
39    27.573266    9    0.659284    0.017275
40    28.23255    10    0.552427    0.009962
41    28.784977    9    0.795955    0.019585
42    29.580932    10    0.692536    0.011948
43    30.273468    9    0.686913    0.015862
44    30.960381    10    0.702488    0.011564
45    31.662869    9    0.805011    0.017499
46    32.46788    10    0.489474    0.00775
47    32.957354    9    0.557921    0.011534
48    33.515275    10    0.666652    0.010183
49    34.181927    9    0.38209    0.007601
50    34.564017    10    0.699651    0.010265
51    35.263668    9    0.777943    0.014814
52    36.041611    10    0.425183    0.006036
53    36.466794    9    0.712391    0.01294
54    37.179185    10    0.321656    0.004469
55    37.500841    9    0.467503    0.008192
56    37.968344    10    0.553037    0.007502
57    38.521381    9    0.486519    0.008257
