l    time_i    C(l)    Tau_i     Delta_n
1    0.0    5    0.342899    1
2    0.342899    4    0.52145    1
3    0.864349    5    0.671478    0.437209
4    1.535827    4    0.343626    0.120757
5    1.879453    5    0.929736    0.212719
6    2.809189    6    0.299124    0.066599
7    3.108313    5    0.19703    0.053033
8    3.305343    6    0.919029    0.140927
9    4.224372    5    0.588337    0.106622
10    4.812709    6    0.940608    0.092722
11    5.753317    7    0.872737    0.105883
12    6.626054    6    0.567259    0.078859
13    7.193313    5    0.610822    0.056497
14    7.804135    4    0.509213    0.037519
15    8.313348    5    0.478484    0.043941
16    8.791832    4    0.195739    0.013027
17    8.987571    3    0.349804    0.028794
18    9.337375    2    0.274533    0.028562
19    9.611908    3    0.909162    0.086413
20    10.52107    2    0.245752    0.022229
21    10.766822    1    0.24596    0.020448
22    11.012782    0    0.514646    0.044645
23    11.527428    1    0.33651    0.028364
24    11.863938    0    0.259009    0.020438
25    12.122947    1    0.572709    0.043859
26    12.695656    0    0.314009    0.022665
27    13.009665    1    0.468317    0.032318
28    13.477982    0    0.297858    0.019877
29    13.77584    1    0.301743    0.01929
30    14.077583    0    0.476677    0.029529
31    14.55426    1    0.342682    0.020349
32    14.896942    2    1.37356    0.073868
33    16.270502    1    0.21753    0.012256
34    16.488032    0    0.222634    0.010708
35    16.710666    1    0.543093    0.027668
36    17.253759    0    0.177979    0.008163
37    17.431738    1    0.490101    0.023323
38    17.921839    0    0.211342    0.00929
39    18.133181    1    0.29734    0.013415
40    18.430521    0    0.21861    0.009275
41    18.649131    1    0.282274    0.01223
42    18.931405    0    0.266091    0.010883
43    19.197496    1    0.493264    0.020307
44    19.69076    0    0.348224    0.013554
45    20.038984    1    0.234714    0.009192
46    20.273698    0    0.370397    0.0138
47    20.644095    1    0.196923    0.007452
48    20.841018    0    0.346114    0.012377
49    21.187132    1    0.469471    0.017013
50    21.656603    0    0.469676    0.015937
51    22.126279    1    0.537197    0.018315
52    22.663476    0    0.302525    0.009763
53    22.966001    1    0.179015    0.00586
54    23.145016    2    2.090523    0.060759
55    25.235539    3    1.531957    0.054119
56    26.767496    4    1.190268    0.041746
57    27.957764    5    0.35037    0.011301
58    28.308134    6    0.539015    0.016224
59    28.847149    5    0.397474    0.012361
60    29.244623    6    0.383017    0.011041
61    29.62764    7    0.911541    0.026816
62    30.539181    6    0.375855    0.011932
63    30.915036    5    0.413721    0.011531
64    31.328757    4    0.245345    0.006617
65    31.574102    3    0.208055    0.00597
66    31.782157    4    1.170565    0.033611
67    32.952722    5    0.9232    0.024781
68    33.875922    4    0.457814    0.011407
69    34.333736    5    0.633057    0.016042
70    34.966793    6    0.497756    0.011886
71    35.464549    5    0.501782    0.012247
72    35.966331    4    0.194102    0.004495
73    36.160433    3    0.393743    0.009418
74    36.554176    4    0.65487    0.016212
75    37.209046    5    0.390806    0.009014
76    37.599852    6    0.344852    0.007627
77    37.944704    5    0.663913    0.015004
78    38.608617    4    0.379316    0.008119
79    38.987933    3    0.169114    0.003729
80    39.157047    2    0.350891    0.008079
81    39.507938    1    0.315119    0.007331
82    39.823057    0    0.365585    0.00721
83    40.188642    1    0.174346    0.003702
84    40.362988    0    0.21667    0.004199
85    40.579658    1    0.3062    0.006397
86    40.885858    0    0.196133    0.003741
87    41.081991    1    0.305524    0.006263
88    41.387515    0    0.32505    0.006091
89    41.712565    1    0.257752    0.005179
90    41.970317    2    1.976184    0.034936
91    43.946501    3    0.467181    0.009748
92    44.413682    2    0.218804    0.004474
93    44.632486    1    0.303566    0.006197
94    44.936052    0    0.189152    0.003134
95    45.125204    1    0.292525    0.005472
96    45.417729    0    0.525738    0.008538
97    45.943467    1    0.33713    0.006162
98    46.280597    0    0.323749    0.005137
99    46.604346    1    0.251502    0.004513
100    46.855848    0    0.370699    0.005776
101    47.226547    1    0.432275    0.007597
102    47.658822    2    1.435264    0.021415
103    49.094086    3    0.719812    0.013276
104    49.813898    2    0.479295    0.008745
105    50.293193    1    0.475839    0.008494
106    50.769032    2    2.375992    0.032217
107    53.145024    1    0.313316    0.005289
108    53.45834    0    0.229273    0.002947
109    53.687613    1    0.180535    0.002846
110    53.868148    2    2.054137    0.025284
111    55.922285    3    0.506984    0.008101
112    56.429269    4    0.846724    0.013582
113    57.275993    3    0.426396    0.00668
114    57.702389    4    0.38473    0.006
115    58.087119    5    0.555797    0.008511
116    58.642916    4    0.1764    0.002652
117    58.819316    3    0.320013    0.004815
118    59.139329    2    0.231337    0.003514
119    59.370666    1    0.498032    0.007477
120    59.868698    0    0.236457    0.002696
121    60.105155    1    0.394941    0.005628
122    60.500096    0    0.224707    0.002533
123    60.724803    1    0.433687    0.006078
124    61.15849    0    0.198964    0.002219
125    61.357454    1    0.473431    0.00652
126    61.830885    0    0.363751    0.004004
127    62.194636    1    0.380961    0.00515
128    62.575597    2    2.25419    0.023731
129    64.829787    1    0.314101    0.004338
130    65.143888    0    0.260253    0.002628
131    65.404141    1    0.454264    0.005847
132    65.858405    0    0.438197    0.004363
133    66.296602    1    0.281251    0.00356
134    66.577853    0    0.158191    0.001558
135    66.736044    1    0.370575    0.004637
136    67.106619    0    0.432061    0.004207
137    67.53868    1    0.348068    0.004287
138    67.886748    2    0.852642    0.008127
139    68.73939    1    0.453903    0.00591
140    69.193293    0    0.217252    0.002033
141    69.410545    1    0.379366    0.004541
142    69.789911    0    0.459134    0.004244
143    70.249045    1    0.373425    0.0044
144    70.62247    0    0.351265    0.003202
145    70.973735    1    0.363284    0.004219
146    71.337019    0    0.529543    0.004756
147    71.866562    1    0.194613    0.002229
148    72.061175    0    0.448733    0.003971
149    72.509908    1    0.476176    0.005379
150    72.986084    0    0.318046    0.002777
151    73.30413    1    0.249501    0.002781
152    73.553631    0    0.231127    0.002
153    73.784758    1    0.325796    0.003594
154    74.110554    0    0.305226    0.002617
155    74.41578    1    0.425897    0.004637
156    74.841677    0    0.157883    0.001342
157    74.99956    1    0.174598    0.001883
158    75.174158    0    0.352631    0.002974
159    75.526789    1    0.520067    0.005537
160    76.046856    0    0.462913    0.003852
161    76.509769    1    0.309715    0.003247
162    76.819484    0    0.336525    0.002767
163    77.156009    1    0.589621    0.006088
164    77.74563    2    1.007481    0.008114
165    78.753111    1    0.379988    0.004359
166    79.133099    2    2.294582    0.017695
167    81.427681    1    0.230134    0.002554
168    81.657815    0    0.343092    0.002558
169    82.000907    1    0.19055    0.001871
170    82.191457    0    0.31674    0.002341
171    82.508197    1    0.364824    0.003549
172    82.873021    0    0.39042    0.002856
173    83.263441    1    0.53882    0.005166
174    83.802261    0    0.417368    0.003017
175    84.219629    1    0.373892    0.003533
176    84.593521    0    0.204817    0.001467
177    84.798338    1    0.422526    0.003948
178    85.220864    0    0.178037    0.001268
179    85.398901    1    0.37692    0.003483
180    85.775821    0    0.281897    0.001993
181    86.057718    1    0.323045    0.002955
