i	N	T		Max_v_i_differ	Max_tau_i_differ	r_arr		v_i_n		tau_i
0	17066.0	[12458.34224]	0.4483		0.52647			[0.94566]	0.9989		1.24051
1	16583.0	[11957.64814]	0.45283		0.53886			[0.94566]	0.9253		1.07867
2	17502.0	[12733.47787]	0.44668		0.52803			[0.94566]	0.98046		1.17004
3	17028.0	[12424.64879]	0.44741		0.52938			[0.94566]	0.98443		1.18004
4	16742.0	[12101.77063]	0.45295		0.54222			[0.94566]	0.90488		1.01872
5	17380.0	[12564.55294]	0.45097		0.53552			[0.94566]	0.94516		1.10754
6	17414.0	[12756.62673]	0.44267		0.52038			[0.94566]	1.02998		1.25897
7	17675.0	[12793.56539]	0.44684		0.52535			[0.94566]	0.99056		1.19412
8	17494.0	[12647.41395]	0.45057		0.5327			[0.94566]	0.95498		1.13474
9	17412.0	[12761.51271]	0.44224		0.51661			[0.94566]	1.06326		1.34821
10	17534.0	[12776.29594]	0.44475		0.52366			[0.94566]	1.00716		1.22298
