l    time_i    C(l)    Tau_i     Delta_n
1    0.0    1    0.259754    1
2    0.259754    0    0.210471    1
3    0.470225    1    0.475181    0.224971
4    0.945406    0    0.506184    0.271078
5    1.45159    1    0.392095    0.104995
6    1.843685    0    0.343926    0.096104
7    2.187611    1    0.454947    0.083466
8    2.642558    0    0.457146    0.08829
9    3.099704    1    0.283849    0.041076
10    3.383553    0    0.227467    0.034737
11    3.61102    1    0.499504    0.05873
12    4.110524    0    0.309982    0.040352
13    4.420506    1    0.311511    0.030606
14    4.732017    0    0.280125    0.031616
15    5.012142    1    0.298664    0.026203
16    5.310806    0    0.289972    0.029008
17    5.600778    1    0.180917    0.014668
18    5.781695    2    0.874115    0.071698
19    6.65581    1    0.192988    0.028178
20    6.848798    0    0.179519    0.012492
21    7.028317    1    0.255573    0.019329
22    7.28389    0    0.336192    0.021836
23    7.620082    1    0.227751    0.016026
24    7.847833    2    1.727465    0.088108
25    9.575298    3    0.558151    0.05397
26    10.133449    2    0.489909    0.046116
27    10.623358    1    0.375778    0.031749
28    10.999136    0    0.39223    0.016456
29    11.391366    1    0.2522    0.014739
30    11.643566    0    0.250009    0.009945
31    11.893575    1    0.297456    0.016415
32    12.191031    2    1.401269    0.0491
33    13.5923    1    0.480089    0.031288
34    14.072389    0    0.490167    0.015036
35    14.562556    1    0.234969    0.011311
36    14.797525    0    0.277767    0.00812
37    15.075292    1    0.18966    0.008778
38    15.264952    0    0.20763    0.0059
39    15.472582    1    0.523789    0.02298
40    15.996371    0    0.394987    0.010899
41    16.391358    1    0.543098    0.022018
42    16.934456    0    0.40651    0.010766
43    17.340966    1    0.236191    0.009035
44    17.577157    0    0.498736    0.01258
45    18.075893    1    0.438023    0.015914
46    18.513916    0    0.206412    0.005034
47    18.720328    1    0.254248    0.00885
48    18.974576    0    0.370021    0.008777
49    19.344597    1    0.448802    0.014928
50    19.793399    0    0.420996    0.009633
51    20.214395    1    0.314881    0.009983
52    20.529276    0    0.245721    0.005456
53    20.774997    1    0.31572    0.009657
54    21.090717    0    0.222396    0.004841
55    21.313113    1    0.379831    0.011192
56    21.692944    2    1.54895    0.03123
57    23.241894    3    0.488822    0.019174
58    23.730716    2    0.27782    0.011332
59    24.008536    3    0.430831    0.01609
60    24.439367    2    0.274857    0.010772
61    24.714224    1    0.15247    0.005505
62    24.866694    0    0.222231    0.004199
63    25.088925    1    0.175529    0.004713
64    25.264454    2    0.730436    0.013308
65    25.99489    1    0.307397    0.010482
66    26.302287    0    0.26593    0.00467
67    26.568217    1    0.204754    0.005275
68    26.772971    0    0.223327    0.003855
69    26.996298    1    0.385533    0.009673
70    27.381831    0    0.203743    0.00347
71    27.585574    1    0.540886    0.013072
72    28.12646    0    0.264349    0.004437
73    28.390809    1    0.545286    0.012621
74    28.936095    0    0.223562    0.003696
75    29.159657    1    0.2562    0.005746
76    29.415857    0    0.258723    0.004211
77    29.67458    1    0.509787    0.011097
78    30.184367    0    0.321667    0.00514
79    30.506034    1    0.273567    0.005774
80    30.779601    0    0.394241    0.006159
81    31.173842    1    0.319531    0.006579
82    31.493373    0    0.536172    0.008137
83    32.029545    1    0.475448    0.009476
84    32.504993    0    0.322586    0.004772
85    32.827579    1    0.439373    0.008478
86    33.266952    0    0.414629    0.006004
87    33.681581    1    0.296159    0.00556
88    33.97774    0    0.451983    0.006382
89    34.429723    1    0.350797    0.006427
90    34.78052    0    0.242042    0.003352
91    35.022562    1    0.194025    0.003489
92    35.216587    2    1.207621    0.016065
93    36.424208    1    0.195224    0.004894
94    36.619432    0    0.307384    0.003924
95    36.926816    1    0.342752    0.00595
96    37.269568    0    0.165925    0.002093
97    37.435493    1    0.353588    0.006013
98    37.789081    0    0.3096    0.003861
