i	N	T		Max_v_i_differ	Max_tau_i_differ	r_arr		v_i_n		tau_i
0	17776.0	[8121.96564]	0.37642		0.43185			[2.17049]	1.89959		2.20931
1	18271.0	[8474.15774]	0.35912		0.4116			[2.17049]	2.12402		2.4703
2	18212.0	[8418.68487]	0.36499		0.41629			[2.17049]	2.09914		2.45367
3	18351.0	[8537.7496]	0.35867		0.41029			[2.17049]	2.18013		2.53129
4	17708.0	[8144.10357]	0.36939		0.42921			[2.17049]	1.95463		2.24526
5	17604.0	[8123.44668]	0.37005		0.4258			[2.17049]	2.01932		2.34741
6	18252.0	[8397.98749]	0.36523		0.41966			[2.17049]	2.02973		2.34756
7	17932.0	[8230.84528]	0.37455		0.42928			[2.17049]	1.92554		2.25132
8	18300.0	[8547.52379]	0.35306		0.40183			[2.17049]	2.28638		2.67223
9	18197.0	[8426.81428]	0.35702		0.40999			[2.17049]	2.14662		2.49062
10	18320.0	[8498.78644]	0.35643		0.40643			[2.17049]	2.21541		2.57971
