l    time_i    C(l)    Tau_i     Delta_n
1    0.0    1    0.432869    1
2    0.432869    2    1.030414    1
3    1.463283    3    0.273152    0.110772
4    1.736435    2    0.331545    0.160323
5    2.06798    3    0.828146    0.188325
6    2.896126    4    0.572249    0.146102
7    3.468375    3    0.202177    0.055081
8    3.670552    2    0.452384    0.082707
9    4.122936    1    0.250697    0.035991
10    4.373633    0    0.157778    0.026615
11    4.531411    1    0.482046    0.09615
12    5.013457    0    0.271895    0.039251
13    5.285352    1    0.309802    0.05032
14    5.595154    0    0.201856    0.025734
15    5.79701    1    0.458375    0.063267
16    6.255385    0    0.450678    0.049349
17    6.706063    1    0.308105    0.035737
18    7.014168    0    0.319156    0.030413
19    7.333324    1    0.173355    0.018186
20    7.506679    2    1.689506    0.124203
21    9.196185    1    0.449938    0.037592
22    9.646123    0    0.198178    0.01153
23    9.844301    1    0.28663    0.023316
24    10.130931    0    0.15692    0.008749
25    10.287851    1    0.484949    0.036185
26    10.7728    0    0.283293    0.014976
27    11.056093    1    0.208915    0.014346
28    11.265008    0    0.251275    0.012601
29    11.516283    1    0.514908    0.032719
30    12.031191    0    0.224671    0.010696
31    12.255862    1    0.252794    0.014888
32    12.508656    2    0.64612    0.028558
33    13.154776    3    0.311715    0.019215
34    13.466491    2    0.185451    0.012216
35    13.651942    1    0.287507    0.016779
36    13.939449    2    0.49915    0.019984
37    14.438599    1    0.355677    0.019323
38    14.794276    0    0.43736    0.016329
39    15.231636    1    0.254086    0.012659
40    15.485722    2    1.230011    0.041185
41    16.715733    3    0.364109    0.01725
42    17.079842    2    0.189506    0.009983
43    17.269348    1    0.157683    0.007186
44    17.427031    0    0.282064    0.008572
45    17.709095    1    0.363198    0.01586
46    18.072293    2    1.698178    0.046302
47    19.770471    3    0.660228    0.026249
48    20.430699    4    0.642    0.027885
49    21.072699    3    0.327039    0.015136
50    21.399738    4    0.637499    0.02572
51    22.037237    3    0.307936    0.01345
52    22.345173    2    0.257895    0.009873
53    22.603068    1    0.187792    0.006646
54    22.79086    0    0.46671    0.011237
55    23.25757    1    0.225012    0.007894
56    23.482582    2    0.94532    0.021403
57    24.427902    1    0.255161    0.008408
58    24.683063    0    0.449734    0.009601
