l    time_i    C(l)    Tau_i     Delta_n
1    0.0    0    0.50916    1
2    0.50916    1    0.31159    1
3    0.82075    0    0.44267    0.13302
4    1.26342    1    0.34761    0.16256
5    1.61103    0    0.29053    0.06252
6    1.90156    1    0.6421    0.16493
7    2.54366    2    1.66226    0.20219
8    4.20592    1    0.56383    0.11821
9    4.76975    0    0.68281    0.04896
10    5.45256    1    0.49629    0.06351
11    5.94885    0    0.3834    0.02403
12    6.33225    1    0.40232    0.04278
13    6.73457    2    1.18678    0.06148
14    7.92135    1    0.55942    0.06127
15    8.48077    2    1.19016    0.04823
16    9.67093    1    0.66401    0.05678
17    10.33494    0    0.32239    0.01168
18    10.65733    1    0.44443    0.03177
19    11.10176    2    2.23647    0.06693
20    13.33823    1    0.45714    0.02869
21    13.79537    0    0.55842    0.01379
22    14.35379    1    0.79236    0.04267
23    15.14615    0    0.49882    0.01196
24    15.64497    1    0.3987    0.01939
25    16.04367    2    2.33071    0.04807
26    18.37438    1    0.72364    0.03326
27    19.09802    0    0.3091    0.00568
28    19.40712    1    0.40912    0.01656
29    19.81624    0    0.35643    0.00643
30    20.17267    1    0.47752    0.01826
31    20.65019    2    1.25896    0.0214
32    21.90915    1    0.29602    0.01153
33    22.20517    0    0.54044    0.00854
34    22.74561    1    0.44051    0.01506
35    23.18612    0    0.51627    0.00791
36    23.70239    1    0.63079    0.02027
37    24.33318    0    0.52625    0.00788
38    24.85943    1    0.37929    0.01153
39    25.23872    2    2.00436    0.02751
40    27.24308    1    0.35618    0.01136
41    27.59926    2    2.45895    0.02902
42    30.05821    1    0.52662    0.01515
43    30.58483    2    1.91968    0.01993
44    32.50451    1    0.38186    0.01013
45    32.88637    0    0.58224    0.00566
46    33.46861    1    0.37346    0.009
47    33.84207    0    0.55252    0.00526
48    34.39459    1    0.62173    0.01438
49    35.01632    0    0.66837    0.00626
50    35.68469    1    0.59834    0.01317
51    36.28303    0    0.4349    0.00401
52    36.71793    1    0.37016    0.00787
53    37.08809    0    0.61327    0.00556
54    37.70136    1    0.54817    0.01124
55    38.24953    2    2.32133    0.01977
56    40.57086    3    0.60737    0.01311
57    41.17823    2    0.5652    0.01354
58    41.74343    1    0.56696    0.01175
59    42.31039    0    0.64465    0.00531
60    42.95504    1    0.48896    0.00898
61    43.444    0    0.46407    0.00376
62    43.90807    1    0.50192    0.00894
63    44.40999    0    0.31831    0.00256
64    44.7283    1    0.30675    0.00534
65    45.03505    2    1.98776    0.01526
66    47.02281    1    0.57864    0.01068
67    47.60145    0    0.64897    0.00476
68    48.25042    1    0.36136    0.0059
69    48.61178    0    0.3477    0.00252
70    48.95948    1    0.54893    0.00874
71    49.50841    2    1.09845    0.00778
72    50.60686    1    0.69668    0.01189
73    51.30354    0    0.53557    0.00371
74    51.83911    1    0.35181    0.00532
75    52.19092    0    0.51792    0.00354
76    52.70884    1    0.44035    0.00651
77    53.14919    0    0.69396    0.00467
78    53.84315    1    0.54092    0.00779
79    54.38407    0    0.32901    0.00219
80    54.71308    1    0.37492    0.00528
81    55.088    0    0.78552    0.00514
82    55.87352    1    0.42204    0.0058
83    56.29556    2    0.94341    0.00602
84    57.23897    1    0.34795    0.0053
85    57.58692    2    1.13455    0.00701
86    58.72147    3    0.64057    0.00945
87    59.36204    2    0.68558    0.01131
88    60.04762    1    0.43067    0.00617
89    60.47829    0    0.29887    0.00185
90    60.77716    1    0.34379    0.00442
91    61.12095    0    0.38586    0.00236
92    61.50681    1    0.74859    0.00941
93    62.2554    2    1.57768    0.00943
94    63.83308    1    0.54197    0.00732
95    64.37505    0    0.3244    0.0019
96    64.69945    1    0.32769    0.00394
97    65.02714    0    0.62457    0.00361
98    65.65171    1    0.40331    0.00476
99    66.05502    0    0.34152    0.00195
100    66.39654    1    0.85638    0.00989
101    67.25292    0    0.51964    0.00295
102    67.77256    1    0.44809    0.00505
103    68.22065    0    0.39056    0.0022
104    68.61121    1    0.4417    0.00489
105    69.05291    0    0.45963    0.00256
106    69.51254    1    0.4946    0.00538
107    70.00714    0    0.62128    0.00343
108    70.62842    1    0.35742    0.00382
109    70.98584    0    0.31396    0.00171
110    71.2998    1    0.39315    0.00414
111    71.69295    0    0.63581    0.00344
112    72.32876    1    0.79869    0.00823
113    73.12745    2    1.08898    0.00578
114    74.21643    1    0.43661    0.00515
115    74.65304    2    1.77608    0.00911
116    76.42912    3    1.05345    0.01193
117    77.48257    2    0.50285    0.00635
118    77.98542    3    1.068    0.0117
119    79.05342    2    0.58703    0.00721
120    79.64045    1    0.32143    0.00344
121    79.96188    0    0.28464    0.00146
122    80.24652    1    0.80332    0.00761
123    81.04984    0    0.5028    0.00256
124    81.55264    1    0.46874    0.00436
125    82.02138    0    0.38078    0.00192
126    82.40216    1    0.59192    0.00541
127    82.99408    0    0.68921    0.00344
128    83.68329    1    0.44481    0.00399
129    84.1281    0    0.6038    0.00297
130    84.7319    1    0.81962    0.00721
131    85.55152    0    0.55185    0.00269
132    86.10337    1    0.37199    0.00321
133    86.47536    2    1.18464    0.00568
134    87.66    3    1.23454    0.01201
135    88.89454    2    0.61584    0.0067
136    89.51038    1    0.31033    0.00295
137    89.82071    0    0.33172    0.00158
138    90.15243    1    0.57271    0.00477
139    90.72514    0    0.33703    0.00159
140    91.06217    1    0.36487    0.00299
141    91.42704    0    0.33438    0.00157
142    91.76142    1    0.31473    0.00256
143    92.07615    0    0.58114    0.0027
144    92.65729    1    0.43276    0.00348
145    93.09005    0    0.52959    0.00244
146    93.61964    1    0.34495    0.00273
147    93.96459    0    0.36329    0.00166
148    94.32788    1    0.41772    0.00328
149    94.7456    2    1.47802    0.00663
150    96.22362    1    0.34693    0.0031
151    96.57055    0    0.47204    0.00208
152    97.04259    1    0.38192    0.00293
153    97.42451    0    0.42081    0.00184
154    97.84532    1    0.60994    0.00461
155    98.45526    0    0.48002    0.00208
