start i C()	t_left		t_right 	New i	Total time generation

test #0
1	--	1.563625	1.76967	0	1.56363	1

test #1
1	--	3.105206	1.704075	2	1.70408	1
2	--	1.239905	1.020335	3	2.72441	2
3	--	0.416085	0.744878	2	3.14049	3
2	--	0.532524	0.713038	1	3.67301	4
1	--	1.742328	1.749933	0	5.41534	5

test #11
1	--	2.199655	1.473525	2	1.47352	1
2	--	0.521166	0.849588	1	1.99469	2
1	--	1.297305	1.818769	0	3.29199	3

test #12
1	--	2.367828	2.71368	0	2.36783	1

test #13
1	--	2.237544	1.809113	2	1.80911	1
2	--	1.483545	1.137206	3	2.94632	2
3	--	1.317177	1.256817	4	4.20314	3
4	--	0.740975	0.890239	3	4.94412	4
3	--	1.199071	0.979361	4	5.92348	5
4	--	0.510262	1.045443	3	6.43374	6
3	--	0.869151	0.679528	4	7.11327	7
4	--	0.898049	0.778118	5	7.89139	8
5	--	0.451812	0.876669	4	8.3432	9
4	--	0.409022	0.617596	3	8.75222	10
3	--	1.33085	0.431874	4	9.18409	11
4	--	0.674438	0.500013	5	9.6841	12
5	--	0.360215	0.542777	4	10.04432	13
4	--	0.777654	0.57492	5	10.61924	14
5	--	0.490454	0.513043	4	11.10969	15
4	--	0.953346	0.462739	5	11.57243	16
5	--	0.949644	1.174024	4	12.52207	17
4	--	0.839192	1.054567	3	13.36126	18
3	--	0.953575	1.392948	2	14.31483	19
2	--	1.034419	1.717648	1	15.34925	20
1	--	1.757809	1.831486	0	17.10706	21

test #14
1	--	3.314711	1.967669	2	1.96767	1
2	--	0.527211	1.240014	1	2.49488	2
1	--	2.319432	1.667487	2	4.16237	3
2	--	1.78304	1.393302	3	5.55567	4
3	--	1.339396	0.431853	4	5.98752	5
4	--	0.522912	0.494767	5	6.48229	6
5	--	0.596816	0.336203	6	6.81849	7
6	--	1.133739	0.51008	7	7.32857	8
7	--	0.870233	0.906649	6	8.1988	9
6	--	0.96862	0.47687	7	8.67567	10
7	--	0.527433	0.542979	6	9.2031	11
6	--	0.99616	0.391309	7	9.59441	12
7	--	0.65975	0.653371	8	10.24778	13
8	--	0.788501	1.441269	7	11.03628	14
7	--	0.677594	0.616934	8	11.65321	15
8	--	1.193305	0.916153	9	12.56936	16
9	--	1.83254	1.703192	10	14.27255	17

test #15
1	--	3.258242	1.587075	2	1.58708	1
2	--	0.77928	0.588856	3	2.17594	2
3	--	0.581526	1.410823	2	2.75747	3
2	--	0.794176	1.269073	1	3.55165	4
1	--	1.833079	1.978441	0	5.38473	5

test #16
1	--	1.21232	2.60012	0	1.21232	1

test #17
1	--	1.927619	2.651597	0	1.92762	1

test #18
1	--	1.95773	1.374529	2	1.37453	1
2	--	0.571532	0.741471	1	1.94606	2
1	--	1.542514	1.9989	0	3.48857	3

test #19
1	--	1.375278	1.704387	0	1.37528	1

test #20
1	--	1.360306	1.598086	0	1.36031	1

test #21
1	--	1.62016	1.964903	0	1.62016	1

test #22
1	--	1.951621	1.946064	2	1.94606	1
2	--	0.771151	1.033052	1	2.71721	2
1	--	1.435516	2.620534	0	4.15273	3

test #23
1	--	2.725071	1.227453	2	1.22745	1
2	--	1.342715	1.280071	3	2.50752	2
3	--	1.200747	0.671856	4	3.17938	3
4	--	0.901152	0.684034	5	3.86341	4
5	--	0.950556	0.772489	6	4.6359	5
6	--	0.753647	0.859543	5	5.38955	6
5	--	0.483512	0.381843	6	5.77139	7
6	--	1.058425	0.834714	7	6.6061	8
7	--	0.934771	0.400506	8	7.00661	9
8	--	0.66984	1.642137	7	7.67645	10
7	--	0.445063	0.623917	6	8.12151	11
6	--	0.708937	0.656871	7	8.77838	12
7	--	0.536549	0.7175	6	9.31493	13
6	--	0.722631	0.858422	5	10.03756	14
5	--	0.94678	0.431182	6	10.46874	15
6	--	1.012278	1.123	5	11.48102	16
5	--	0.82558	0.887731	4	12.3066	17
4	--	1.234102	0.381765	5	12.68837	18
5	--	0.42674	0.421974	6	13.11034	19
