i	N	T		Max_v_i_differ	Max_tau_i_differ	r_arr		v_i_n		tau_i
0	16354.0	[6608.58514]	0.45242		0.54841			[8.90255]	8.99343		8.72835
1	16577.0	[6761.70092]	0.44686		0.54273			[8.90255]	8.89148		8.58968
2	16496.0	[6668.79315]	0.45006		0.54389			[8.90255]	8.92042		8.60219
3	16476.0	[6544.67421]	0.46212		0.56554			[8.90255]	9.11233		8.89621
4	16226.0	[6396.43144]	0.4663		0.57039			[8.90255]	9.17869		8.99859
5	16716.0	[6757.35604]	0.45148		0.54539			[8.90255]	8.97791		8.69565
6	17028.0	[6956.26092]	0.44582		0.53885			[8.90255]	8.84582		8.50688
7	16646.0	[6747.21782]	0.44962		0.54396			[8.90255]	8.92833		8.62707
8	16690.0	[6737.73717]	0.45121		0.54477			[8.90255]	8.91183		8.59596
9	16789.0	[6802.73825]	0.44553		0.53222			[8.90255]	8.87281		8.53689
10	16806.0	[6758.87813]	0.45084		0.54376			[8.90255]	8.95977		8.68022
