l    time_i    C(l)    Tau_i     Delta_n
1    0.0    3    0.516246    1
2    0.516246    2    0.468217    1
3    0.984463    3    0.89413    0.475957
4    1.878593    2    0.452759    0.145801
5    2.331352    1    0.701562    0.142601
6    3.032914    0    0.605259    0.166363
7    3.638173    1    0.44247    0.108431
8    4.080643    0    0.383582    0.073179
9    4.464225    1    0.360142    0.067251
10    4.824367    0    0.641252    0.093277
11    5.465619    1    0.815505    0.110769
12    6.281124    0    0.522614    0.056879
13    6.803738    1    0.586159    0.060454
14    7.389897    0    0.514949    0.046167
15    7.904846    1    0.719483    0.060162
16    8.624329    0    0.594113    0.044513
17    9.218442    1    0.646242    0.044733
18    9.864684    0    0.674543    0.042841
19    10.539227    1    0.479417    0.028771
20    11.018644    0    0.524412    0.029201
21    11.543056    1    0.545945    0.029318
22    12.089001    0    0.402658    0.02034
23    12.491659    1    0.532977    0.025867
24    13.024636    0    0.309937    0.014564
25    13.334573    1    0.431438    0.019287
26    13.766011    0    0.289323    0.012849
27    14.055334    1    0.306211    0.012887
28    14.361545    0    0.566116    0.023499
29    14.927661    1    0.515282    0.020255
30    15.442943    0    0.443357    0.017013
31    15.8863    1    0.364775    0.01343
32    16.251075    0    0.29963    0.010893
33    16.550705    1    0.701826    0.024098
34    17.252531    0    0.488744    0.016736
35    17.741275    1    0.785358    0.024595
36    18.526633    0    0.360664    0.011612
37    18.887297    1    0.809605    0.023185
38    19.696902    0    0.420493    0.012815
39    20.117395    1    0.539222    0.01437
40    20.656617    2    1.294099    0.036004
41    21.950716    1    0.437973    0.01814
42    22.388689    0    0.299748    0.007702
43    22.688437    1    0.536684    0.013349
44    23.225121    0    0.283527    0.007057
45    23.508648    1    0.448573    0.010665
46    23.957221    0    0.72007    0.017099
47    24.677291    1    0.589735    0.013346
48    25.267026    2    1.409509    0.030589
49    26.676535    3    0.659398    0.022283
50    27.335933    4    0.748171    0.025743
51    28.084104    5    0.518088    0.017781
52    28.602192    6    0.30264    0.01047
53    28.904832    5    0.766714    0.02584
