l    time_i    C(l)    Tau_i     Delta_n
1    0.0    0    0.528327    1
2    0.528327    1    0.266524    1
3    0.794851    0    0.292421    0.090182
4    1.087272    1    0.239518    0.136272
5    1.32679    2    2.049879    0.231539
6    3.376669    1    0.37135    0.099079
7    3.748019    0    0.163728    0.009798
8    3.911747    1    0.351095    0.071707
9    4.262842    0    0.314924    0.019825
10    4.577766    1    0.334332    0.055319
11    4.912098    0    0.274857    0.016859
12    5.186955    1    0.192502    0.027565
13    5.379457    0    0.339398    0.019365
14    5.718855    1    0.210915    0.026962
15    5.92977    2    0.971398    0.046673
16    6.901168    1    0.175642    0.023484
17    7.07681    0    0.210852    0.008757
18    7.287662    1    0.230554    0.023955
19    7.518216    0    0.345844    0.013878
20    7.86406    1    0.19176    0.018279
21    8.05582    0    0.181736    0.007022
22    8.237556    1    0.5253    0.045267
23    8.762856    0    0.39452    0.01519
24    9.157376    1    0.189566    0.01465
25    9.346942    0    0.280611    0.010225
26    9.627553    1    0.522953    0.0369
27    10.150506    2    2.079063    0.063677
28    12.229569    1    0.360153    0.027327
29    12.589722    0    0.33435    0.008553
30    12.924072    1    0.591607    0.032748
31    13.515679    0    0.250652    0.006404
32    13.766331    1    0.288863    0.014809
33    14.055194    0    0.43143    0.010685
34    14.486624    1    0.374312    0.017998
35    14.860936    0    0.183203    0.004439
36    15.044139    1    0.168555    0.007759
37    15.212694    0    0.47549    0.011129
38    15.688184    1    0.327137    0.014335
39    16.015321    0    0.430748    0.009669
40    16.446069    1    0.431707    0.017793
41    16.877776    0    0.191032    0.004207
42    17.068808    1    0.345707    0.013528
43    17.414515    0    0.16343    0.003571
44    17.577945    1    0.294037    0.011039
45    17.871982    2    0.702231    0.014774
46    18.574213    1    0.375892    0.018867
47    18.950105    0    0.534151    0.010647
48    19.484256    1    0.339146    0.011772
49    19.823402    2    1.668731    0.030156
50    21.492133    1    0.413836    0.017764
51    21.905969    0    0.420294    0.006972
52    22.326263    1    0.50028    0.015618
53    22.826543    0    0.317467    0.005176
54    23.14401    1    0.389012    0.01159
55    23.533022    0    0.234496    0.003774
56    23.767518    1    0.380058    0.010902
