l    time_i    C(l)    Tau_i     Delta_n
1    0.0    5    0.27397    1
2    0.27397    4    0.37155    1
3    0.64552    3    0.19497    0.23197
4    0.84049    4    0.45582    0.35163
5    1.29631    5    0.18572    0.10647
6    1.48203    6    0.32534    0.13488
7    1.80737    7    0.17633    0.07542
8    1.9837    6    0.27494    0.12173
9    2.25864    7    0.39566    0.11934
10    2.6543    8    0.22719    0.07068
11    2.88149    7    0.32993    0.10274
12    3.21142    8    0.20126    0.04975
13    3.41268    9    0.36985    0.08832
14    3.78253    10    0.17973    0.04536
15    3.96226    9    0.11801    0.02892
16    4.08027    10    0.14036    0.03179
17    4.22063    9    0.21313    0.04673
18    4.43376    10    0.10876    0.02222
19    4.54252    9    0.27112    0.05222
20    4.81364    10    0.18153    0.0331
21    4.99517    9    0.10869    0.01873
22    5.10386    10    0.31677    0.05145
23    5.42063    9    0.25767    0.03942
24    5.6783    10    0.14749    0.02118
25    5.82579    9    0.10994    0.01545
26    5.93573    10    0.11925    0.01612
27    6.05498    9    0.15895    0.02102
28    6.21393    8    1.44682    0.15258
29    7.66075    7    0.88132    0.09375
30    8.54207    8    0.23792    0.02487
31    8.77999    9    0.125    0.01151
32    8.90499    10    0.28171    0.02157
33    9.1867    9    0.18983    0.01751
34    9.37653    10    0.13613    0.00985
35    9.51266    9    0.25293    0.02201
36    9.76559    10    0.18268    0.01261
37    9.94827    9    0.18832    0.01544
38    10.13659    10    0.18323    0.01207
39    10.31982    9    0.16671    0.01302
40    10.48653    10    0.29334    0.01832
41    10.77987    9    0.13565    0.01008
42    10.91552    10    0.1947    0.01155
43    11.11022    9    0.14005    0.01002
44    11.25027    10    0.1986    0.01131
45    11.44887    9    0.15409    0.0106
46    11.60296    10    0.2085    0.0114
47    11.81146    9    0.36278    0.02358
48    12.17424    10    0.17655    0.00923
49    12.35079    9    0.15341    0.00946
50    12.5042    8    1.06502    0.05027
51    13.56922    9    0.32727    0.02059
52    13.89649    10    0.16497    0.00703
53    14.06146    9    0.27646    0.01519
54    14.33792    10    0.31993    0.01311
55    14.65785    9    0.10813    0.0057
56    14.76598    10    0.30668    0.01202
57    15.07266    9    0.13846    0.00707
58    15.21112    10    0.27386    0.0103
