l    time_i    C(l)    Tau_i     Delta_n
1    0.0    4    0.537163    1
2    0.537163    5    0.58696    1
3    1.124123    4    0.503    0.161414
4    1.627123    5    0.842161    0.218024
5    2.469284    6    0.691065    0.126555
6    3.160349    7    0.423221    0.1181
7    3.58357    6    0.673402    0.158188
8    4.256972    5    0.702994    0.127643
9    4.959966    6    0.646697    0.075085
10    5.606663    5    0.667448    0.085012
11    6.274111    6    0.545775    0.049696
12    6.819886    7    0.680414    0.066859
13    7.5003    8    0.43833    0.050258
14    7.93863    7    1.41902    0.151643
15    9.35765    6    1.145987    0.096141
16    10.503637    5    0.739647    0.05029
17    11.243284    4    0.410093    0.02604
18    11.653377    5    0.699068    0.049653
19    12.352445    6    0.926148    0.050924
20    13.278593    7    0.44761    0.024717
21    13.726203    6    0.956392    0.054424
22    14.682595    7    0.658385    0.032214
23    15.34098    8    0.899223    0.04377
24    16.240203    9    0.470114    0.025675
25    16.710317    10    0.886095    0.050357
26    17.596412    9    0.570966    0.031428
27    18.167378    8    3.024593    0.135762
28    21.191971    9    0.495773    0.020822
29    21.687744    10    0.843228    0.030677
30    22.530972    9    0.781619    0.032679
31    23.312591    8    1.149024    0.037393
32    24.461615    7    0.683417    0.024529
33    25.145032    6    1.140327    0.036286
34    26.285359    5    0.574399    0.017871
35    26.859758    4    0.359996    0.011128
36    27.219754    3    0.550835    0.018285
37    27.770589    2    0.376656    0.013382
38    28.147245    1    0.40983    0.014351
39    28.557075    0    0.427999    0.014766
40    28.985074    1    0.463908    0.015753
41    29.448982    0    0.655148    0.021446
42    30.10413    1    0.347239    0.011227
43    30.451369    0    0.506579    0.015781
44    30.957948    1    0.571357    0.017646
45    31.529305    0    0.461665    0.013703
46    31.99097    1    0.441956    0.013038
47    32.432926    0    0.414932    0.011833
48    32.847858    1    0.558063    0.015777
49    33.405921    2    3.471643    0.087189
50    36.877564    3    1.517167    0.039076
51    38.394731    2    0.576695    0.014653
52    38.971426    1    0.490198    0.011808
53    39.461624    0    0.294215    0.006287
54    39.755839    1    0.655378    0.015246
55    40.411217    0    0.29293    0.006087
56    40.704147    1    0.659413    0.014752
57    41.36356    0    0.526499    0.010586
58    41.890059    1    0.389961    0.00841
59    42.28002    0    0.599239    0.011644
60    42.879259    1    0.809423    0.016761
61    43.688682    0    0.638451    0.011881
62    44.327133    1    0.752593    0.014851
63    45.079726    2    1.583939    0.027702
64    46.663665    1    0.692708    0.01387
65    47.356373    0    0.686494    0.01131
66    48.042867    1    0.351764    0.006413
67    48.394631    0    0.506011    0.008089
68    48.900642    1    0.497658    0.008838
69    49.3983    0    0.378473    0.0059
70    49.776773    1    0.552235    0.00954
71    50.329008    0    0.465036    0.007074
72    50.794044    1    0.330217    0.005563
73    51.124261    2    3.45287    0.048528
74    54.577131    3    1.14642    0.019401
75    55.723551    2    0.610155    0.010645
76    56.333706    3    0.857853    0.013866
77    57.191559    2    0.577036    0.009716
78    57.768595    1    0.434401    0.006802
79    58.202996    0    0.652994    0.008167
80    58.85599    1    0.459802    0.006779
81    59.315792    0    0.599115    0.007299
82    59.914907    1    0.486973    0.007008
83    60.40188    0    0.533208    0.006343
84    60.935088    1    0.595953    0.008362
85    61.531041    0    0.554792    0.006445
86    62.085833    1    0.428568    0.00587
87    62.514401    0    0.486193    0.005532
88    63.000594    1    0.384984    0.005172
89    63.385578    2    2.244281    0.024383
90    65.629859    3    1.269877    0.017377
91    66.899736    4    1.040396    0.014824
92    67.940132    5    0.842597    0.011767
93    68.782729    6    0.47961    0.00646
94    69.262339    5    0.468722    0.006246
95    69.731061    6    0.479017    0.006323
96    70.210078    7    0.723403    0.009419
97    70.933481    6    0.428387    0.005558
98    71.361868    5    0.398316    0.005077
99    71.760184    6    0.532036    0.006787
100    72.29222    7    0.593716    0.007415
101    72.885936    6    1.056278    0.013172
102    73.942214    5    0.810162    0.009801
103    74.752376    4    0.5914    0.007207
104    75.343776    3    0.312245    0.003934
105    75.656021    4    1.391216    0.017297
106    77.047237    3    0.426113    0.005226
107    77.47335    2    0.537907    0.006488
108    78.011257    3    1.081413    0.012478
109    79.09267    2    0.548677    0.006444
110    79.641347    1    0.484396    0.005446
111    80.125743    0    0.628117    0.005795
112    80.75386    1    0.754783    0.008143
113    81.508643    2    1.601067    0.014286
114    83.10971    1    0.292375    0.003152
115    83.402085    0    0.691294    0.005986
116    84.093379    1    0.636388    0.006573
117    84.729767    0    0.778395    0.006594
118    85.508162    1    0.721382    0.007277
119    86.229544    0    0.75795    0.006275
120    86.987494    1    0.698761    0.006884
121    87.686255    0    0.516488    0.004193
122    88.202743    1    0.718413    0.00693
123    88.921156    0    0.356011    0.002848
124    89.277167    1    0.817865    0.007728
125    90.095032    0    0.453815    0.003579
126    90.548847    1    0.360308    0.003347
127    90.909155    2    3.264024    0.024665
128    94.173179    3    1.838263    0.017382
129    96.011442    2    0.49196    0.004798
130    96.503402    1    0.404671    0.003721
131    96.908073    0    0.664566    0.00474
132    97.572639    1    0.475294    0.00413
133    98.047933    0    0.40875    0.002875
134    98.456683    1    0.56217    0.004817
135    99.018853    0    0.352857    0.002455
136    99.37171    1    0.518502    0.004382
137    99.890212    0    0.617808    0.004245
138    100.50802    1    0.572973    0.004766
139    101.080993    0    0.595225    0.004029
140    101.676218    1    0.722984    0.00591
141    102.399202    0    0.717474    0.004776
142    103.116676    1    0.804051    0.006439
143    103.920727    2    2.521612    0.016204
144    106.442339    1    0.370866    0.003116
145    106.813205    0    0.393639    0.002456
146    107.206844    1    0.697817    0.005375
147    107.904661    0    0.339952    0.0021
148    108.244613    1    0.441551    0.003357
149    108.686164    0    0.406512    0.002489
150    109.092676    1    0.305424    0.0023
151    109.3981    0    0.721525    0.004366
152    110.119625    1    0.628452    0.004667
153    110.748077    0    0.519677    0.003101
154    111.267754    1    0.61156    0.004476
155    111.879314    0    0.71528    0.00421
156    112.594594    1    0.456284    0.003291
157    113.050878    2    1.440529    0.008302
158    114.491407    1    0.594207    0.004654
159    115.085614    2    2.095436    0.011683
160    117.18105    1    0.405663    0.0031
161    117.586713    0    0.602249    0.003276
162    118.188962    1    0.822062    0.005666
163    119.011024    2    1.996135    0.010592
164    121.007159    3    1.357459    0.009967
165    122.364618    2    0.72387    0.005586
166    123.088488    3    1.091089    0.007812
167    124.179577    4    0.717256    0.005425
168    124.896833    3    0.462524    0.003564
169    125.359357    2    0.498817    0.003724
170    125.858174    1    0.37323    0.00261
171    126.231404    0    0.645824    0.003292
172    126.877228    1    0.662033    0.004288
173    127.539261    2    1.775444    0.008861
174    129.314705    3    0.801583    0.00544
175    130.116288    4    0.919888    0.006584
176    131.036176    5    0.97092    0.00709
177    132.007096    6    0.479353    0.003434
