l    time_i    C(l)    Tau_i     Delta_n
1    0.0    9    0.440787    1
2    0.440787    8    1.5805    1
3    2.021287    7    1.07608    0.347418
4    3.097367    8    0.405962    0.115879
5    3.503329    7    0.39054    0.06949
6    3.893869    8    0.259203    0.055905
7    4.153072    9    0.355249    0.050972
8    4.508321    10    0.417223    0.05501
9    4.925544    9    0.259577    0.045582
10    5.185121    10    0.282909    0.031805
11    5.46803    9    0.449889    0.066285
12    5.917919    8    0.61299    0.057689
13    6.530909    7    0.790679    0.077867
14    7.321588    6    0.325812    0.038734
15    7.6474    7    0.428776    0.053091
16    8.076176    6    0.604201    0.061064
17    8.680377    7    0.246364    0.026235
18    8.926741    8    0.479775    0.04189
19    9.406516    9    0.31888    0.023682
20    9.725396    8    1.064915    0.069327
21    10.790311    7    0.63144    0.040265
22    11.421751    8    0.224145    0.01575
23    11.645896    7    0.663267    0.037399
24    12.309163    8    0.503518    0.031959
25    12.812681    9    0.252926    0.012973
26    13.065607    10    0.472398    0.024322
27    13.538005    9    0.287089    0.019001
28    13.825094    10    0.435104    0.020733
29    14.260198    9    0.439707    0.026897
30    14.699905    10    0.220595    0.009891
31    14.9205    9    0.259178    0.014926
32    15.179678    10    0.258053    0.011114
33    15.437731    9    0.52795    0.028492
34    15.965681    10    0.422098    0.017134
35    16.387779    9    0.35928    0.017966
36    16.747059    10    0.488814    0.018595
37    17.235873    9    0.460389    0.021452
38    17.696262    10    0.475358    0.016912
39    18.17162    9    0.267696    0.011734
40    18.439316    8    0.669589    0.02225
41    19.108905    9    0.202678    0.008035
42    19.311583    10    0.19914    0.006295
43    19.510723    9    0.20864    0.008546
44    19.719363    10    0.521531    0.015836
45    20.240894    9    0.43224    0.016817
46    20.673134    10    0.269512    0.007814
47    20.942646    9    0.477182    0.017605
48    21.419828    10    0.218306    0.006137
49    21.638134    9    0.322066    0.011366
50    21.9602    10    0.353842    0.009641
51    22.314042    9    0.213634    0.007277
52    22.527676    10    0.295166    0.007787
53    22.822842    9    0.203234    0.006736
54    23.026076    8    1.707897    0.041287
55    24.733973    9    0.434442    0.013994
56    25.168415    10    0.179    0.003985
57    25.347415    9    0.25932    0.007886
58    25.606735    10    0.176067    0.003856
59    25.782802    9    0.191288    0.005689
60    25.97409    10    0.268325    0.005768
61    26.242415    9    0.419897    0.012113
62    26.662312    10    0.328866    0.006888
63    26.991178    9    0.481063    0.013308
64    27.472241    10    0.322303    0.006565
65    27.794544    9    0.284592    0.007597
66    28.079136    10    0.387295    0.007674
67    28.466431    9    0.167059    0.004349
68    28.63349    10    0.214159    0.00415
69    28.847649    9    0.409735    0.010406
70    29.257384    10    0.284139    0.005397
71    29.541523    9    0.223523    0.005521
72    29.765046    10    0.302934    0.005632
73    30.06798    9    0.36942    0.00889
74    30.4374    8    0.768547    0.013762
75    31.205947    9    0.302919    0.008038
76    31.508866    10    0.255338    0.004416
77    31.764204    9    0.385398    0.008812
78    32.149602    10    0.360934    0.006111
79    32.510536    9    0.417992    0.009258
80    32.928528    8    1.445717    0.023137
81    34.374245    7    0.620744    0.014942
82    34.994989    8    0.315558    0.008221
83    35.310547    9    0.30183    0.007026
84    35.612377    10    0.307961    0.004659
85    35.920338    9    0.1954    0.004022
86    36.115738    10    0.376267    0.005581
87    36.492005    9    0.259335    0.005236
88    36.75134    8    1.560195    0.021948
89    38.311535    7    0.412284    0.008885
90    38.723819    8    0.263559    0.006216
91    38.987378    7    0.565625    0.011824
92    39.553003    8    0.449412    0.010274
93    40.002415    9    0.269938    0.005476
94    40.272353    10    0.332082    0.004421
95    40.604435    9    0.185025    0.003456
96    40.78946    10    0.398645    0.005209
97    41.188105    9    0.494777    0.009029
98    41.682882    10    0.161508    0.002078
99    41.84439    9    0.402027    0.007162
100    42.246417    10    0.332299    0.004221
101    42.578716    9    0.236894    0.004135
102    42.81561    10    0.245141    0.003069
103    43.060751    9    0.446777    0.007647
104    43.507528    10    0.266021    0.003287
105    43.773549    9    0.264196    0.004431
106    44.037745    10    0.288703    0.003519
107    44.326448    9    0.295689    0.004877
108    44.622137    10    0.260381    0.003133
109    44.882518    9    0.257859    0.004185
110    45.140377    10    0.16185    0.001927
111    45.302227    9    0.560804    0.00892
112    45.863031    10    0.364973    0.004289
113    46.228004    9    0.31029    0.004819
114    46.538294    10    0.368159    0.004253
115    46.906453    9    0.180719    0.002764
116    47.087172    10    0.420931    0.00478
117    47.508103    9    0.180522    0.002725
118    47.688625    8    0.78852    0.008726
119    48.477145    7    0.427014    0.007364
120    48.904159    6    0.516943    0.00964
121    49.421102    5    0.403287    0.007984
122    49.824389    6    0.227285    0.004541
123    50.051674    7    0.225275    0.004384
124    50.276949    8    0.186689    0.003379
125    50.463638    9    0.268483    0.004451
126    50.732121    10    0.489396    0.005242
127    51.221517    9    0.415495    0.005927
128    51.637012    10    0.1801    0.001902
129    51.817112    9    0.35937    0.00504
130    52.176482    10    0.184025    0.001928
131    52.360507    9    0.377703    0.005211
132    52.73821    8    1.801488    0.018158
133    54.539698    9    0.479485    0.007391
134    55.019183    8    1.357205    0.012895
135    56.376388    7    1.030889    0.015166
136    57.407277    8    0.237393    0.003793
137    57.64467    9    0.511934    0.007307
138    58.156604    10    0.214045    0.001971
139    58.370649    9    0.48409    0.006162
140    58.854739    8    0.638246    0.005785
141    59.492985    7    1.138802    0.015528
142    60.631787    8    0.527755    0.00795
143    61.159542    9    0.472779    0.006235
144    61.632321    10    0.371925    0.003297
145    62.004246    9    0.36472    0.004421
146    62.368966    10    0.342207    0.002995
147    62.711173    9    0.174566    0.00209
148    62.885739    10    0.175046    0.001519
149    63.060785    9    0.171631    0.00204
150    63.232416    10    0.365909    0.003147
151    63.598325    9    0.250761    0.002949
152    63.849086    8    0.97375    0.008196
153    64.822836    7    0.917697    0.011393
154    65.740533    8    0.187866    0.00262
155    65.928399    7    0.818733    0.009878
156    66.747132    8    0.221626    0.003037
157    66.968758    9    0.209108    0.002478
158    67.177866    8    0.597727    0.004883
159    67.775593    9    0.293132    0.003425
160    68.068725    10    0.155279    0.001253
161    68.224004    9    0.199037    0.002223
162    68.423041    8    1.344004    0.01061
163    69.767045    9    0.302479    0.003441
164    70.069524    10    0.217401    0.001676
165    70.286925    9    0.204917    0.002234
166    70.491842    10    0.447911    0.00342
167    70.939753    9    0.405643    0.004364
168    71.345396    8    1.168701    0.008719
169    72.514097    9    0.45017    0.00494
170    72.964267    10    0.337998    0.002467
171    73.302265    9    0.167832    0.001757
172    73.470097    10    0.47451    0.003425
173    73.944607    9    0.485225    0.005015
174    74.429832    8    2.055915    0.014337
175    76.485747    9    0.34831    0.00365
176    76.834057    10    0.248822    0.001682
177    77.082879    9    0.254435    0.002541
178    77.337314    10    0.22418    0.001506
179    77.561494    9    0.357085    0.003531
180    77.918579    8    0.719921    0.004777
181    78.6385    9    0.279039    0.00285
182    78.917539    10    0.3741    0.002448
183    79.291639    9    0.27153    0.002631
184    79.563169    10    0.34401    0.00223
185    79.907179    9    0.176111    0.001692
186    80.08329    10    0.423848    0.00272
187    80.507138    9    0.448653    0.004261
188    80.955791    10    0.357055    0.00227
189    81.312846    9    0.380147    0.003562
190    81.692993    10    0.344398    0.00217
191    82.037391    9    0.397878    0.003683
192    82.435269    10    0.267341    0.001671
193    82.70261    9    0.291977    0.002674
194    82.994587    10    0.273298    0.001697
195    83.267885    9    0.20169    0.001832
196    83.469575    10    0.351093    0.002163
197    83.820668    9    0.181371    0.001636
198    84.002039    8    0.658462    0.004008
199    84.660501    7    0.622382    0.005959
200    85.282883    8    0.286088    0.003119
201    85.568971    9    0.34587    0.003265
202    85.914841    10    0.322406    0.001938
203    86.237247    9    0.419676    0.003691
204    86.656923    10    0.305648    0.001824
205    86.962571    9    0.384652    0.003343
206    87.347223    10    0.215657    0.001279
207    87.56288    9    0.394628    0.003395
208    87.957508    10    0.273629    0.001612
209    88.231137    9    0.410099    0.003489
210    88.641236    10    0.186865    0.001096
211    88.828101    9    0.261633    0.002205
212    89.089734    10    0.551385    0.003204
213    89.641119    9    0.494199    0.004114
214    90.135318    10    0.327907    0.001887
215    90.463225    9    0.2247    0.001851
216    90.687925    10    0.538067    0.003065
217    91.225992    9    0.42585    0.00347
218    91.651842    10    0.441325    0.002487
219    92.093167    9    0.448219    0.003606
220    92.541386    10    0.220916    0.001235
221    92.762302    9    0.176554    0.001409
