l    time_i    C(l)    Tau_i     Delta_n
1    0.0    7    0.397052    1
2    0.397052    8    0.459856    1
3    0.856908    9    0.642902    0.230036
4    1.49981    8    0.823286    0.354392
5    2.323096    9    0.651158    0.120925
6    2.974254    10    0.247395    0.055535
7    3.221649    9    0.712723    0.181153
8    3.934372    10    0.23992    0.041835
9    4.174292    9    0.907577    0.148098
10    5.081869    10    0.476721    0.063645
11    5.55859    9    0.388349    0.046267
12    5.946939    10    0.643953    0.068339
13    6.590892    9    0.381729    0.038062
14    6.972621    8    1.894954    0.139182
15    8.867575    7    0.600452    0.051325
16    9.468027    6    0.283036    0.027617
17    9.751063    5    0.446317    0.043768
18    10.19738    6    0.652074    0.060102
19    10.849454    7    0.338549    0.029015
20    11.188003    6    0.58865    0.046665
21    11.776653    7    0.609408    0.045922
22    12.386061    6    0.294041    0.020697
23    12.680102    5    0.622703    0.041662
24    13.302805    6    0.431038    0.029846
25    13.733843    7    0.457358    0.027495
26    14.191201    6    0.68953    0.041029
27    14.880731    5    0.31192    0.017117
28    15.192651    6    0.319782    0.019145
29    15.512433    5    0.648048    0.032898
30    16.160481    4    0.273723    0.01521
31    16.434204    3    0.292105    0.017464
32    16.726309    2    0.425309    0.024797
33    17.151618    1    0.322173    0.018437
34    17.473791    0    0.455491    0.025405
35    17.929282    1    0.195733    0.010799
36    18.125015    0    0.253539    0.013448
37    18.378554    1    0.371218    0.019588
38    18.749772    0    0.349891    0.017627
39    19.099663    1    0.251653    0.012618
40    19.351316    0    0.298554    0.014362
41    19.64987    1    0.325899    0.015635
42    19.975769    0    0.170414    0.007884
43    20.146183    1    0.325601    0.015001
44    20.471784    0    0.156    0.006998
45    20.627784    1    0.498322    0.021907
46    21.126106    2    1.8261    0.073219
47    22.952206    3    0.576904    0.024174
48    23.52911    2    0.187577    0.007766
49    23.716687    1    0.484948    0.019278
50    24.201635    0    0.217241    0.007606
51    24.418876    1    0.399912    0.014814
52    24.818788    0    0.440009    0.014804
53    25.258797    1    0.5218    0.018342
54    25.780597    2    2.079819    0.062585
55    27.860416    1    0.482298    0.016171
56    28.342714    0    0.363346    0.009868
57    28.70606    1    0.409368    0.012645
58    29.115428    2    0.77603    0.020068
59    29.891458    1    0.420311    0.013
60    30.311769    2    0.772074    0.018786
61    31.083843    1    0.433809    0.012752
62    31.517652    0    0.288471    0.006722
63    31.806123    1    0.336227    0.009375
64    32.14235    0    0.455942    0.010311
65    32.598292    1    0.570901    0.015293
66    33.169193    0    0.307381    0.006718
67    33.476574    1    0.377807    0.009757
68    33.854381    0    0.486545    0.010314
69    34.340926    1    0.400403    0.009987
70    34.741329    0    0.220342    0.004543
71    34.961671    1    0.536629    0.012962
72    35.4983    0    0.317041    0.006379
73    35.815341    1    0.464935    0.010839
74    36.280276    0    0.169366    0.003336
75    36.449642    1    0.432168    0.009793
76    36.88181    0    0.454204    0.008734
77    37.336014    1    0.264091    0.005816
78    37.600105    0    0.215691    0.004057
79    37.815796    1    0.549645    0.011795
80    38.365441    0    0.454251    0.008324
81    38.819692    1    0.198596    0.004142
82    39.018288    0    0.42585    0.007606
83    39.444138    1    0.364369    0.007428
84    39.808507    0    0.54455    0.009443
85    40.353057    1    0.360949    0.007153
86    40.714006    0    0.238836    0.004042
87    40.952842    1    0.314337    0.0061
88    41.267179    0    0.19046    0.003176
89    41.457639    1    0.380954    0.007244
90    41.838593    2    1.498796    0.023898
91    43.337389    3    0.78817    0.01674
92    44.125559    4    0.712264    0.015664
93    44.837823    5    0.31232    0.006872
94    45.150143    4    0.3286    0.006957
95    45.478743    3    0.258607    0.005579
96    45.73735    4    0.791788    0.016524
97    46.529138    3    0.270978    0.005683
98    46.800116    4    0.377087    0.007631
99    47.177203    5    0.407146    0.008351
100    47.584349    4    0.271021    0.005425
101    47.85537    3    0.274014    0.00551
102    48.129384    2    0.166382    0.003267
103    48.295766    3    1.126833    0.021144
104    49.422599    4    0.78786    0.014846
105    50.210459    3    0.41262    0.007856
106    50.623079    2    0.454481    0.008291
107    51.07756    1    0.257474    0.00456
108    51.335034    0    0.193326    0.002698
109    51.52836    1    0.186936    0.002993
110    51.715296    0    0.307888    0.004245
111    52.023184    1    0.374903    0.005912
112    52.398087    0    0.310447    0.004212
113    52.708534    1    0.434341    0.006713
114    53.142875    0    0.233529    0.003121
115    53.376404    1    0.561376    0.008488
116    53.93778    0    0.269048    0.00354
117    54.206828    1    0.247229    0.003668
118    54.454057    2    2.277428    0.02854
119    56.731485    3    0.458342    0.007323
120    57.189827    2    0.274781    0.004455
121    57.464608    1    0.338331    0.005308
122    57.802939    0    0.509552    0.006014
123    58.312491    1    0.562479    0.007808
124    58.87497    0    0.407996    0.004717
125    59.282966    1    0.211327    0.00288
126    59.494293    2    1.031771    0.011622
127    60.526064    1    0.454197    0.006748
128    60.980261    0    0.402108    0.004406
129    61.382369    1    0.391033    0.005151
130    61.773402    0    0.300797    0.003248
131    62.074199    1    0.227737    0.002959
132    62.301936    0    0.282554    0.003017
133    62.58449    1    0.283629    0.003643
134    62.868119    2    1.250791    0.013006
135    64.11891    3    0.716436    0.009991
136    64.835346    4    0.484381    0.006938
137    65.319727    3    0.289626    0.004264
138    65.609353    4    0.420711    0.005918
139    66.030064    3    0.210537    0.003057
140    66.240601    2    0.200099    0.00278
141    66.4407    1    0.170824    0.0023
142    66.611524    0    0.392093    0.003901
143    67.003617    1    0.363047    0.004398
144    67.366664    0    0.280178    0.002752
145    67.646842    1    0.392427    0.004685
146    68.039269    0    0.249    0.00242
147    68.288269    1    0.275301    0.003246
148    68.56357    0    0.262235    0.002526
149    68.825805    1    0.390279    0.004544
150    69.216084    0    0.460546    0.004376
151    69.67663    1    0.313634    0.003597
152    69.990264    0    0.364389    0.003415
153    70.354653    1    0.396721    0.004486
154    70.751374    0    0.27025    0.002503
155    71.021624    1    0.302096    0.003373
156    71.32372    0    0.164551    0.001512
157    71.488271    1    0.228686    0.00253
158    71.716957    0    0.506833    0.004606
159    72.22379    1    0.293329    0.003206
160    72.517119    0    0.33887    0.003037
161    72.855989    1    0.344584    0.00372
162    73.200573    0    0.232056    0.00206
163    73.432629    1    0.447677    0.004769
164    73.880306    0    0.215762    0.001898
165    74.096068    1    0.366097    0.00385
166    74.462165    0    0.498801    0.004336
167    74.960966    1    0.207854    0.002159
168    75.16882    0    0.198275    0.001705
169    75.367095    1    0.497109    0.005105
170    75.864204    0    0.387469    0.003298
171    76.251673    1    0.285892    0.002895
172    76.537565    2    1.63    0.013489
173    78.167565    1    0.190074    0.002208
174    78.357639    0    0.266304    0.002149
175    78.623943    1    0.247668    0.002444
176    78.871611    0    0.347385    0.002777
177    79.218996    1    0.384346    0.00375
178    79.603342    0    0.177188    0.001404
179    79.78053    1    0.169543    0.00164
180    79.950073    0    0.408795    0.003213
181    80.358868    1    0.320257    0.003068
182    80.679125    0    0.210318    0.001638
183    80.889443    1    0.37137    0.003522
184    81.260813    0    0.39904    0.003078
185    81.659853    1    0.39806    0.003727
186    82.057913    0    0.359301    0.002741
187    82.417214    1    0.384299    0.003553
188    82.801513    2    1.85935    0.013787
189    84.660863    1    0.198585    0.00214
190    84.859448    0    0.16305    0.001179
191    85.022498    1    0.325299    0.002927
192    85.347797    0    0.398903    0.002862
193    85.7467    1    0.449798    0.003999
194    86.196498    0    0.317173    0.002252
195    86.513671    1    0.284649    0.002502
196    86.79832    2    0.738821    0.005176
197    87.537141    3    1.300341    0.013396
198    88.837482    4    0.67765    0.00712
199    89.515132    3    0.243796    0.002633
200    89.758928    2    0.331099    0.003431
201    90.090027    1    0.285359    0.002851
202    90.375386    0    0.386059    0.002639
203    90.761445    1    0.175816    0.00149
204    90.937261    0    0.353496    0.002395
205    91.290757    1    0.373381    0.003139
206    91.664138    2    1.923862    0.012698
207    93.588    1    0.483666    0.004647
208    94.071666    0    0.227156    0.001462
209    94.298822    1    0.297561    0.002434
210    94.596383    0    0.455355    0.002907
211    95.051738    1    0.512323    0.004141
212    95.564061    0    0.460522    0.002907
213    96.024583    1    0.386464    0.003084
214    96.411047    2    1.357011    0.008394
215    97.768058    3    0.95533    0.008738
216    98.723388    2    0.385194    0.003639
217    99.108582    3    1.202681    0.010726
218    100.311263    2    0.222094    0.002063
219    100.533357    1    0.249793    0.002191
220    100.78315    0    0.227314    0.001369
221    101.010464    1    0.496275    0.003799
222    101.506739    0    0.547604    0.003268
223    102.054343    1    0.328808    0.002487
224    102.383151    0    0.205925    0.001218
225    102.589076    1    0.314994    0.002365
226    102.90407    0    0.33259    0.001956
227    103.23666    1    0.465605    0.003461
228    103.702265    2    1.155741    0.006688
229    104.858006    1    0.332178    0.0028
230    105.190184    0    0.262653    0.001498
231    105.452837    1    0.576341    0.004193
232    106.029178    0    0.297637    0.001685
233    106.326815    1    0.258761    0.001863
234    106.585576    0    0.426527    0.002397
235    107.012103    1    0.432591    0.003087
236    107.444694    0    0.330071    0.001839
237    107.774765    1    0.197769    0.0014
238    107.972534    0    0.271628    0.001504
239    108.244162    1    0.25085    0.001765
240    108.495012    0    0.501222    0.002754
241    108.996234    1    0.179137    0.001252
242    109.175371    2    1.729966    0.009309
243    110.905337    3    1.284249    0.010185
244    112.189586    4    0.576248    0.004796
245    112.765834    3    0.440623    0.00379
246    113.206457    4    0.309792    0.002549
247    113.516249    3    0.178773    0.001525
248    113.695022    2    0.52756    0.004302
249    114.222582    3    1.222182    0.009334
250    115.444764    2    0.298726    0.002395
251    115.74349    1    0.188353    0.001417
252    115.931843    0    0.432065    0.002248
253    116.363908    1    0.55283    0.003671
254    116.916738    2    2.106436    0.010707
255    119.023174    3    0.507093    0.00371
256    119.530267    4    0.553813    0.00428
257    120.08408    5    0.741797    0.005956
258    120.825877    4    0.278187    0.002254
259    121.104064    3    0.155341    0.001235
260    121.259405    2    0.432609    0.003286
261    121.692014    3    0.606169    0.004328
262    122.298183    2    0.270867    0.002037
263    122.56905    3    0.713138    0.005028
264    123.282188    2    0.259039    0.001929
265    123.541227    3    0.677922    0.004718
266    124.219149    4    0.409282    0.003016
267    124.628431    3    0.469331    0.003617
268    125.097762    2    0.168328    0.00123
269    125.26609    1    0.260332    0.001786
270    125.526422    0    0.18172    0.000889
271    125.708142    1    0.204216    0.001279
272    125.912358    2    2.153861    0.010344
