l    time_i    C(l)    Tau_i     Delta_n
1    0.0    9    0.38588    1
2    0.38588    8    1.40285    1
3    1.78873    9    0.23897    0.11785
4    2.0277    10    0.49159    0.06013
5    2.51929    9    0.44082    0.12611
6    2.96011    8    1.22725    0.10551
7    4.18736    9    0.42735    0.08732
8    4.61471    10    0.4969    0.03145
9    5.11161    9    0.30708    0.04751
10    5.41869    10    0.4338    0.02462
11    5.85249    9    0.31426    0.04108
12    6.16675    10    0.3497    0.01839
13    6.51645    9    0.2082    0.02408
14    6.72465    10    0.39081    0.01897
15    7.11546    9    0.27572    0.02862
16    7.39118    10    0.26947    0.01237
17    7.66065    9    0.35728    0.03333
18    8.01793    8    2.87342    0.09725
19    10.89135    9    0.47516    0.03924
20    11.36651    10    0.40525    0.01039
21    11.77176    9    0.28228    0.01886
22    12.05404    10    0.30559    0.00762
23    12.35963    9    0.31503    0.01968
24    12.67466    10    0.49226    0.01188
25    13.16692    9    0.38357    0.0221
26    13.55049    8    1.23221    0.02714
27    14.7827    9    0.43223    0.02621
28    15.21493    10    0.20152    0.00416
29    15.41645    9    0.32565    0.0163
30    15.7421    10    0.2509    0.00516
31    15.993    9    0.49722    0.02338
32    16.49022    10    0.31634    0.00647
33    16.80656    9    0.28441    0.01258
34    17.09097    10    0.38061    0.00758
35    17.47158    9    0.29052    0.01226
36    17.7621    10    0.36643    0.0071
37    18.12853    9    0.31957    0.01286
38    18.4481    10    0.3134    0.00594
39    18.7615    9    0.22661    0.00876
40    18.98811    10    0.27068    0.00503
41    19.25879    9    0.22583    0.00845
42    19.48462    10    0.29537    0.00538
43    19.77999    9    0.39043    0.01403
44    20.17042    10    0.322    0.00577
45    20.49242    9    0.2638    0.0091
46    20.75622    10    0.39673    0.00693
47    21.15295    9    0.34023    0.01127
48    21.49318    10    0.32245    0.00551
49    21.81563    9    0.19478    0.00624
50    22.01041    10    0.48573    0.00805
51    22.49614    9    0.49842    0.01529
52    22.99456    8    1.60731    0.02473
53    24.60187    9    0.52538    0.01957
54    25.12725    10    0.32688    0.00472
55    25.45413    9    0.44121    0.01226
56    25.89534    8    2.48414    0.03268
57    28.37948    9    0.25963    0.00839
58    28.63911    10    0.31429    0.00376
59    28.9534    9    0.21819    0.00553
60    29.17159    10    0.33435    0.00394
61    29.50594    9    0.45001    0.01106
62    29.95595    10    0.2628    0.00308
63    30.21875    9    0.21434    0.00512
64    30.43309    10    0.24075    0.00279
65    30.67384    9    0.24136    0.00566
66    30.9152    10    0.41882    0.00478
67    31.33402    9    0.41392    0.00942
68    31.74794    10    0.33716    0.0038
69    32.0851    9    0.34362    0.00759
70    32.42872    10    0.25542    0.00284
71    32.68414    9    0.46815    0.01004
72    33.15229    10    0.3628    0.004
73    33.51509    9    0.43216    0.00896
74    33.94725    10    0.41746    0.00455
75    34.36471    9    0.48276    0.00968
76    34.84747    10    0.26242    0.00282
77    35.10989    9    0.41394    0.00806
78    35.52383    10    0.50271    0.00534
79    36.02654    9    0.30779    0.00583
80    36.33433    10    0.40108    0.00418
81    36.73541    9    0.53497    0.00984
82    37.27038    10    0.2735    0.00282
83    37.54388    9    0.35907    0.00643
84    37.90295    10    0.19114    0.00196
85    38.09409    9    0.30855    0.00541
86    38.40264    10    0.40244    0.00408
87    38.80508    9    0.34305    0.00588
88    39.14813    10    0.33238    0.00332
89    39.48051    9    0.50418    0.00842
90    39.98469    10    0.22892    0.00227
91    40.21361    9    0.26197    0.00429
92    40.47558    10    0.19723    0.00194
93    40.67281    9    0.23669    0.00381
94    40.9095    10    0.48767    0.00474
95    41.39717    9    0.25184    0.00398
96    41.64901    8    2.3275    0.02124
97    43.97651    9    0.46565    0.00991
98    44.44216    8    1.29434    0.01094
99    45.7365    7    1.50748    0.02994
100    47.24398    6    1.13332    0.02343
101    48.3773    7    0.32284    0.00663
102    48.70014    8    0.2934    0.00585
103    48.99354    9    0.20649    0.00382
104    49.20003    10    0.48224    0.00407
105    49.68227    9    0.41355    0.00587
106    50.09582    10    0.31649    0.00264
107    50.41231    9    0.37311    0.0052
108    50.78542    8    1.99466    0.01595
109    52.78008    9    0.26108    0.00449
110    53.04116    8    1.41666    0.01064
111    54.45782    9    0.43956    0.0073
112    54.89738    10    0.43176    0.00315
113    55.32914    9    0.25579    0.00334
114    55.58493    10    0.3725    0.00268
115    55.95743    9    0.33764    0.00435
116    56.29507    10    0.46811    0.00333
117    56.76318    9    0.33615    0.00426
118    57.09933    10    0.28117    0.00198
119    57.3805    9    0.34766    0.00433
120    57.72816    10    0.31308    0.00218
121    58.04124    9    0.24504    0.00301
122    58.28628    10    0.33404    0.00231
123    58.62032    9    0.49052    0.00593
124    59.11084    10    0.27454    0.00189
125    59.38538    9    0.32986    0.00393
126    59.71524    10    0.41562    0.00283
127    60.13086    9    0.31424    0.00368
128    60.4451    10    0.42754    0.00288
129    60.87264    9    0.28682    0.00331
130    61.15946    8    2.654    0.01705
131    63.81346    7    0.95203    0.01349
132    64.76549    8    0.25436    0.00382
133    65.01985    9    0.44899    0.0062
134    65.46884    10    0.29737    0.00185
135    65.76621    9    0.22474    0.00247
136    65.99095    10    0.33932    0.00209
137    66.33027    9    0.39998    0.00434
138    66.73025    10    0.29111    0.00178
139    67.02136    9    0.48942    0.00523
140    67.51078    10    0.33589    0.00204
141    67.84667    9    0.3682    0.00387
142    68.21487    10    0.52146    0.00314
143    68.73633    9    0.30662    0.00318
144    69.04295    10    0.48266    0.00287
145    69.52561    9    0.38803    0.00397
146    69.91364    10    0.49804    0.00292
147    70.41168    9    0.29275    0.00294
148    70.70443    10    0.49537    0.00287
149    71.1998    9    0.31391    0.00312
150    71.51371    10    0.21318    0.00122
151    71.72689    9    0.30303    0.00298
152    72.02992    10    0.47301    0.0027
153    72.50293    9    0.4722    0.00458
154    72.97513    10    0.36891    0.00208
155    73.34404    9    0.19727    0.00189
156    73.54131    10    0.22124    0.00124
