l    time_i    C(l)    Tau_i     Delta_n
1    0.0    9    0.22745    1
2    0.22745    10    0.43895    1
3    0.6664    9    0.53188    0.29237
4    1.19828    10    0.32788    0.13614
5    1.52616    9    0.29254    0.08082
6    1.8187    8    1.48018    0.2595
7    3.29888    9    0.2998    0.08331
8    3.59868    10    0.18828    0.01867
9    3.78696    9    0.23371    0.04198
10    4.02067    10    0.28765    0.02633
11    4.30832    9    0.44198    0.06528
12    4.7503    10    0.21746    0.01869
13    4.96776    9    0.3498    0.04291
14    5.31756    10    0.40804    0.03186
15    5.7256    9    0.22061    0.02364
16    5.94621    10    0.42223    0.02897
17    6.36844    9    0.26368    0.02541
18    6.63212    8    2.02938    0.10109
19    8.6615    9    0.44225    0.0469
20    9.10375    10    0.48867    0.01848
21    9.59242    9    0.45448    0.03316
22    10.0469    10    0.24208    0.0088
23    10.28898    9    0.4982    0.03265
24    10.78718    10    0.27234    0.00972
25    11.05952    9    0.33968    0.02032
26    11.3992    10    0.25457    0.00881
27    11.65377    9    0.4608    0.02546
28    12.11457    8    1.33516    0.04144
29    13.44973    9    0.34206    0.02344
30    13.79179    10    0.46983    0.0129
31    14.26162    9    0.33363    0.01594
32    14.59525    10    0.39675    0.0104
33    14.992    9    0.29324    0.01324
34    15.28524    10    0.35118    0.00885
35    15.63642    9    0.37836    0.01616
36    16.01478    10    0.22679    0.00558
37    16.24157    9    0.20232    0.00827
38    16.44389    10    0.41571    0.00991
39    16.8596    9    0.40273    0.01569
40    17.26233    10    0.50665    0.01158
41    17.76898    9    0.27772    0.01026
42    18.0467    10    0.42297    0.00925
43    18.46967    9    0.4257    0.01496
44    18.89537    8    1.60349    0.03193
45    20.49886    9    0.32217    0.01465
46    20.82103    10    0.21066    0.00387
47    21.03169    9    0.39622    0.01266
48    21.42791    10    0.22159    0.00403
49    21.6495    9    0.35246    0.01082
50    22.00196    8    2.0412    0.03389
51    24.04316    9    0.27608    0.01069
52    24.31924    10    0.40884    0.00616
53    24.72808    9    0.20019    0.00564
54    24.92827    10    0.36287    0.00533
55    25.29114    9    0.47469    0.0129
56    25.76583    10    0.37394    0.0054
57    26.13977    9    0.43657    0.01137
58    26.57634    10    0.41469    0.00588
59    26.99103    9    0.21578    0.00544
60    27.20681    10    0.24748    0.00344
61    27.45429    9    0.30065    0.0074
62    27.75494    10    0.19836    0.00273
63    27.9533    9    0.43896    0.01048
64    28.39226    10    0.26331    0.0036
65    28.65557    9    0.53629    0.01232
66    29.19186    8    1.93027    0.02478
67    31.12213    7    0.77863    0.02309
68    31.90076    8    0.27222    0.00846
69    32.17298    9    0.49037    0.01387
70    32.66335    10    0.52241    0.00636
71    33.18576    9    0.26849    0.00561
72    33.45425    10    0.51286    0.00608
73    33.96711    9    0.29876    0.00609
74    34.26587    10    0.46865    0.00542
75    34.73452    9    0.22506    0.00449
76    34.95958    10    0.28248    0.0032
77    35.24206    9    0.30642    0.00598
78    35.54848    10    0.22674    0.00255
79    35.77522    9    0.24863    0.00476
80    36.02385    10    0.22231    0.00247
81    36.24616    9    0.31878    0.00599
82    36.56494    10    0.19447    0.00215
83    36.75941    9    0.43005    0.0079
84    37.18946    10    0.39822    0.00436
85    37.58768    9    0.21898    0.00393
86    37.80666    10    0.39539    0.00425
87    38.20205    9    0.24507    0.00433
88    38.44712    10    0.37112    0.00392
89    38.81824    9    0.34679    0.00599
90    39.16503    10    0.50178    0.0052
91    39.66681    9    0.234    0.00396
92    39.90081    10    0.32863    0.00335
93    40.22944    9    0.332    0.00552
94    40.56144    10    0.30717    0.00309
95    40.86861    9    0.53731    0.0087
96    41.40592    10    0.49274    0.00489
97    41.89866    9    0.25867    0.00408
98    42.15733    10    0.20285    0.00199
99    42.36018    9    0.46858    0.00726
100    42.82876    8    1.76156    0.01655
101    44.59032    9    0.42258    0.00876
102    45.0129    10    0.39226    0.00352
103    45.40516    9    0.37586    0.00554
104    45.78102    10    0.33862    0.00301
105    46.11964    9    0.25838    0.00375
106    46.37802    10    0.27534    0.00242
107    46.65336    9    0.38815    0.00553
108    47.04151    10    0.31991    0.00278
109    47.36142    9    0.34458    0.00483
110    47.706    10    0.32585    0.00281
111    48.03185    9    0.36019    0.00495
112    48.39204    10    0.31586    0.0027
113    48.7079    9    0.34529    0.00466
114    49.05319    10    0.31062    0.00262
115    49.36381    9    0.2756    0.00366
116    49.63941    10    0.25548    0.00213
117    49.89489    9    0.35665    0.00467
118    50.25154    10    0.47206    0.00391
119    50.7236    9    0.22688    0.00292
120    50.95048    10    0.471    0.00383
121    51.42148    9    0.20749    0.00264
122    51.62897    10    0.26455    0.00212
123    51.89352    9    0.50702    0.00634
124    52.40054    10    0.18979    0.00152
125    52.59033    9    0.3099    0.00381
126    52.90023    10    0.21647    0.00172
127    53.1167    9    0.23608    0.00287
128    53.35278    8    1.29765    0.01004
129    54.65043    7    1.35474    0.02269
130    56.00517    6    0.60613    0.01066
131    56.6113    7    0.44111    0.00773
132    57.05241    8    0.29039    0.00498
133    57.3428    9    0.2329    0.00371
134    57.5757    10    0.30497    0.00233
135    57.88067    9    0.31111    0.0036
136    58.19178    10    0.37848    0.00286
137    58.57026    9    0.44622    0.00508
138    59.01648    10    0.32905    0.00246
139    59.34553    9    0.34293    0.00384
140    59.68846    10    0.20947    0.00156
141    59.89793    9    0.24561    0.00272
142    60.14354    10    0.52702    0.00387
143    60.67056    9    0.44227    0.00482
144    61.11283    10    0.33051    0.0024
145    61.44334    9    0.50176    0.00537
146    61.9451    10    0.34778    0.0025
147    62.29288    9    0.21172    0.00223
148    62.5046    10    0.20195    0.00145
149    62.70655    9    0.25212    0.00263
150    62.95867    10    0.20812    0.00148
151    63.16679    9    0.32231    0.00334
152    63.4891    10    0.30258    0.00213
153    63.79168    9    0.53334    0.00544
154    64.32502    8    2.23735    0.0152
155    66.56237    9    0.40012    0.00553
156    66.96249    10    0.2404    0.00158
157    67.20289    9    0.28377    0.00279
158    67.48666    10    0.26217    0.0017
159    67.74883    9    0.49279    0.00479
160    68.24162    8    1.77545    0.01124
161    70.01707    9    0.49874    0.00653
162    70.51581    10    0.49463    0.00304
163    71.01044    9    0.21125    0.002
164    71.22169    10    0.50974    0.00309
165    71.73143    9    0.35271    0.00329
166    72.08414    10    0.46439    0.00278
167    72.54853    9    0.43622    0.00401
168    72.98475    8    2.12683    0.01233
169    75.11158    9    0.42308    0.00517
170    75.53466    10    0.20891    0.00118
171    75.74357    9    0.20435    0.00183
172    75.94792    10    0.37539    0.0021
173    76.32331    9    0.23481    0.00208
174    76.55812    10    0.40893    0.00226
175    76.96705    9    0.19243    0.0017
176    77.15948    10    0.25435    0.0014
177    77.41383    9    0.21606    0.00188
178    77.62989    10    0.36643    0.002
179    77.99632    9    0.21612    0.00187
180    78.21244    10    0.48802    0.00264
181    78.70046    9    0.3359    0.00288
182    79.03636    10    0.28213    0.00151
183    79.31849    9    0.40835    0.00346
184    79.72684    8    2.00207    0.01044
185    81.72891    7    1.12136    0.0125
186    82.85027    8    0.21106    0.0025
187    83.06133    9    0.31041    0.00339
188    83.37174    10    0.26372    0.00135
189    83.63546    9    0.24251    0.00199
190    83.87797    10    0.22861    0.00116
191    84.10658    9    0.49692    0.00404
192    84.6035    10    0.30329    0.00153
193    84.90679    9    0.19279    0.00155
194    85.09958    10    0.28893    0.00145
195    85.38851    9    0.25092    0.002
196    85.63943    10    0.45384    0.00226
197    86.09327    9    0.24052    0.0019
198    86.33379    10    0.31514    0.00156
199    86.64893    9    0.37568    0.00295
