l    time_i    C(l)    Tau_i     Delta_n
1    0.0    7    0.748657    1
2    0.748657    6    0.695844    1
3    1.444501    7    0.118127    0.075595
4    1.562628    6    0.412931    0.115942
5    1.975559    7    0.119826    0.053767
6    2.095385    8    0.254939    0.051073
7    2.350324    9    0.200966    0.053679
8    2.55129    10    0.101478    0.038254
9    2.652768    9    0.126219    0.045419
10    2.778987    10    0.254564    0.080852
11    3.033551    9    0.081442    0.025057
12    3.114993    10    0.240776    0.063549
13    3.355769    9    0.222577    0.058352
14    3.578346    10    0.099857    0.02262
15    3.678203    9    0.203664    0.046328
16    3.881867    10    0.151856    0.03089
17    4.033723    9    0.297861    0.057958
18    4.331584    8    0.659331    0.106227
19    4.990915    9    0.173006    0.027129
20    5.163921    10    0.217134    0.028569
21    5.381055    9    0.158035    0.023591
22    5.53909    10    0.172456    0.020791
23    5.711546    9    0.187864    0.025769
24    5.89941    10    0.08305    0.009417
25    5.98246    9    0.17043    0.021784
26    6.15289    10    0.256501    0.027138
27    6.409391    9    0.095937    0.011415
28    6.505328    10    0.193234    0.018928
29    6.698562    9    0.168981    0.018934
30    6.867543    10    0.247594    0.022484
31    7.115137    9    0.12737    0.013352
32    7.242507    10    0.166227    0.014141
33    7.408734    9    0.116603    0.011646
34    7.525337    10    0.195594    0.015759
35    7.720931    9    0.26839    0.025078
36    7.989321    10    0.136783    0.010429
37    8.126104    9    0.105608    0.009316
38    8.231712    10    0.182818    0.013343
39    8.41453    9    0.131563    0.01113
40    8.546093    10    0.285477    0.019618
41    8.83157    9    0.097746    0.007895
42    8.929316    10    0.172659    0.011226
43    9.101975    9    0.16351    0.012683
44    9.265485    8    1.51704    0.082728
45    10.782525    9    0.26454    0.021453
46    11.047065    10    0.118772    0.005501
47    11.165837    9    0.246283    0.016316
48    11.41212    8    1.329751    0.054493
49    12.741871    7    0.874601    0.057238
50    13.616472    6    0.431493    0.027639
51    14.047965    7    0.243552    0.016753
52    14.291517    6    0.700092    0.040833
53    14.991609    7    0.131806    0.008436
54    15.123415    8    0.276738    0.015005
55    15.400153    9    0.292605    0.015907
56    15.692758    10    0.247485    0.008815
57    15.940243    9    0.1858    0.009375
58    16.126043    10    0.115372    0.004007
59    16.241415    9    0.136871    0.006733
60    16.378286    10    0.165976    0.005655
61    16.544262    9    0.253568    0.012091
62    16.79783    10    0.150217    0.005005
63    16.948047    9    0.253124    0.011636
64    17.201171    10    0.218137    0.00709
65    17.419308    9    0.124174    0.005534
66    17.543482    10    0.258601    0.008167
67    17.802083    9    0.166416    0.007221
68    17.968499    10    0.237254    0.007274
69    18.205753    9    0.165958    0.007004
70    18.371711    10    0.175523    0.005252
71    18.547234    9    0.250299    0.01026
72    18.797533    8    1.857899    0.049985
73    20.655432    9    0.188649    0.007931
74    20.844081    10    0.201627    0.004888
75    21.045708    9    0.145054    0.00538
76    21.190762    10    0.130481    0.003113
77    21.321243    9    0.193756    0.007041
78    21.514999    10    0.162585    0.003825
79    21.677584    9    0.097265    0.003468
80    21.774849    10    0.266977    0.006158
81    22.041826    9    0.083115    0.002914
82    22.124941    10    0.1269    0.002875
83    22.251841    9    0.227314    0.007828
84    22.479155    10    0.133759    0.002995
85    22.612914    9    0.127958    0.00432
86    22.740872    10    0.234578    0.005167
87    22.97545    9    0.124    0.004111
88    23.09945    10    0.085795    0.001864
89    23.185245    9    0.192513    0.00628
90    23.377758    10    0.181522    0.003897
91    23.55928    9    0.277947    0.00884
92    23.837227    10    0.091856    0.001949
93    23.929083    9    0.109533    0.003419
94    24.038616    10    0.162075    0.003403
95    24.200691    9    0.150388    0.004623
96    24.351079    10    0.095339    0.00198
97    24.446418    9    0.197597    0.005973
98    24.644015    10    0.096035    0.001978
99    24.74005    9    0.232119    0.006878
100    24.972169    10    0.196452    0.003998
101    25.168621    9    0.10169    0.002958
102    25.270311    10    0.114373    0.002299
103    25.384684    9    0.099968    0.002877
104    25.484652    10    0.147314    0.00293
105    25.631966    9    0.262856    0.007431
106    25.894822    10    0.194761    0.003822
107    26.089583    9    0.203632    0.005628
108    26.293215    10    0.183103    0.00354
109    26.476318    9    0.135553    0.003683
110    26.611871    10    0.129475    0.002473
111    26.741346    9    0.083513    0.002243
112    26.824859    10    0.247887    0.00467
113    27.072746    9    0.180056    0.004764
114    27.252802    10    0.084725    0.001577
115    27.337527    9    0.237499    0.006177
116    27.575026    10    0.116602    0.002152
117    27.691628    9    0.190308    0.004861
118    27.881936    10    0.290173    0.005278
119    28.172109    9    0.109274    0.002744
120    28.281383    10    0.088633    0.00159
121    28.370016    9    0.142742    0.003547
122    28.512758    10    0.23644    0.004194
123    28.749198    9    0.114449    0.002805
124    28.863647    10    0.123884    0.00217
125    28.987531    9    0.268731    0.006484
126    29.256262    10    0.233672    0.004042
127    29.489934    9    0.184135    0.004354
128    29.674069    10    0.251131    0.004273
129    29.9252    9    0.118879    0.002769
130    30.044079    10    0.168058    0.00282
131    30.212137    9    0.156714    0.003606
132    30.368851    10    0.224402    0.003715
133    30.593253    9    0.24756    0.005599
134    30.840813    10    0.24663    0.00402
135    31.087443    9    0.178965    0.003974
136    31.266408    10    0.092083    0.001484
137    31.358491    9    0.165949    0.003639
138    31.52444    10    0.216098    0.00345
139    31.740538    9    0.095059    0.00206
140    31.835597    10    0.268816    0.004227
141    32.104413    9    0.203148    0.004341
142    32.307561    10    0.110776    0.001721
143    32.418337    9    0.20388    0.004293
144    32.622217    10    0.178386    0.002747
145    32.800603    9    0.227589    0.004717
146    33.028192    10    0.126422    0.001928
147    33.154614    9    0.082734    0.001696
148    33.237348    10    0.153564    0.002323
149    33.390912    9    0.104404    0.002122
150    33.495316    10    0.122975    0.001845
151    33.618291    9    0.102232    0.002061
152    33.720523    10    0.20496    0.003045
153    33.925483    9    0.089963    0.001798
154    34.015446    10    0.113439    0.001669
155    34.128885    9    0.244097    0.004822
156    34.372982    10    0.105328    0.00154
157    34.47831    9    0.188298    0.003668
158    34.666608    10    0.244399    0.003538
159    34.911007    9    0.225767    0.004329
160    35.136774    10    0.27444    0.003914
161    35.411214    9    0.254554    0.004796
162    35.665768    10    0.252006    0.00354
163    35.917774    9    0.148522    0.002757
164    36.066296    10    0.140761    0.001956
165    36.207057    9    0.105128    0.001935
166    36.312185    10    0.148814    0.002052
167    36.460999    9    0.146377    0.002669
168    36.607376    10    0.242929    0.003313
169    36.850305    9    0.216445    0.003895
170    37.06675    10    0.273466    0.003677
171    37.340216    9    0.210126    0.003725
172    37.550342    10    0.096367    0.001283
173    37.646709    9    0.116593    0.002047
174    37.763302    10    0.112922    0.001495
175    37.876224    9    0.206761    0.003593
176    38.082985    10    0.098201    0.001293
177    38.181186    9    0.271446    0.004652
178    38.452632    10    0.150641    0.00197
179    38.603273    9    0.282215    0.004759
180    38.885488    10    0.148601    0.001928
181    39.034089    9    0.136856    0.002279
182    39.170945    10    0.202451    0.002604
183    39.373396    9    0.204656    0.003371
184    39.578052    8    1.109611    0.013811
185    40.687663    9    0.203265    0.004635
186    40.890928    10    0.240598    0.002896
187    41.131526    9    0.215107    0.003443
188    41.346633    10    0.128267    0.00153
189    41.4749    9    0.158067    0.002503
190    41.632967    10    0.088464    0.00105
191    41.721431    9    0.121351    0.001907
192    41.842782    10    0.298688    0.003513
193    42.14147    9    0.144538    0.002249
194    42.286008    10    0.15521    0.001807
195    42.441218    9    0.157309    0.002427
196    42.598527    10    0.241758    0.002788
197    42.840285    9    0.153366    0.002342
198    42.993651    8    1.961553    0.021511
199    44.955204    9    0.20769    0.004298
200    45.162894    10    0.206515    0.002157
201    45.369409    9    0.085642    0.001267
202    45.455051    10    0.112877    0.001171
203    45.567928    9    0.089178    0.001312
204    45.657106    10    0.182052    0.001877
205    45.839158    9    0.127406    0.001862
206    45.966564    10    0.258818    0.002644
207    46.225382    9    0.23943    0.003462
208    46.464812    8    1.272076    0.012586
209    47.736888    7    1.023357    0.019601
210    48.760245    6    0.620002    0.011842
211    49.380247    7    0.332703    0.00661
212    49.71295    8    0.193718    0.003616
213    49.906668    9    0.16422    0.003005
214    50.070888    10    0.23464    0.002261
215    50.305528    9    0.18487    0.00254
216    50.490398    10    0.110564    0.001059
217    50.600962    9    0.086175    0.001176
218    50.687137    10    0.284188    0.002701
219    50.971325    9    0.098819    0.001339
220    51.070144    10    0.147398    0.001389
221    51.217542    9    0.119183    0.001607
222    51.336725    10    0.286167    0.002675
223    51.622892    9    0.11375    0.001521
224    51.736642    8    1.153925    0.010493
225    52.890567    7    0.995993    0.016966
226    53.88656    6    0.455368    0.007822
227    54.341928    5    0.440439    0.007899
228    54.782367    4    0.404068    0.007322
229    55.186435    3    0.359405    0.00647
230    55.54584    4    0.208785    0.003745
231    55.754625    5    0.241295    0.004282
232    55.99592    6    0.163499    0.00289
233    56.159419    7    0.316494    0.005466
234    56.475913    8    0.269651    0.004412
235    56.745564    7    0.437759    0.006935
236    57.183323    8    0.193513    0.003119
237    57.376836    9    0.216016    0.003373
238    57.592852    10    0.156018    0.001387
239    57.74887    9    0.261469    0.003257
240    58.010339    10    0.244989    0.002164
241    58.255328    9    0.243581    0.003001
242    58.498909    10    0.174612    0.001531
243    58.673521    9    0.084428    0.001032
244    58.757949    10    0.119091    0.001038
245    58.87704    9    0.24497    0.002975
246    59.12201    10    0.173082    0.001502
247    59.295092    9    0.166086    0.002
248    59.461178    10    0.16758    0.001446
249    59.628758    9    0.146048    0.001746
250    59.774806    10    0.293075    0.002509
251    60.067881    9    0.107344    0.001274
252    60.175225    10    0.228365    0.001937
253    60.40359    9    0.090426    0.001067
254    60.494016    10    0.225553    0.0019
255    60.719569    9    0.246253    0.002884
256    60.965822    10    0.154141    0.001289
257    61.119963    9    0.244174    0.002834
258    61.364137    10    0.297422    0.002469
259    61.661559    9    0.239325    0.002748
260    61.900884    10    0.117457    0.000969
261    62.018341    9    0.193233    0.002201
262    62.211574    10    0.190584    0.001564
263    62.402158    9    0.150073    0.001696
264    62.552231    10    0.203884    0.001662
265    62.756115    9    0.158779    0.001783
266    62.914894    10    0.297809    0.002408
267    63.212703    9    0.237411    0.002642
268    63.450114    10    0.149935    0.001204
