l    time_i    C(l)    Tau_i     Delta_n
1    0.0    4    0.723081    1
2    0.723081    5    0.551619    1
3    1.2747    4    0.757501    0.372749
4    2.032201    3    0.634269    0.173302
5    2.66647    2    0.506098    0.116265
6    3.172568    1    0.659172    0.172029
7    3.83174    0    0.789378    0.17082
8    4.621118    1    0.489207    0.095729
9    5.110325    0    0.341484    0.052962
10    5.451809    1    0.626836    0.093868
11    6.078645    2    1.368337    0.14956
12    7.446982    1    0.576793    0.065523
13    8.023775    0    0.665967    0.052768
14    8.689742    1    0.504331    0.047809
15    9.194073    0    0.431479    0.029394
16    9.625552    1    0.511841    0.041991
17    10.137393    0    0.616511    0.036989
18    10.753904    1    0.839926    0.058081
19    11.59383    2    1.013006    0.051154
20    12.606836    1    0.310305    0.021668
21    12.917141    0    0.382912    0.017142
22    13.300053    1    0.435827    0.024639
23    13.73588    2    1.693639    0.064943
24    15.429519    1    0.277598    0.015902
25    15.707117    2    2.376594    0.07032
26    18.083711    3    0.621357    0.029868
27    18.705068    4    0.565617    0.027422
28    19.270685    3    0.626704    0.029559
29    19.897389    2    0.407275    0.018248
30    20.304664    1    0.690405    0.028924
31    20.995069    2    2.285329    0.052908
32    23.280398    1    0.458176    0.016701
33    23.738574    0    0.712273    0.014448
34    24.450847    1    0.549979    0.018933
35    25.000826    0    0.759802    0.014539
36    25.760628    1    0.593812    0.01907
37    26.35444    0    0.680829    0.012344
38    27.035269    1    0.68409    0.020524
39    27.719359    2    1.372507    0.02315
40    29.091866    3    1.264358    0.036505
41    30.356224    2    0.718794    0.021453
42    31.075018    3    0.693241    0.01841
43    31.768259    2    0.492703    0.013868
44    32.260962    1    0.486813    0.012308
45    32.747775    0    0.428902    0.006812
46    33.176677    1    0.350764    0.008811
47    33.527441    0    0.397804    0.006158
48    33.925245    1    0.517443    0.01255
49    34.442688    0    0.378678    0.005723
50    34.821366    1    0.68582    0.015929
51    35.507186    0    0.441152    0.006501
52    35.948338    1    0.397427    0.008869
53    36.345765    0    0.496193    0.007118
54    36.841958    1    0.70896    0.015196
55    37.550918    0    0.445399    0.006218
56    37.996317    1    0.644611    0.013215
57    38.640928    0    0.314723    0.0043
58    38.955651    1    0.576249    0.011381
59    39.5319    0    0.587713    0.007834
60    40.119613    1    0.685059    0.012973
61    40.804672    0    0.673178    0.00868
62    41.47785    1    0.508852    0.009256
63    41.986702    0    0.525795    0.006578
64    42.512497    1    0.389939    0.006885
65    42.902436    0    0.311422    0.003817
66    43.213858    1    0.591776    0.010164
67    43.805634    0    0.749906    0.008958
68    44.55554    1    0.314642    0.005235
69    44.870182    2    1.57328    0.017839
70    46.443462    1    0.608361    0.011249
71    47.051823    0    0.427375    0.004637
72    47.479198    1    0.390477    0.006163
73    47.869675    0    0.311942    0.00333
74    48.181617    1    0.524384    0.008086
75    48.706001    0    0.438997    0.004613
76    49.144998    1    0.442502    0.00665
77    49.5875    0    0.301925    0.003124
78    49.889425    1    0.743047    0.010861
79    50.632472    0    0.391035    0.003987
80    51.023507    1    0.595197    0.008432
81    51.618704    0    0.449641    0.004506
82    52.068345    1    0.669756    0.009211
83    52.738101    0    0.413823    0.004075
84    53.151924    1    0.553772    0.007407
85    53.705696    0    0.551939    0.005333
86    54.257635    1    0.665085    0.008644
87    54.92272    0    0.380123    0.003607
88    55.302843    1    0.764627    0.009645
89    56.06747    0    0.4705    0.004391
90    56.53797    1    0.461119    0.005664
91    56.999089    0    0.720318    0.006579
92    57.719407    1    0.559484    0.006703
93    58.278891    0    0.31626    0.002835
94    58.595151    1    0.588436    0.006893
95    59.183587    0    0.396285    0.003505
96    59.579872    1    0.4116    0.004723
97    59.991472    2    1.180019    0.010163
98    61.171491    1    0.608803    0.008783
99    61.780294    0    0.715361    0.005968
100    62.495655    1    0.421107    0.004661
101    62.916762    0    0.510398    0.004174
102    63.42716    1    0.674489    0.007304
103    64.101649    2    1.332416    0.010582
104    65.434065    1    0.721377    0.009695
105    66.155442    0    0.460434    0.003555
106    66.615876    1    0.400256    0.004173
107    67.016132    0    0.437473    0.003332
108    67.453605    1    0.545852    0.005591
109    67.999457    0    0.483419    0.003631
110    68.482876    1    0.37905    0.003815
111    68.861926    0    0.449193    0.003328
112    69.311119    1    0.693528    0.006848
113    70.004647    2    1.226243    0.008865
114    71.23089    1    0.713495    0.008806
115    71.944385    0    0.373854    0.002642
116    72.318239    1    0.623873    0.005941
117    72.942112    2    2.456441    0.0167
118    75.398553    1    0.422226    0.004926
119    75.820779    2    2.041038    0.013072
120    77.861817    3    0.95104    0.010655
121    78.812857    4    0.503913    0.006078
122    79.31677    3    0.555703    0.006798
123    79.872473    4    0.734032    0.008659
124    80.606505    5    0.434809    0.005208
125    81.041314    4    0.61317    0.007439
126    81.654484    3    0.469366    0.005519
127    82.12385    4    0.662247    0.007547
128    82.786097    3    0.28661    0.003314
129    83.072707    2    0.459284    0.005147
130    83.531991    1    0.400846    0.0042
131    83.932837    0    0.337438    0.002093
132    84.270275    1    0.353048    0.003047
133    84.623323    0    0.395719    0.002433
134    85.019042    1    0.425059    0.003625
135    85.444101    0    0.596009    0.00362
136    86.04011    1    0.673005    0.005642
137    86.713115    0    0.424172    0.002544
138    87.137287    1    0.395333    0.003264
139    87.53262    0    0.474389    0.002816
140    88.007009    1    0.564292    0.004593
141    88.571301    0    0.450441    0.002645
