l    time_i    C(l)    Tau_i     Delta_n
1    0.0    9    0.046409    1
2    0.046409    10    0.136079    1
3    0.182488    9    0.073216    0.213513
4    0.255704    10    0.046632    0.072157
5    0.302336    9    0.12263    0.174388
6    0.424966    10    0.056436    0.066829
7    0.481402    9    0.06066    0.055592
8    0.542062    10    0.032882    0.03196
9    0.574944    9    0.038041    0.029362
10    0.612985    10    0.119879    0.090984
11    0.732864    9    0.137163    0.084307
12    0.870027    10    0.043807    0.026344
13    0.913834    9    0.094464    0.04467
14    1.008298    10    0.043186    0.023323
15    1.051484    9    0.034095    0.014304
16    1.085579    10    0.10062    0.047405
17    1.186199    9    0.133841    0.049535
18    1.32004    10    0.042099    0.017338
19    1.362139    9    0.121926    0.037493
20    1.484065    10    0.053622    0.020265
21    1.537687    9    0.069092    0.018882
22    1.606779    10    0.078198    0.026906
23    1.684977    9    0.02896    0.007556
24    1.713937    8    0.828568    0.182628
25    2.542505    9    0.062952    0.024162
26    2.605457    10    0.030981    0.004616
27    2.636438    9    0.029164    0.006955
28    2.665602    10    0.044609    0.0065
29    2.710211    9    0.147983    0.032869
30    2.858194    10    0.04613    0.006672
31    2.904324    9    0.043786    0.009034
32    2.94811    10    0.065706    0.009203
33    3.013816    9    0.0657    0.012971
34    3.079516    10    0.101513    0.013576
35    3.181029    9    0.080112    0.014935
36    3.261141    10    0.143378    0.017953
37    3.404519    9    0.040676    0.007204
38    3.445195    10    0.134858    0.015645
39    3.580053    9    0.125243    0.020886
40    3.705296    10    0.064444    0.007179
41    3.76974    9    0.065739    0.010351
42    3.835479    8    0.693383    0.06474
43    4.528862    7    0.343209    0.069465
44    4.872071    6    0.121218    0.024276
45    4.993289    7    0.045815    0.009092
46    5.039104    8    0.114087    0.021607
47    5.153191    9    0.029512    0.005246
48    5.182703    10    0.093972    0.00782
49    5.276675    9    0.140647    0.018293
50    5.417322    10    0.10325    0.008343
51    5.520572    9    0.067007    0.0083
52    5.587579    10    0.065501    0.00515
53    5.65308    9    0.030592    0.003701
54    5.683672    8    0.636342    0.044535
55    6.320014    9    0.047388    0.00693
56    6.367402    10    0.075142    0.004691
57    6.442544    9    0.040838    0.004542
58    6.483382    10    0.122675    0.007453
59    6.606057    9    0.030239    0.003289
60    6.636296    10    0.064719    0.003831
61    6.701015    9    0.064486    0.006874
62    6.765501    10    0.107643    0.006243
63    6.873144    9    0.119065    0.01224
64    6.992209    10    0.125205    0.007085
65    7.117414    9    0.093434    0.009222
66    7.210848    10    0.085037    0.004703
67    7.295885    9    0.031516    0.003036
68    7.327401    8    0.671758    0.033705
69    7.999159    9    0.108932    0.012624
70    8.108091    10    0.036208    0.001672
71    8.144299    9    0.144579    0.01278
72    8.288878    10    0.094131    0.004328
73    8.383009    9    0.034993    0.003006
74    8.418002    10    0.135336    0.00607
75    8.553338    9    0.136795    0.011405
76    8.690133    8    0.304196    0.013101
77    8.994329    9    0.045282    0.00468
78    9.039611    10    0.125117    0.005152
79    9.164728    9    0.053727    0.004243
80    9.218455    10    0.040414    0.001641
81    9.258869    9    0.108703    0.008412
82    9.367572    10    0.035889    0.001456
83    9.403461    9    0.063997    0.004851
84    9.467458    10    0.054095    0.002183
85    9.521553    9    0.107527    0.007978
86    9.62908    10    0.060585    0.002432
87    9.689665    9    0.099052    0.007166
88    9.788717    10    0.141087    0.00558
89    9.929804    9    0.094339    0.006638
90    10.024143    10    0.089068    0.00346
91    10.113211    9    0.138335    0.009464
92    10.251546    10    0.103041    0.003957
93    10.354587    9    0.032431    0.00217
94    10.387018    10    0.075326    0.002848
95    10.462344    9    0.069135    0.004562
96    10.531479    10    0.077549    0.0029
97    10.609028    9    0.030819    0.002007
98    10.639847    10    0.081977    0.003025
99    10.721824    9    0.10949    0.007005
100    10.831314    8    0.403808    0.014332
101    11.235122    9    0.066131    0.005519
102    11.301253    10    0.108846    0.003701
103    11.410099    9    0.095009    0.005797
104    11.505108    10    0.040575    0.001369
105    11.545683    9    0.031849    0.001918
106    11.577532    10    0.051091    0.001712
107    11.628623    9    0.136985    0.008111
108    11.765608    10    0.137149    0.004553
109    11.902757    9    0.037306    0.002162
110    11.940063    10    0.107821    0.003512
111    12.047884    9    0.080781    0.004614
112    12.128665    10    0.097897    0.003147
113    12.226562    9    0.083999    0.004712
114    12.310561    10    0.107549    0.003413
115    12.41811    9    0.053669    0.002963
116    12.471779    8    0.742794    0.022105
117    13.214573    9    0.04866    0.003473
118    13.263233    10    0.030749    0.000864
119    13.293982    9    0.078522    0.00414
120    13.372504    10    0.072286    0.002023
121    13.44479    9    0.060402    0.003143
122    13.505192    8    0.695895    0.018477
123    14.201087    9    0.127539    0.00843
124    14.328626    10    0.035361    0.000897
125    14.363987    9    0.05197    0.002587
126    14.415957    8    0.213444    0.005335
127    14.629401    9    0.141863    0.009026
128    14.771264    10    0.088583    0.002185
129    14.859847    9    0.045333    0.0022
130    14.90518    10    0.067403    0.001648
131    14.972583    9    0.059217    0.002846
132    15.0318    10    0.061436    0.001494
133    15.093236    9    0.098913    0.004692
134    15.192149    10    0.060528    0.001467
135    15.252677    9    0.043465    0.002038
136    15.296142    10    0.063527    0.001531
137    15.359669    9    0.048849    0.002271
138    15.408518    10    0.140853    0.003357
139    15.549371    9    0.099809    0.004571
140    15.64918    10    0.13611    0.0032
141    15.78529    9    0.061171    0.002758
142    15.846461    10    0.093164    0.002165
143    15.939625    9    0.098114    0.004364
144    16.037739    10    0.10955    0.002525
145    16.147289    9    0.077199    0.003384
146    16.224488    10    0.102672    0.002343
147    16.32716    9    0.123983    0.005347
148    16.451143    10    0.057006    0.001295
149    16.508149    9    0.04792    0.002041
150    16.556069    8    0.643093    0.014042
151    17.199162    7    0.220332    0.011897
152    17.419494    8    0.141896    0.007971
153    17.56139    9    0.050441    0.002661
154    17.611831    8    0.75314    0.015439
155    18.364971    9    0.02799    0.001415
156    18.392961    8    0.394784    0.007607
157    18.787745    9    0.136507    0.006706
158    18.924252    8    0.420522    0.007805
159    19.344774    9    0.060311    0.002874
