l    time_i    C(l)    Tau_i     Delta_n
1    0.0    2    0.224406    1
2    0.224406    1    0.060898    1
3    0.285304    0    0.125421    0.305365
4    0.410725    1    0.137502    0.250812
5    0.548227    0    0.246833    0.239433
6    0.79506    1    0.167385    0.143839
7    0.962445    0    0.072808    0.043127
8    1.035253    1    0.209105    0.118553
9    1.244358    0    0.066207    0.032449
10    1.310565    1    0.046204    0.020699
11    1.356769    0    0.04573    0.02032
12    1.402499    1    0.228387    0.084103
13    1.630886    0    0.230669    0.081592
14    1.861555    1    0.188176    0.052915
15    2.049731    0    0.222361    0.060258
16    2.272092    1    0.103116    0.02475
17    2.375208    0    0.182652    0.041043
18    2.55786    1    0.242874    0.050108
19    2.800734    0    0.206262    0.039383
20    3.006996    1    0.125899    0.022508
21    3.132895    0    0.089985    0.015453
22    3.22288    1    0.109187    0.018039
23    3.332067    0    0.165816    0.026222
24    3.497883    1    0.090145    0.013935
25    3.588028    0    0.226285    0.031965
26    3.814313    1    0.213427    0.030095
27    4.02774    2    0.194061    0.0245
28    4.221801    3    0.364558    0.078341
29    4.586359    2    0.097018    0.019702
30    4.683377    1    0.09789    0.018614
31    4.781267    0    0.068517    0.007997
32    4.849784    1    0.306914    0.036674
33    5.156698    2    0.285324    0.030635
34    5.442022    1    0.051875    0.008534
35    5.493897    0    0.175455    0.017266
36    5.669352    1    0.048162    0.005202
37    5.717514    0    0.079231    0.007442
38    5.796745    1    0.283641    0.028812
39    6.080386    0    0.053173    0.004843
40    6.133559    1    0.090619    0.008625
41    6.224178    2    0.266068    0.022969
42    6.490246    3    0.479227    0.062666
43    6.969473    2    0.043522    0.00592
44    7.012995    1    0.266258    0.031078
45    7.279253    2    0.146894    0.011621
46    7.426147    1    0.238537    0.025587
47    7.664684    0    0.270623    0.020089
48    7.935307    1    0.201052    0.016643
49    8.136359    0    0.242962    0.016806
50    8.379321    1    0.044725    0.00354
51    8.424046    0    0.237977    0.015526
52    8.662023    1    0.221902    0.016799
53    8.883925    0    0.083447    0.005219
54    8.967372    1    0.051495    0.003762
55    9.018867    0    0.223938    0.013524
56    9.242805    1    0.159741    0.011273
57    9.402546    0    0.044736    0.002615
58    9.447282    1    0.123456    0.008435
59    9.570738    2    0.452828    0.025099
60    10.023566    3    0.226544    0.018663
61    10.25011    4    0.093542    0.008722
62    10.343652    3    0.127189    0.012147
63    10.470841    2    0.074876    0.006789
64    10.545717    1    0.085458    0.006677
65    10.631175    2    0.640942    0.03169
66    11.272117    1    0.129427    0.009467
67    11.401544    0    0.1144    0.005275
68    11.515944    1    0.189333    0.011409
69    11.705277    0    0.060698    0.002752
70    11.765975    1    0.081042    0.004758
71    11.847017    0    0.093844    0.004196
72    11.940861    1    0.302201    0.01711
73    12.243062    0    0.082925    0.003641
74    12.325987    1    0.180101    0.009768
75    12.506088    0    0.127007    0.005472
76    12.633095    1    0.11615    0.006121
77    12.749245    2    0.641824    0.026027
78    13.391069    1    0.042097    0.002666
79    13.433166    0    0.073484    0.002821
80    13.50665    1    0.116669    0.005862
81    13.623319    2    0.193683    0.007287
82    13.817002    1    0.071755    0.004402
83    13.888757    2    0.748402    0.026335
84    14.637159    1    0.040053    0.002334
85    14.677212    2    0.345443    0.011271
86    15.022655    3    0.115627    0.006542
87    15.138282    4    0.325144    0.020286
88    15.463426    5    0.206494    0.013069
89    15.66992    4    0.192074    0.012109
90    15.861994    3    0.12149    0.007441
91    15.983484    4    0.324843    0.018849
92    16.308327    5    0.126745    0.007497
93    16.435072    4    0.070606    0.004228
94    16.505678    5    0.176836    0.010226
95    16.682514    6    0.119695    0.007011
96    16.802209    7    0.220378    0.012946
97    17.022587    6    0.155444    0.009049
98    17.178031    5    0.323907    0.01827
99    17.501938    4    0.308188    0.016926
100    17.810126    3    0.165172    0.008798
101    17.975298    4    0.116811    0.006031
102    18.092109    5    0.180097    0.009353
103    18.272206    4    0.298422    0.015462
104    18.570628    5    0.138639    0.00697
105    18.709267    4    0.059577    0.003006
106    18.768844    3    0.076594    0.003795
107    18.845438    2    0.053962    0.002658
108    18.8994    3    0.204335    0.009412
109    19.103735    2    0.230372    0.01107
110    19.334107    1    0.23475    0.010461
111    19.568857    2    0.606773    0.018043
112    20.17563    3    0.109068    0.004655
113    20.284698    4    0.094201    0.004261
114    20.378899    5    0.178611    0.008126
115    20.55751    4    0.291248    0.013257
116    20.848758    3    0.201706    0.008894
117    21.050464    2    0.262342    0.011328
118    21.312806    3    0.353246    0.014148
119    21.666052    4    0.214562    0.008927
120    21.880614    5    0.093103    0.003908
121    21.973717    6    0.156132    0.006625
122    22.129849    5    0.208029    0.009084
123    22.337878    4    0.186538    0.007727
124    22.524416    5    0.057009    0.002324
125    22.581425    4    0.047493    0.001943
126    22.628918    3    0.194349    0.007819
127    22.823267    4    0.083652    0.003306
128    22.906919    3    0.170799    0.006741
129    23.077718    4    0.100259    0.003906
130    23.177977    3    0.042846    0.001668
131    23.220823    2    0.107243    0.004134
132    23.328066    3    0.446136    0.016214
133    23.774202    4    0.18578    0.006956
134    23.959982    5    0.151207    0.00568
135    24.111189    6    0.165047    0.006311
136    24.276236    7    0.213065    0.00843
137    24.489301    6    0.273322    0.010968
138    24.762623    5    0.249515    0.009587
139    25.012138    4    0.143623    0.005277
140    25.155761    5    0.04055    0.001455
141    25.196311    4    0.06469    0.002354
142    25.261001    3    0.082146    0.002927
143    25.343147    4    0.321636    0.01123
144    25.664783    5    0.093604    0.003276
145    25.758387    6    0.058616    0.002085
146    25.817003    7    0.157037    0.005761
147    25.97404    8    0.049514    0.001872
148    26.023554    9    0.100989    0.003866
149    26.124543    10    0.033507    0.001281
150    26.15805    9    0.101986    0.003884
151    26.260036    10    0.126904    0.004803
152    26.38694    9    0.200234    0.007502
153    26.587174    10    0.113401    0.004222
154    26.700575    9    0.086662    0.003198
155    26.787237    10    0.059812    0.002205
156    26.847049    9    0.084751    0.003101
157    26.9318    8    0.186584    0.006795
158    27.118384    9    0.063557    0.00233
159    27.181941    10    0.039222    0.001413
160    27.221163    9    0.034239    0.001235
161    27.255402    10    0.105352    0.003772
162    27.360754    9    0.046106    0.001651
163    27.40686    10    0.110837    0.00393
164    27.517697    9    0.031785    0.00113
165    27.549482    10    0.032238    0.001136
166    27.58172    9    0.048231    0.001709
167    27.629951    10    0.054392    0.001908
168    27.684343    9    0.042777    0.001507
169    27.72712    10    0.061593    0.002147
170    27.788713    9    0.122129    0.004269
171    27.910842    10    0.092586    0.003197
172    28.003428    9    0.052683    0.001824
173    28.056111    10    0.054266    0.001861
174    28.110377    9    0.155002    0.005318
175    28.265379    10    0.152738    0.005171
176    28.418117    9    0.117484    0.003971
177    28.535601    10    0.112863    0.003771
178    28.648464    9    0.133442    0.004454
179    28.781906    10    0.04937    0.001633
180    28.831276    9    0.046581    0.001543
181    28.877857    8    0.440828    0.014314
182    29.318685    9    0.050857    0.001722
183    29.369542    10    0.136614    0.004342
184    29.506156    9    0.040769    0.001319
185    29.546925    8    0.266026    0.008331
186    29.812951    7    0.272383    0.008988
187    30.085334    8    0.19429    0.006315
188    30.279624    9    0.183201    0.005917
189    30.462825    10    0.079062    0.002399
190    30.541887    9    0.133276    0.004154
191    30.675163    10    0.049783    0.001499
192    30.724946    9    0.167178    0.005151
193    30.892124    10    0.118936    0.003543
194    31.01106    9    0.136241    0.004142
195    31.147301    10    0.085862    0.00253
196    31.233163    9    0.114019    0.003429
197    31.347182    10    0.076481    0.002234
198    31.423663    9    0.062697    0.001871
199    31.48636    8    0.922026    0.026066
200    32.408386    9    0.073744    0.002223
201    32.48213    10    0.089705    0.002452
202    32.571835    9    0.045587    0.001313
203    32.617422    10    0.091949    0.002496
204    32.709371    9    0.063871    0.001829
205    32.773242    10    0.085822    0.002314
206    32.859064    9    0.051577    0.001469
207    32.910641    10    0.035053    0.00094
208    32.945694    9    0.149761    0.004234
209    33.095455    10    0.100545    0.002675
210    33.196    9    0.032256    0.000904
211    33.228256    10    0.139686    0.003687
212    33.367942    9    0.186205    0.005167
213    33.554147    10    0.072321    0.001888
214    33.626468    9    0.099562    0.002734
215    33.72603    10    0.19335    0.004994
216    33.91938    9    0.076515    0.002079
217    33.995895    10    0.063364    0.001621
218    34.059259    9    0.06175    0.001668
219    34.121009    10    0.05731    0.001459
220    34.178319    9    0.161738    0.004335
221    34.340057    10    0.046404    0.001173
222    34.386461    9    0.150076    0.003981
223    34.536537    10    0.176218    0.00441
224    34.712755    9    0.048191    0.001265
