l    time_i    C(l)    Tau_i     Delta_n
1    0.0    4    0.191033    1
2    0.191033    3    0.167327    1
3    0.35836    4    0.190288    0.161943
4    0.548648    3    0.217252    0.197146
5    0.7659    2    0.139264    0.077255
6    0.905164    3    0.288035    0.241397
7    1.193199    2    0.131366    0.055906
8    1.324565    1    0.111862    0.060941
9    1.436427    0    0.134162    0.085421
10    1.570589    1    0.235312    0.130302
11    1.805901    0    0.075011    0.036917
12    1.880912    1    0.05756    0.025979
13    1.938472    2    0.49847    0.182476
14    2.436942    1    0.143654    0.046532
15    2.580596    0    0.078604    0.021454
16    2.6592    1    0.173203    0.054416
17    2.832403    2    0.328564    0.07509
18    3.160967    1    0.042135    0.010893
19    3.203102    0    0.166642    0.032241
20    3.369744    1    0.099811    0.024788
21    3.469555    0    0.133098    0.023299
22    3.602653    1    0.135354    0.030522
23    3.738007    0    0.171726    0.027301
24    3.909733    1    0.152624    0.030831
25    4.062357    2    0.568835    0.074865
26    4.631192    3    0.137494    0.025187
27    4.768686    4    0.14157    0.02489
28    4.910256    5    0.048353    0.008987
29    4.958609    6    0.109897    0.021682
30    5.068506    7    0.053563    0.010457
31    5.122069    6    0.065561    0.012638
32    5.18763    5    0.059983    0.011313
33    5.247613    4    0.102052    0.018677
34    5.349665    5    0.122425    0.020562
35    5.47209    6    0.054969    0.00956
36    5.527059    7    0.062376    0.01093
37    5.589435    8    0.087807    0.015286
38    5.677242    9    0.060209    0.010494
39    5.737451    10    0.141886    0.024133
40    5.879337    9    0.048262    0.008142
41    5.927599    10    0.112375    0.018159
42    6.039974    9    0.101131    0.016337
43    6.141105    10    0.103988    0.015962
44    6.245093    9    0.083643    0.0129
45    6.328736    10    0.065208    0.009621
46    6.393944    9    0.129329    0.019104
47    6.523273    10    0.038058    0.005424
48    6.561331    9    0.084069    0.011952
49    6.6454    10    0.1151    0.015843
50    6.7605    9    0.130813    0.017728
51    6.891313    10    0.034745    0.004597
52    6.926058    9    0.042642    0.005609
53    6.9687    10    0.044363    0.005771
54    7.013063    9    0.111089    0.014215
55    7.124152    10    0.105461    0.013245
56    7.229613    9    0.041159    0.005088
57    7.270772    10    0.142851    0.017251
58    7.413623    9    0.097692    0.011651
59    7.511315    10    0.074809    0.008675
60    7.586124    9    0.138656    0.015891
61    7.72478    10    0.074464    0.008338
62    7.799244    9    0.149083    0.016332
63    7.948327    10    0.104777    0.011287
64    8.053104    9    0.04108    0.004346
65    8.094184    10    0.059464    0.00625
66    8.153648    9    0.099589    0.010292
67    8.253237    10    0.127646    0.012984
68    8.380883    9    0.035115    0.003526
69    8.415998    10    0.106827    0.010531
70    8.522825    9    0.092983    0.009104
71    8.615808    10    0.082277    0.007865
72    8.698085    9    0.095662    0.009094
73    8.793747    10    0.054349    0.005071
74    8.848096    9    0.052537    0.004887
75    8.900633    10    0.101408    0.009254
76    9.002041    9    0.07287    0.006625
77    9.074911    10    0.064521    0.005745
78    9.139432    9    0.098929    0.008779
79    9.238361    10    0.046488    0.004056
80    9.284849    9    0.03633    0.003165
81    9.321179    10    0.08321    0.007138
82    9.404389    9    0.034447    0.002958
83    9.438836    10    0.114364    0.009581
84    9.5532    9    0.118071    0.009886
85    9.671271    10    0.061363    0.005002
86    9.732634    9    0.06078    0.004972
87    9.793414    10    0.085478    0.006832
88    9.878892    9    0.044301    0.003562
89    9.923193    10    0.099766    0.007801
90    10.022959    9    0.050026    0.003955
91    10.072985    10    0.031403    0.002415
92    10.104388    9    0.054734    0.004273
93    10.159122    10    0.039311    0.002991
