i	N	T		Max_v_i_differ	Max_tau_i_differ	r_arr		v_i_n		tau_i
0	15108.0	[6952.65535]	0.44521		0.51858			[0.94566]	1.00096		1.21332
1	14243.0	[6623.28042]	0.44977		0.537			[0.94566]	0.95555		1.1265
2	15064.0	[6901.93828]	0.45074		0.53042			[0.94566]	0.9636		1.15974
3	15425.0	[7123.45932]	0.44347		0.51641			[0.94566]	1.03791		1.28095
4	14706.0	[6824.63705]	0.44836		0.53191			[0.94566]	0.9764		1.17824
5	14997.0	[7062.76502]	0.4417		0.51786			[0.94566]	1.07241		1.35557
6	15312.0	[7087.82846]	0.44287		0.51707			[0.94566]	1.03642		1.26956
7	14621.0	[6816.78986]	0.44795		0.53445			[0.94566]	0.96118		1.11066
8	14804.0	[6798.85322]	0.44983		0.53156			[0.94566]	0.93684		1.08976
9	14702.0	[6757.14848]	0.45202		0.53204			[0.94566]	0.94303		1.132
10	14918.0	[6838.03307]	0.4519		0.53213			[0.94566]	0.93442		1.11737
