l    time_i    C(l)    Tau_i     Delta_n
1    0.0    2    0.332539    1
2    0.332539    1    0.373993    1
3    0.706532    0    0.446192    0.387076
4    1.152724    1    0.189416    0.14113
5    1.34214    0    0.46526    0.171841
6    1.8074    1    0.230273    0.101165
7    2.037673    0    0.412309    0.093015
8    2.449982    1    0.359654    0.106079
9    2.809636    0    0.473146    0.076223
10    3.282782    1    0.322306    0.068179
11    3.605088    0    0.210658    0.02769
12    3.815746    1    0.512423    0.084212
13    4.328169    0    0.431518    0.048609
14    4.759687    1    0.473329    0.059778
15    5.233016    2    1.619283    0.126168
16    6.852299    1    0.297225    0.039304
17    7.149524    0    0.207023    0.012168
18    7.356547    1    0.516607    0.046998
19    7.873154    0    0.358148    0.019938
20    8.231302    1    0.302232    0.024213
21    8.533534    0    0.428319    0.021899
22    8.961853    1    0.27831    0.020352
23    9.240163    0    0.283598    0.013498
24    9.523761    1    0.281479    0.019108
25    9.80524    0    0.431864    0.019231
26    10.237104    1    0.42277    0.026232
27    10.659874    0    0.350547    0.014612
28    11.010421    1    0.392407    0.022258
29    11.402828    0    0.246299    0.009799
30    11.649127    1    0.363808    0.019155
31    12.012935    0    0.547592    0.0205
32    12.560527    1    0.519696    0.025039
33    13.080223    0    0.357543    0.012547
34    13.437766    1    0.250003    0.011245
35    13.687769    0    0.194603    0.006573
36    13.882372    1    0.19762    0.008561
37    14.079992    0    0.171306    0.005648
38    14.251298    1    0.205062    0.008599
39    14.45636    2    1.716425    0.050077
40    16.172785    1    0.526805    0.030237
41    16.69959    0    0.430139    0.011049
42    17.129729    1    0.182735    0.006971
43    17.312464    0    0.452574    0.011082
44    17.765038    1    0.206352    0.007604
45    17.97139    0    0.194465    0.004609
46    18.165855    1    0.305119    0.010876
47    18.470974    0    0.343472    0.007949
48    18.814446    1    0.193898    0.00667
49    19.008344    0    0.268597    0.006038
50    19.276941    1    0.450091    0.014879
51    19.727032    0    0.39986    0.008748
52    20.126892    1    0.420605    0.013192
53    20.547497    0    0.166    0.003552
54    20.713497    1    0.327551    0.009874
55    21.041048    2    1.989408    0.038731
56    23.030456    1    0.230608    0.009398
57    23.261064    2    2.301566    0.03741
58    25.56263    1    0.50345    0.018235
59    26.06608    2    1.577392    0.02226
60    27.643472    1    0.21274    0.007103
61    27.856212    0    0.420205    0.005539
62    28.276417    1    0.421049    0.010571
63    28.697466    0    0.33973    0.004404
64    29.037196    1    0.168538    0.004116
65    29.205734    2    1.036003    0.012868
66    30.241737    1    0.217686    0.006639
67    30.459423    0    0.360027    0.004291
68    30.81945    1    0.401731    0.009321
69    31.221181    2    2.85691    0.031122
70    34.078091    3    1.007001    0.026712
71    35.085092    2    0.192958    0.005418
72    35.27805    3    0.567844    0.014328
73    35.845894    2    0.252216    0.006884
74    36.09811    3    0.462008    0.011258
75    36.560118    4    0.443951    0.011742
76    37.004069    3    0.181383    0.004878
77    37.185452    2    0.40562    0.010436
78    37.591072    3    1.137474    0.025933
79    38.728546    4    0.521729    0.012734
80    39.250275    5    0.468485    0.011741
81    39.71876    4    0.390463    0.009735
82    40.109223    5    0.39104    0.009499
83    40.500263    6    0.391156    0.009473
84    40.891419    7    0.45433    0.010989
85    41.345749    6    0.284989    0.006846
86    41.630738    5    0.22672    0.005358
87    41.857458    6    0.304178    0.00708
88    42.161636    5    0.212714    0.004939
89    42.37435    4    0.370987    0.008457
90    42.745337    3    0.297622    0.006747
91    43.042959    4    0.697348    0.015147
92    43.740307    5    0.639497    0.013968
93    44.379804    6    0.473363    0.010208
94    44.853167    7    0.34738    0.007533
95    45.200547    8    0.709012    0.015346
96    45.909559    7    0.70241    0.015069
97    46.611969    6    0.314296    0.006555
98    46.926265    7    0.75788    0.015473
