l    time_i    C(l)    Tau_i     Delta_n
1    0.0    2    2.099059    1
2    2.099059    3    0.771495    1
3    2.870554    2    0.395446    0.12108
4    3.266    3    0.627315    0.123065
5    3.893315    2    0.684152    0.13428
6    4.577467    1    0.305762    0.043481
7    4.883229    0    0.587326    0.061212
8    5.470555    1    0.566187    0.09379
9    6.036742    0    0.791876    0.064359
10    6.828618    1    0.379211    0.048249
11    7.207829    0    0.360918    0.024674
12    7.568747    1    0.311871    0.034631
13    7.880618    0    0.470152    0.028873
14    8.35077    1    0.363245    0.035409
15    8.714015    0    0.442817    0.024444
16    9.156832    1    0.577371    0.048817
17    9.734203    0    0.499289    0.024971
18    10.233492    1    0.589432    0.042764
19    10.822924    0    0.295505    0.013682
20    11.118429    1    0.693002    0.043964
21    11.811431    0    0.769021    0.032421
22    12.580452    1    0.472044    0.02616
23    13.052496    0    0.315713    0.012189
24    13.368209    1    0.376011    0.019269
25    13.74422    0    0.354484    0.013011
26    14.098704    1    0.564266    0.026668
27    14.66297    0    0.305851    0.010698
28    14.968821    1    0.405059    0.017736
29    15.37388    0    0.438357    0.014573
30    15.812237    1    0.77509    0.031072
31    16.587327    0    0.282805    0.008951
32    16.870132    1    0.743506    0.027017
33    17.613638    0    0.627548    0.018752
34    18.241186    1    0.471469    0.01578
35    18.712655    0    0.320498    0.009064
36    19.033153    1    0.470746    0.014895
37    19.503899    0    0.612582    0.01646
38    20.116481    1    0.635162    0.018803
39    20.751643    2    1.244927    0.030486
40    21.99657    1    0.673029    0.027388
41    22.669599    0    0.471551    0.010653
42    23.14115    1    0.390421    0.010574
43    23.531571    0    0.548141    0.011842
44    24.079712    1    0.375144    0.009745
45    24.454856    0    0.547614    0.011299
46    25.00247    1    0.358386    0.008955
47    25.360856    2    1.518024    0.028894
48    26.87888    1    0.586237    0.019457
49    27.465117    0    0.472968    0.008359
50    27.938085    1    0.32877    0.007669
51    28.266855    0    0.780689    0.013206
52    29.047544    1    0.81873    0.018121
53    29.866274    0    0.791036    0.012708
54    30.65731    1    0.481302    0.01008
55    31.138612    0    0.640312    0.009829
56    31.778924    1    0.550614    0.011058
57    32.329538    0    0.445427    0.006617
58    32.774965    1    0.497697    0.00962
59    33.272662    2    1.452021    0.020407
60    34.724683    1    0.517708    0.013437
61    35.242391    0    0.497207    0.006615
62    35.739598    1    0.48049    0.008739
63    36.220088    0    0.516639    0.006693
64    36.736727    1    0.743965    0.013
65    37.480692    0    0.435842    0.005515
66    37.916534    1    0.592563    0.009942
67    38.509097    0    0.700087    0.008612
68    39.209184    1    0.477094    0.007726
69    39.686278    0    0.618219    0.007363
70    40.304497    1    0.584622    0.009158
71    40.889119    2    1.423977    0.01616
72    42.313096    1    0.502221    0.010764
73    42.815317    2    1.304474    0.013905
74    44.119791    3    1.231142    0.024696
75    45.350933    4    0.83792    0.01771
76    46.188853    5    0.609266    0.013019
77    46.798119    6    0.432349    0.009154
78    47.230468    7    0.371122    0.007796
79    47.60159    8    0.522965    0.010867
80    48.124555    9    0.497688    0.010236
81    48.622243    10    0.248313    0.005081
82    48.870556    9    0.302758    0.006157
83    49.173314    10    0.241198    0.004856
84    49.414512    9    0.234999    0.004704
85    49.649511    10    0.384227    0.007604
86    50.033738    9    0.396776    0.007783
87    50.430514    8    1.912021    0.035896
88    52.342535    9    0.433709    0.00814
89    52.776244    10    0.247165    0.004416
90    53.023409    9    0.497799    0.009137
91    53.521208    10    0.275745    0.004835
92    53.796953    9    0.286219    0.005151
93    54.083172    10    0.277178    0.004787
94    54.36035    9    0.416868    0.00737
95    54.777218    10    0.210644    0.00358
96    54.987862    9    0.424203    0.007359
97    55.412065    10    0.386905    0.006459
98    55.79897    9    0.196076    0.003341
99    55.995046    10    0.518539    0.00849
100    56.513585    9    0.301855    0.005054
101    56.81544    10    0.282655    0.004541
102    57.098095    9    0.482486    0.007931
103    57.580581    10    0.219429    0.003468
104    57.80001    9    0.247565    0.004004
105    58.047575    10    0.190389    0.002976
106    58.237964    9    0.23546    0.003765
107    58.473424    10    0.41747    0.006435
108    58.890894    9    0.44577    0.006999
109    59.336664    10    0.263158    0.003982
110    59.599822    9    0.265269    0.004099
111    59.865091    10    0.43123    0.006426
112    60.296321    9    0.499504    0.007571
113    60.795825    10    0.505193    0.00736
114    61.301018    9    0.38922    0.00577
115    61.690238    10    0.378186    0.0054
116    62.068424    9    0.313125    0.004565
117    62.381549    8    1.910294    0.026193
118    64.291843    9    0.194576    0.002974
119    64.486419    8    1.284079    0.016708
120    65.770498    9    0.306788    0.004563
121    66.077286    10    0.20921    0.002651
122    66.286496    9    0.306902    0.004196
123    66.593398    10    0.271819    0.003406
124    66.865217    9    0.230998    0.003121
125    67.096215    8    1.29302    0.015789
126    68.389235    7    0.953113    0.013457
127    69.342348    8    0.385797    0.005491
128    69.728145    9    0.316615    0.004365
129    70.04476    8    2.431779    0.027633
130    72.476539    7    0.732951    0.009638
131    73.20949    8    0.211298    0.002842
132    73.420788    7    1.226368    0.01566
133    74.647156    8    0.300934    0.003955
134    74.94809    9    0.419403    0.005219
135    75.367493    8    1.286481    0.01349
136    76.653974    9    0.341231    0.004138
137    76.995205    10    0.520593    0.005314
138    77.515798    9    0.480138    0.005641
139    77.995936    10    0.481785    0.004833
140    78.477721    9    0.393169    0.004543
141    78.87089    10    0.39955    0.003949
142    79.27044    9    0.280693    0.003201
143    79.551133    10    0.496795    0.004843
144    80.047928    9    0.443209    0.004982
145    80.491137    10    0.282318    0.002715
146    80.773455    9    0.373718    0.004145
147    81.147173    10    0.411182    0.003907
148    81.558355    9    0.283526    0.003105
149    81.841881    10    0.466371    0.004374
150    82.308252    9    0.243963    0.002642
151    82.552215    10    0.214709    0.001993
152    82.766924    9    0.40284    0.004319
153    83.169764    10    0.421382    0.003868
154    83.591146    9    0.380422    0.004023
155    83.971568    10    0.339723    0.003081
156    84.311291    9    0.428196    0.004469
157    84.739487    10    0.463808    0.004152
158    85.203295    9    0.332331    0.003421
159    85.535626    10    0.327497    0.002896
160    85.863123    9    0.486189    0.004941
161    86.349312    10    0.404604    0.003535
162    86.753916    9    0.239715    0.002406
163    86.993631    10    0.397945    0.003438
164    87.391576    9    0.301454    0.002995
165    87.69303    10    0.403485    0.003447
166    88.096515    9    0.315092    0.003097
167    88.411607    10    0.376727    0.003181
168    88.788334    9    0.358692    0.003487
169    89.147026    10    0.209882    0.001756
170    89.356908    9    0.211657    0.00204
171    89.568565    10    0.206148    0.001714
172    89.774713    9    0.275728    0.002638
173    90.050441    10    0.435539    0.003589
174    90.48598    9    0.311163    0.002946
175    90.797143    10    0.20294    0.001657
176    91.000083    9    0.445247    0.004173
177    91.44533    10    0.439376    0.003551
178    91.884706    9    0.49611    0.004583
179    92.380816    10    0.299883    0.002396
180    92.680699    9    0.36915    0.00337
181    93.049849    10    0.39754    0.003144
182    93.447389    9    0.526335    0.004742
183    93.973724    10    0.366366    0.002864
184    94.34009    9    0.400463    0.003561
185    94.740553    10    0.275066    0.00213
186    95.015619    9    0.384652    0.003385
187    95.400271    10    0.204903    0.001575
188    95.605174    9    0.311181    0.002714
189    95.916355    10    0.239696    0.001829
190    96.156051    9    0.26031    0.002252
