l    time_i    C(l)    Tau_i     Delta_n
1    0.0    8    0.380589    1
2    0.380589    9    0.064558    1
3    0.445147    8    0.556047    0.080545
4    1.001194    7    0.423951    0.278297
5    1.425145    8    0.162018    0.10208
6    1.587163    9    0.179874    0.070463
7    1.767037    10    0.11732    0.029259
8    1.884357    9    0.174483    0.084748
9    2.05884    10    0.171537    0.037539
10    2.230377    9    0.099842    0.039495
11    2.330219    10    0.088674    0.01738
12    2.418893    9    0.121619    0.042443
13    2.540512    10    0.189249    0.033466
14    2.729761    9    0.067554    0.020647
15    2.797315    10    0.174564    0.027169
16    2.971879    9    0.051473    0.01437
17    3.023352    10    0.046633    0.00676
18    3.069985    9    0.141868    0.036761
19    3.211853    10    0.094752    0.013268
20    3.306605    9    0.118223    0.027662
21    3.424828    10    0.108034    0.014335
22    3.532862    9    0.062095    0.013484
23    3.594957    10    0.115002    0.014378
24    3.709959    9    0.066623    0.013661
25    3.776582    8    0.321942    0.03607
26    4.098524    9    0.170247    0.033378
27    4.268771    10    0.138776    0.014047
28    4.407547    9    0.126957    0.022257
29    4.534504    8    1.03397    0.083183
30    5.568474    9    0.058961    0.0089
31    5.627435    10    0.137308    0.008847
32    5.764743    9    0.13901    0.019336
33    5.903753    10    0.142076    0.008874
34    6.045829    9    0.09549    0.01254
35    6.141319    8    0.613419    0.034378
36    6.754738    9    0.150589    0.01891
37    6.905327    10    0.117434    0.005995
38    7.022761    9    0.053604    0.006211
39    7.076365    10    0.041815    0.002099
40    7.11818    9    0.039695    0.004518
41    7.157875    10    0.105729    0.005223
42    7.263604    9    0.052951    0.005884
43    7.316555    10    0.081679    0.003956
44    7.398234    9    0.071511    0.007747
45    7.469745    10    0.03257    0.001565
46    7.502315    9    0.128898    0.013552
47    7.631213    10    0.104762    0.005008
48    7.735975    9    0.050458    0.00513
49    7.786433    10    0.095426    0.004467
50    7.881859    9    0.05011    0.004985
51    7.931969    10    0.119266    0.005458
52    8.051235    9    0.075988    0.007361
53    8.127223    10    0.125973    0.005632
54    8.253196    9    0.176347    0.016387
55    8.429543    10    0.065957    0.002924
56    8.4955    9    0.142049    0.012642
57    8.637549    10    0.067643    0.002984
58    8.705192    9    0.139995    0.011997
59    8.845187    10    0.165836    0.007193
60    9.011023    9    0.094931    0.007826
61    9.105954    10    0.152257    0.006415
62    9.258211    9    0.042781    0.003436
63    9.300992    10    0.102022    0.004193
64    9.403014    9    0.053889    0.004253
65    9.456903    10    0.032211    0.00131
66    9.489114    9    0.108275    0.008382
67    9.597389    10    0.1859    0.007438
68    9.783289    9    0.200606    0.014863
69    9.983895    10    0.090656    0.003567
70    10.074551    9    0.112439    0.008028
71    10.18699    10    0.033077    0.001293
72    10.220067    9    0.029618    0.002081
73    10.249685    10    0.083996    0.003251
74    10.333681    9    0.08976    0.006204
75    10.423441    10    0.048019    0.001843
76    10.47146    9    0.082639    0.005602
77    10.554099    10    0.043464    0.00166
78    10.597563    9    0.032938    0.002203
79    10.630501    10    0.178888    0.006702
80    10.809389    9    0.10716    0.007006
81    10.916549    10    0.031697    0.00117
82    10.948246    9    0.034532    0.002225
83    10.982778    10    0.197328    0.007146
84    11.180106    9    0.053197    0.003365
85    11.233303    10    0.029215    0.001039
86    11.262518    9    0.09759    0.006081
87    11.360108    10    0.027594    0.000981
88    11.387702    9    0.081194    0.004973
89    11.468896    10    0.128415    0.004517
90    11.597311    9    0.123438    0.007382
91    11.720749    10    0.169898    0.005854
92    11.890647    9    0.099149    0.005771
93    11.989796    10    0.072049    0.002442
94    12.061845    9    0.04355    0.002496
95    12.105395    10    0.08006    0.002684
96    12.185455    9    0.048384    0.002743
97    12.233839    8    0.356516    0.011557
98    12.590355    9    0.041984    0.003046
99    12.632339    10    0.089786    0.002813
100    12.722125    9    0.085224    0.004676
101    12.807349    10    0.053105    0.001651
102    12.860454    9    0.181261    0.009718
103    13.041715    10    0.052978    0.001644
104    13.094693    9    0.14864    0.007753
105    13.243333    10    0.118039    0.003635
106    13.361372    9    0.070961    0.003623
107    13.432333    10    0.17236    0.005208
108    13.604693    9    0.168062    0.008373
109    13.772755    10    0.077175    0.002302
110    13.84993    9    0.029565    0.001448
111    13.879495    10    0.082544    0.002436
112    13.962039    9    0.130367    0.006292
113    14.092406    10    0.034091    0.001002
